family,trace,capacity,finite_reuse_count,finite_t_min,finite_t_q50,finite_t_q75,finite_t_q90,finite_t_q95,finite_t_q99,finite_t_max
brightkite,brightkite_50k,32,174226,1,138,1511,11029,17798,27379,38996
brightkite,brightkite_50k,64,270439,1,265,3745,13208,20412,29712,38996
brightkite,brightkite_50k,128,417772,1,608,7036,15706,20901,30774,38996
citibike,citibike_202401_50k,32,477834,1,1405,3602,6995,10660,19980,36146
citibike,citibike_202401_50k,64,897363,1,1635,3810,7305,11034,20475,36146
citibike,citibike_202401_50k,128,1611143,1,1832,4040,7667,11609,20910,36146
cloudphysics,cloudphysics_alibaba_block_head_50k,32,207318,1,999,3802,11916,18413,25863,37286
cloudphysics,cloudphysics_alibaba_block_head_50k,64,390294,1,1122,4088,12523,18598,26144,37286
cloudphysics,cloudphysics_alibaba_block_head_50k,128,719393,1,1264,4738,13153,18882,26228,37286
metacdn,metacdn_cdn_202303_head_50k,32,181255,1,207,1842,8757,15188,27440,38458
metacdn,metacdn_cdn_202303_head_50k,64,301978,1,367,2784,10574,17056,28269,38458
metacdn,metacdn_cdn_202303_head_50k,128,506230,1,626,3892,12288,18487,28942,38458
metakv,metakv_kvcache_202206_head_50k,32,326875,1,3278,8244,15360,20787,30412,39607
metakv,metakv_kvcache_202206_head_50k,64,650833,1,3283,8291,15402,20834,30421,39607
metakv,metakv_kvcache_202206_head_50k,128,1299106,1,3267,8291,15381,20819,30418,39607
twemcache,twemcache_cluster26_sample100_50k,32,669897,1,949,15575,15756,15912,29343,38619
twemcache,twemcache_cluster26_sample100_50k,64,1198394,1,1700,15581,15753,15951,29711,38619
twemcache,twemcache_cluster26_sample100_50k,128,2072882,1,6056,15559,15735,15974,29839,38619
wiki2018,wiki2018_pageviews_en_50k,32,0,,,,,,,
wiki2018,wiki2018_pageviews_en_50k,64,0,,,,,,,
wiki2018,wiki2018_pageviews_en_50k,128,0,,,,,,,
