aggregate_scope,family,capacity,horizon,decision_points,resident_candidate_observations,finite_reuse_count,never_reused_count,t_gt_h_count_including_never,t_gt_h_count_eventually_reused,t_le_h_count,never_reused_fraction,p_t_gt_h_including_never,p_t_gt_h_eventually_reused,p_t_le_h_including_never
family_capacity,brightkite,32,1,14426,461632,174226,287406,457845,170439,3787,0.622586822404,0.99179649591,0.978263864176,0.00820350408984
family_capacity,brightkite,32,2,14426,461632,174226,287406,454279,166873,7353,0.622586822404,0.98407172813,0.957796195746,0.0159282718702
family_capacity,brightkite,32,4,14426,461632,174226,287406,448702,161296,12930,0.622586822404,0.971990676556,0.925786048007,0.0280093234438
family_capacity,brightkite,32,8,14426,461632,174226,287406,440569,153163,21063,0.622586822404,0.954372747123,0.879105300013,0.0456272528768
family_capacity,brightkite,32,16,14426,461632,174226,287406,429169,141763,32463,0.622586822404,0.929677751976,0.813673045355,0.0703222480244
family_capacity,brightkite,64,1,13225,846400,270439,575961,842697,266736,3703,0.680483223062,0.995625,0.98630744826,0.004375
family_capacity,brightkite,64,2,13225,846400,270439,575961,839113,263152,7287,0.680483223062,0.991390595463,0.973054921812,0.00860940453686
family_capacity,brightkite,64,4,13225,846400,270439,575961,833375,257414,13025,0.680483223062,0.984611294896,0.951837567806,0.015388705104
family_capacity,brightkite,64,8,13225,846400,270439,575961,824495,248534,21905,0.680483223062,0.974119801512,0.91900206701,0.0258801984877
family_capacity,brightkite,64,16,13225,846400,270439,575961,811303,235342,35097,0.680483223062,0.95853379017,0.87022212033,0.0414662098299
family_capacity,brightkite,128,1,12397,1586816,417772,1169044,1583208,414164,3608,0.73672309833,0.997726264419,0.991363710349,0.00227373558119
family_capacity,brightkite,128,2,12397,1586816,417772,1169044,1579676,410632,7140,0.73672309833,0.99550042349,0.982909338108,0.00449957651045
family_capacity,brightkite,128,4,12397,1586816,417772,1169044,1573890,404846,12926,0.73672309833,0.991854128015,0.969059678485,0.00814587198516
family_capacity,brightkite,128,8,12397,1586816,417772,1169044,1564659,395615,22157,0.73672309833,0.986036818383,0.946963894182,0.0139631816165
family_capacity,brightkite,128,16,12397,1586816,417772,1169044,1550354,381310,36462,0.73672309833,0.977021910543,0.912722729144,0.0229780894571
family_capacity,citibike,32,1,16603,531296,477834,53462,526106,472644,5190,0.100625639945,0.990231434078,0.989138487425,0.00976856592182
family_capacity,citibike,32,2,16603,531296,477834,53462,521917,468455,9379,0.100625639945,0.982346940312,0.980371844615,0.017653059688
family_capacity,citibike,32,4,16603,531296,477834,53462,515319,461857,15977,0.100625639945,0.969928250919,0.966563702039,0.0300717490815
family_capacity,citibike,32,8,16603,531296,477834,53462,506070,452608,25226,0.100625639945,0.952519875926,0.947207607663,0.047480124074
family_capacity,citibike,32,16,16603,531296,477834,53462,494993,441531,36303,0.100625639945,0.931670857676,0.92402591695,0.0683291423237
family_capacity,citibike,64,1,15709,1005376,897363,108013,1000078,892065,5298,0.107435427144,0.994730329747,0.994096034715,0.00526967025272
family_capacity,citibike,64,2,15709,1005376,897363,108013,995695,887682,9681,0.107435427144,0.990370766758,0.989211723684,0.00962923324209
family_capacity,citibike,64,4,15709,1005376,897363,108013,988592,880579,16784,0.107435427144,0.983305748297,0.981296309297,0.0166942517028
family_capacity,citibike,64,8,15709,1005376,897363,108013,978179,870166,27197,0.107435427144,0.972948429244,0.969692309578,0.0270515707556
family_capacity,citibike,64,16,15709,1005376,897363,108013,964451,856438,40925,0.107435427144,0.959293836336,0.954394152645,0.0407061636641
