aggregate_scope,family,capacity,horizon,decision_points,resident_candidate_observations,finite_reuse_count,never_reused_count,t_gt_h_count_including_never,t_gt_h_count_eventually_reused,t_le_h_count,never_reused_fraction,p_t_gt_h_including_never,p_t_gt_h_eventually_reused,p_t_le_h_including_never
family,brightkite,,1,40048,2894848,862437,2032411,2883750,851339,11098,0.702078658361,0.996166292669,0.987131813686,0.00383370733109
family,brightkite,,2,40048,2894848,862437,2032411,2873068,840657,21780,0.702078658361,0.992476288911,0.974745981446,0.00752371108949
family,brightkite,,4,40048,2894848,862437,2032411,2855967,823556,38881,0.702078658361,0.986568897573,0.954917286712,0.0134311024275
family,brightkite,,8,40048,2894848,862437,2032411,2829723,797312,65125,0.702078658361,0.977503136607,0.924487237908,0.0224968633932
family,brightkite,,16,40048,2894848,862437,2032411,2790826,758415,104022,0.702078658361,0.964066507119,0.879385972541,0.0359334928811
family,citibike,,1,46529,3356448,2986340,370108,3340582,2970474,15866,0.11026775925,0.995272979054,0.99468714212,0.00472702094595
family,citibike,,2,46529,3356448,2986340,370108,3327444,2957336,29004,0.11026775925,0.991358722078,0.990287777011,0.00864127792238
family,citibike,,4,46529,3356448,2986340,370108,3306139,2936031,50309,0.11026775925,0.985011238071,0.983153626178,0.0149887619293
family,citibike,,8,46529,3356448,2986340,370108,3274832,2904724,81616,0.11026775925,0.975683818132,0.972670225092,0.0243161818685
family,citibike,,16,46529,3356448,2986340,370108,3233432,2863324,123016,0.11026775925,0.963349350266,0.95880710167,0.0366506497345
family,cloudphysics,,1,116559,8644800,1317005,7327795,8641810,1314015,2990,0.847653502684,0.999654127337,0.997729697306,0.000345872663335
family,cloudphysics,,2,116559,8644800,1317005,7327795,8638824,1311029,5976,0.847653502684,0.999308717379,0.995462431805,0.000691282620766
family,cloudphysics,,4,116559,8644800,1317005,7327795,8632814,1305019,11986,0.847653502684,0.998613501758,0.99089904746,0.00138649824172
family,cloudphysics,,8,116559,8644800,1317005,7327795,8620707,1292912,24093,0.847653502684,0.997213006663,0.981706219794,0.00278699333703
family,cloudphysics,,16,116559,8644800,1317005,7327795,8596658,1268863,48142,0.847653502684,0.994431103091,0.963445848725,0.00556889690912
family,metacdn,,1,67745,4997984,989463,4008521,4973499,964978,24485,0.802027577519,0.995101024733,0.975254254075,0.00489897526683
family,metacdn,,2,67745,4997984,989463,4008521,4953857,945336,44127,0.802027577519,0.991171040163,0.955403082278,0.00882895983661
family,metacdn,,4,67745,4997984,989463,4008521,4924653,916132,73331,0.802027577519,0.985327884203,0.925888082728,0.0146721157971
family,metacdn,,8,67745,4997984,989463,4008521,4888870,880349,109114,0.802027577519,0.978168397498,0.88972402202,0.0218316025021
family,metacdn,,16,67745,4997984,989463,4008521,4852200,843679,145784,0.802027577519,0.970831439236,0.852663515462,0.0291685607637
family,metakv,,1,91660,6842528,2276814,4565714,6837567,2271853,4961,0.667255435418,0.999274975565,0.99782107805,0.000725024435413
family,metakv,,2,91660,6842528,2276814,4565714,6834447,2268733,8081,0.667255435418,0.998819003737,0.996450742134,0.00118099626337
family,metakv,,4,91660,6842528,2276814,4565714,6831517,2265803,11011,0.667255435418,0.998390799424,0.99516385616,0.00160920057616
family,metakv,,8,91660,6842528,2276814,4565714,6830072,2264358,12456,0.667255435418,0.998179620164,0.994529197378,0.00182037983622
family,metakv,,16,91660,6842528,2276814,4565714,6829284,2263570,13244,0.667255435418,0.998064458048,0.994183099717,0.00193554195175
family,twemcache,,1,82585,5919168,3941173,1977995,5900794,3922799,18374,0.334167741142,0.996895847525,0.995337936193,0.00310415247548
family,twemcache,,2,82585,5919168,3941173,1977995,5882521,3904526,36647,0.334167741142,0.993808758258,0.990701499274,0.00619124174208
family,twemcache,,4,82585,5919168,3941173,1977995,5848934,3870939,70234,0.334167741142,0.988134481062,0.982179417143,0.0118655189378
family,twemcache,,8,82585,5919168,3941173,1977995,5788301,3810306,130867,0.334167741142,0.977890980624,0.966794911058,0.0221090193757
family,twemcache,,16,82585,5919168,3941173,1977995,5685120,3707125,234048,0.334167741142,0.960459307795,0.940614634273,0.0395406922054
family,wiki2018,,1,120000,8960000,0,8960000,8960000,0,0,1,1,,0
family,wiki2018,,2,120000,8960000,0,8960000,8960000,0,0,1,1,,0
family,wiki2018,,4,120000,8960000,0,8960000,8960000,0,0,1,1,,0
family,wiki2018,,8,120000,8960000,0,8960000,8960000,0,0,1,1,,0
family,wiki2018,,16,120000,8960000,0,8960000,8960000,0,0,1,1,,0
