family,trace,capacity,decision_index,decision_id,candidate_key,candidate_page_id,next_reuse_request_index,t,never_reused,horizon,t_gt_h,t_le_h
brightkite,brightkite_50k,32,10000,brightkite_50k|cap=32|t=10000,7b7b977a16442267,,,inf,yes,1,yes,no
brightkite,brightkite_50k,32,10000,brightkite_50k|cap=32|t=10000,7b7b977a16442267,,,inf,yes,2,yes,no
brightkite,brightkite_50k,32,10000,brightkite_50k|cap=32|t=10000,7b7b977a16442267,,,inf,yes,4,yes,no
brightkite,brightkite_50k,32,10000,brightkite_50k|cap=32|t=10000,7b7b977a16442267,,,inf,yes,8,yes,no
brightkite,brightkite_50k,32,10000,brightkite_50k|cap=32|t=10000,7b7b977a16442267,,,inf,yes,16,yes,no
brightkite,brightkite_50k,32,10000,brightkite_50k|cap=32|t=10000,162a171403916db2,,,inf,yes,1,yes,no
brightkite,brightkite_50k,32,10000,brightkite_50k|cap=32|t=10000,162a171403916db2,,,inf,yes,2,yes,no
brightkite,brightkite_50k,32,10000,brightkite_50k|cap=32|t=10000,162a171403916db2,,,inf,yes,4,yes,no
brightkite,brightkite_50k,32,10000,brightkite_50k|cap=32|t=10000,162a171403916db2,,,inf,yes,8,yes,no
brightkite,brightkite_50k,32,10000,brightkite_50k|cap=32|t=10000,162a171403916db2,,,inf,yes,16,yes,no
brightkite,brightkite_50k,32,10000,brightkite_50k|cap=32|t=10000,79d51ca866145362,,,inf,yes,1,yes,no
brightkite,brightkite_50k,32,10000,brightkite_50k|cap=32|t=10000,79d51ca866145362,,,inf,yes,2,yes,no
brightkite,brightkite_50k,32,10000,brightkite_50k|cap=32|t=10000,79d51ca866145362,,,inf,yes,4,yes,no
brightkite,brightkite_50k,32,10000,brightkite_50k|cap=32|t=10000,79d51ca866145362,,,inf,yes,8,yes,no
brightkite,brightkite_50k,32,10000,brightkite_50k|cap=32|t=10000,79d51ca866145362,,,inf,yes,16,yes,no
brightkite,brightkite_50k,32,10000,brightkite_50k|cap=32|t=10000,18a3993eae831e4b,,,inf,yes,1,yes,no
brightkite,brightkite_50k,32,10000,brightkite_50k|cap=32|t=10000,18a3993eae831e4b,,,inf,yes,2,yes,no
brightkite,brightkite_50k,32,10000,brightkite_50k|cap=32|t=10000,18a3993eae831e4b,,,inf,yes,4,yes,no
brightkite,brightkite_50k,32,10000,brightkite_50k|cap=32|t=10000,18a3993eae831e4b,,,inf,yes,8,yes,no
brightkite,brightkite_50k,32,10000,brightkite_50k|cap=32|t=10000,18a3993eae831e4b,,,inf,yes,16,yes,no
brightkite,brightkite_50k,32,10000,brightkite_50k|cap=32|t=10000,f06e9c266d6544bb,,,inf,yes,1,yes,no
brightkite,brightkite_50k,32,10000,brightkite_50k|cap=32|t=10000,f06e9c266d6544bb,,,inf,yes,2,yes,no
brightkite,brightkite_50k,32,10000,brightkite_50k|cap=32|t=10000,f06e9c266d6544bb,,,inf,yes,4,yes,no
brightkite,brightkite_50k,32,10000,brightkite_50k|cap=32|t=10000,f06e9c266d6544bb,,,inf,yes,8,yes,no
brightkite,brightkite_50k,32,10000,brightkite_50k|cap=32|t=10000,f06e9c266d6544bb,,,inf,yes,16,yes,no
brightkite,brightkite_50k,32,10000,brightkite_50k|cap=32|t=10000,a2bf1ed3d102fbe9,,,inf,yes,1,yes,no
brightkite,brightkite_50k,32,10000,brightkite_50k|cap=32|t=10000,a2bf1ed3d102fbe9,,,inf,yes,2,yes,no
brightkite,brightkite_50k,32,10000,brightkite_50k|cap=32|t=10000,a2bf1ed3d102fbe9,,,inf,yes,4,yes,no
brightkite,brightkite_50k,32,10000,brightkite_50k|cap=32|t=10000,a2bf1ed3d102fbe9,,,inf,yes,8,yes,no
brightkite,brightkite_50k,32,10000,brightkite_50k|cap=32|t=10000,a2bf1ed3d102fbe9,,,inf,yes,16,yes,no
brightkite,brightkite_50k,32,10000,brightkite_50k|cap=32|t=10000,96812cbc0445d880,,,inf,yes,1,yes,no
brightkite,brightkite_50k,32,10000,brightkite_50k|cap=32|t=10000,96812cbc0445d880,,,inf,yes,2,yes,no
brightkite,brightkite_50k,32,10000,brightkite_50k|cap=32|t=10000,96812cbc0445d880,,,inf,yes,4,yes,no
brightkite,brightkite_50k,32,10000,brightkite_50k|cap=32|t=10000,96812cbc0445d880,,,inf,yes,8,yes,no
