aggregate_scope,family,capacity,horizon,decision_points,resident_candidate_observations,finite_reuse_count,never_reused_count,t_gt_h_count_including_never,t_gt_h_count_eventually_reused,t_le_h_count,never_reused_fraction,p_t_gt_h_including_never,p_t_gt_h_eventually_reused,p_t_le_h_including_never
capacity,,32,1,194269,6216608,2037405,4179203,6192019,2012816,24589,0.672264199383,0.996044627553,0.987931216425,0.00395537244748
capacity,,32,2,194269,6216608,2037405,4179203,6171109,1991906,45499,0.672264199383,0.992681056937,0.977668161215,0.00731894306348
capacity,,32,4,194269,6216608,2037405,4179203,6138138,1958935,78470,0.672264199383,0.987377360773,0.961485320788,0.0126226392271
capacity,,32,8,194269,6216608,2037405,4179203,6090516,1911313,126092,0.672264199383,0.979716913146,0.938111470228,0.0202830868538
capacity,,32,16,194269,6216608,2037405,4179203,6026064,1846861,190544,0.672264199383,0.969349201365,0.906477111816,0.0306507986349
capacity,,64,1,188602,12070528,3709301,8361227,12044467,3683240,26061,0.692697701376,0.997840939518,0.992974147959,0.00215906048186
capacity,,64,2,188602,12070528,3709301,8361227,12021650,3660423,48878,0.692697701376,0.995950632814,0.986822854225,0.00404936718593
capacity,,64,4,188602,12070528,3709301,8361227,11984725,3623498,85803,0.692697701376,0.992891528854,0.976868148473,0.00710847114559
capacity,,64,8,188602,12070528,3709301,8361227,11928440,3567213,142088,0.692697701376,0.988228518255,0.961694130511,0.0117714817446
capacity,,64,16,188602,12070528,3709301,8361227,11846320,3485093,224208,0.692697701376,0.981425170465,0.93955518843,0.0185748295352
capacity,,128,1,182255,23328640,6626526,16702114,23301516,6599402,27124,0.71594889372,0.99883730899,0.995906754157,0.00116269100985
capacity,,128,2,182255,23328640,6626526,16702114,23277402,6575288,51238,0.71594889372,0.997803643933,0.992267743309,0.00219635606705
capacity,,128,4,182255,23328640,6626526,16702114,23237161,6535047,91479,0.71594889372,0.996078682684,0.986195028888,0.0039213173164
capacity,,128,8,182255,23328640,6626526,16702114,23173549,6471435,155091,0.71594889372,0.99335190564,0.976595428736,0.00664809435955
capacity,,128,16,182255,23328640,6626526,16702114,23075136,6373022,253504,0.71594889372,0.98913335711,0.961744057142,0.0108666428905
