trace,regime,requests,capacity,policy,misses,hits,hit_rate,rank,rel_improvement_vs_lru
file::example_unweighted,noisy,10,2,ml_gate_v2,9,1,0.1,5.0,0.1
file::example_unweighted,noisy,10,2,trust_and_doubt,8,2,0.2,3.0,0.2
file::example_unweighted,noisy,10,2,robust_ftp_d_marker,7,3,0.3,1.0,0.3
file::example_unweighted,noisy,10,2,blind_oracle_lru_combiner,7,3,0.3,1.0,0.3
file::example_unweighted,noisy,10,2,lru,10,0,0.0,7.0,0.0
file::example_unweighted,noisy,10,3,evict_value_v1,7,3,0.3,8.0,-0.16666666666666666
file::example_unweighted,noisy,10,3,rest_v1,6,4,0.4,5.0,0.0
file::example_unweighted,noisy,10,3,atlas_v3,5,5,0.5,1.0,0.16666666666666666
file::example_unweighted,noisy,10,3,ml_gate_v2,5,5,0.5,1.0,0.16666666666666666
file::example_unweighted,noisy,10,3,trust_and_doubt,5,5,0.5,1.0,0.16666666666666666
file::example_unweighted,noisy,10,3,robust_ftp_d_marker,5,5,0.5,1.0,0.16666666666666666
file::example_unweighted,noisy,10,3,blind_oracle_lru_combiner,6,4,0.4,5.0,0.0
file::example_unweighted,noisy,10,3,lru,6,4,0.4,5.0,0.0
file::example_unweighted,noisy,10,4,evict_value_v1,4,6,0.6,1.0,0.0
file::example_unweighted,noisy,10,4,rest_v1,4,6,0.6,1.0,0.0
file::example_unweighted,noisy,10,4,atlas_v3,4,6,0.6,1.0,0.0
file::example_unweighted,noisy,10,4,ml_gate_v2,4,6,0.6,1.0,0.0
file::example_unweighted,noisy,10,4,trust_and_doubt,4,6,0.6,1.0,0.0
file::example_unweighted,noisy,10,4,robust_ftp_d_marker,4,6,0.6,1.0,0.0
file::example_unweighted,noisy,10,4,blind_oracle_lru_combiner,4,6,0.6,1.0,0.0
file::example_unweighted,noisy,10,4,lru,4,6,0.6,1.0,0.0
file::example_atlas_v1,clean,10,2,evict_value_v1,10,0,0.0,6.0,0.0
file::example_atlas_v1,clean,10,2,rest_v1,10,0,0.0,6.0,0.0
file::example_atlas_v1,clean,10,2,atlas_v3,9,1,0.1,3.0,0.1
file::example_atlas_v1,clean,10,2,ml_gate_v2,9,1,0.1,3.0,0.1
file::example_atlas_v1,clean,10,2,trust_and_doubt,9,1,0.1,3.0,0.1
file::example_atlas_v1,clean,10,2,robust_ftp_d_marker,8,2,0.2,1.0,0.2
file::example_atlas_v1,clean,10,2,blind_oracle_lru_combiner,8,2,0.2,1.0,0.2
file::example_atlas_v1,clean,10,2,lru,10,0,0.0,6.0,0.0
file::example_atlas_v1,clean,10,3,evict_value_v1,9,1,0.1,7.0,0.0
file::example_atlas_v1,clean,10,3,rest_v1,6,4,0.4,1.0,0.3333333333333333
file::example_atlas_v1,clean,10,3,atlas_v3,6,4,0.4,1.0,0.3333333333333333
file::example_atlas_v1,clean,10,3,ml_gate_v2,6,4,0.4,1.0,0.3333333333333333
file::example_atlas_v1,clean,10,3,trust_and_doubt,6,4,0.4,1.0,0.3333333333333333
file::example_atlas_v1,clean,10,3,robust_ftp_d_marker,6,4,0.4,1.0,0.3333333333333333
file::example_atlas_v1,clean,10,3,blind_oracle_lru_combiner,6,4,0.4,1.0,0.3333333333333333
file::example_atlas_v1,clean,10,3,lru,9,1,0.1,7.0,0.0
file::example_atlas_v1,clean,10,4,evict_value_v1,7,3,0.3,8.0,-0.16666666666666666
file::example_atlas_v1,clean,10,4,rest_v1,5,5,0.5,1.0,0.16666666666666666
file::example_atlas_v1,clean,10,4,atlas_v3,5,5,0.5,1.0,0.16666666666666666
file::example_atlas_v1,clean,10,4,ml_gate_v2,5,5,0.5,1.0,0.16666666666666666
file::example_atlas_v1,clean,10,4,trust_and_doubt,5,5,0.5,1.0,0.16666666666666666
file::example_atlas_v1,clean,10,4,robust_ftp_d_marker,5,5,0.5,1.0,0.16666666666666666
file::example_atlas_v1,clean,10,4,blind_oracle_lru_combiner,5,5,0.5,1.0,0.16666666666666666
file::example_atlas_v1,clean,10,4,lru,6,4,0.4,7.0,0.0
file::example_atlas_v1,noisy,10,2,evict_value_v1,10,0,0.0,7.0,0.0
file::example_atlas_v1,noisy,10,2,rest_v1,9,1,0.1,4.0,0.1
file::example_atlas_v1,noisy,10,2,atlas_v3,8,2,0.2,1.0,0.2
file::example_atlas_v1,noisy,10,2,ml_gate_v2,9,1,0.1,4.0,0.1
file::example_atlas_v1,noisy,10,2,trust_and_doubt,9,1,0.1,4.0,0.1
file::example_atlas_v1,noisy,10,2,robust_ftp_d_marker,8,2,0.2,1.0,0.2
file::example_atlas_v1,noisy,10,2,blind_oracle_lru_combiner,8,2,0.2,1.0,0.2
file::example_atlas_v1,noisy,10,2,lru,10,0,0.0,7.0,0.0
file::example_atlas_v1,noisy,10,3,evict_value_v1,9,1,0.1,7.0,0.0
file::example_atlas_v1,noisy,10,3,rest_v1,6,4,0.4,1.0,0.3333333333333333
file::example_atlas_v1,noisy,10,3,atlas_v3,6,4,0.4,1.0,0.3333333333333333
file::example_atlas_v1,noisy,10,3,ml_gate_v2,6,4,0.4,1.0,0.3333333333333333
file::example_atlas_v1,noisy,10,3,trust_and_doubt,7,3,0.3,6.0,0.2222222222222222
file::example_atlas_v1,noisy,10,3,robust_ftp_d_marker,6,4,0.4,1.0,0.3333333333333333
file::example_atlas_v1,noisy,10,3,blind_oracle_lru_combiner,6,4,0.4,1.0,0.3333333333333333
file::example_atlas_v1,noisy,10,3,lru,9,1,0.1,7.0,0.0
file::example_atlas_v1,noisy,10,4,evict_value_v1,7,3,0.3,8.0,-0.16666666666666666
file::example_atlas_v1,noisy,10,4,rest_v1,5,5,0.5,1.0,0.16666666666666666
file::example_atlas_v1,noisy,10,4,atlas_v3,5,5,0.5,1.0,0.16666666666666666
file::example_atlas_v1,noisy,10,4,ml_gate_v2,5,5,0.5,1.0,0.16666666666666666
file::example_atlas_v1,noisy,10,4,trust_and_doubt,5,5,0.5,1.0,0.16666666666666666
file::example_atlas_v1,noisy,10,4,robust_ftp_d_marker,5,5,0.5,1.0,0.16666666666666666
file::example_atlas_v1,noisy,10,4,blind_oracle_lru_combiner,5,5,0.5,1.0,0.16666666666666666
file::example_atlas_v1,noisy,10,4,lru,6,4,0.4,7.0,0.0
stress::predictor_good_lru_bad,clean,10,2,evict_value_v1,10,0,0.0,8.0,-0.1111111111111111
stress::predictor_good_lru_bad,clean,10,2,rest_v1,8,2,0.2,4.0,0.1111111111111111
stress::predictor_good_lru_bad,clean,10,2,atlas_v3,8,2,0.2,4.0,0.1111111111111111
stress::predictor_good_lru_bad,clean,10,2,ml_gate_v2,8,2,0.2,4.0,0.1111111111111111
stress::predictor_good_lru_bad,clean,10,2,trust_and_doubt,7,3,0.3,1.0,0.2222222222222222
stress::predictor_good_lru_bad,clean,10,2,robust_ftp_d_marker,7,3,0.3,1.0,0.2222222222222222
stress::predictor_good_lru_bad,clean,10,2,blind_oracle_lru_combiner,7,3,0.3,1.0,0.2222222222222222
stress::predictor_good_lru_bad,clean,10,2,lru,9,1,0.1,7.0,0.0
stress::predictor_good_lru_bad,clean,10,3,evict_value_v1,9,1,0.1,8.0,-0.2857142857142857
stress::predictor_good_lru_bad,clean,10,3,rest_v1,7,3,0.3,6.0,0.0
stress::predictor_good_lru_bad,clean,10,3,atlas_v3,6,4,0.4,4.0,0.14285714285714285
stress::predictor_good_lru_bad,clean,10,3,ml_gate_v2,6,4,0.4,4.0,0.14285714285714285
stress::predictor_good_lru_bad,clean,10,3,trust_and_doubt,5,5,0.5,1.0,0.2857142857142857
stress::predictor_good_lru_bad,clean,10,3,robust_ftp_d_marker,5,5,0.5,1.0,0.2857142857142857
stress::predictor_good_lru_bad,clean,10,3,blind_oracle_lru_combiner,5,5,0.5,1.0,0.2857142857142857
stress::predictor_good_lru_bad,clean,10,3,lru,7,3,0.3,6.0,0.0
stress::predictor_good_lru_bad,clean,10,4,evict_value_v1,4,6,0.6,1.0,0.0
stress::predictor_good_lru_bad,clean,10,4,rest_v1,4,6,0.6,1.0,0.0
stress::predictor_good_lru_bad,clean,10,4,atlas_v3,4,6,0.6,1.0,0.0
stress::predictor_good_lru_bad,clean,10,4,ml_gate_v2,4,6,0.6,1.0,0.0
stress::predictor_good_lru_bad,clean,10,4,trust_and_doubt,4,6,0.6,1.0,0.0
stress::predictor_good_lru_bad,clean,10,4,robust_ftp_d_marker,4,6,0.6,1.0,0.0
stress::predictor_good_lru_bad,clean,10,4,blind_oracle_lru_combiner,4,6,0.6,1.0,0.0
stress::predictor_good_lru_bad,clean,10,4,lru,4,6,0.6,1.0,0.0
stress::predictor_good_lru_bad,noisy,10,2,evict_value_v1,9,1,0.1,7.0,0.0
stress::predictor_good_lru_bad,noisy,10,2,rest_v1,7,3,0.3,1.0,0.2222222222222222
stress::predictor_good_lru_bad,noisy,10,2,atlas_v3,7,3,0.3,1.0,0.2222222222222222
stress::predictor_good_lru_bad,noisy,10,2,ml_gate_v2,8,2,0.2,3.0,0.1111111111111111
stress::predictor_good_lru_bad,noisy,10,2,trust_and_doubt,8,2,0.2,3.0,0.1111111111111111
stress::predictor_good_lru_bad,noisy,10,2,robust_ftp_d_marker,8,2,0.2,3.0,0.1111111111111111
stress::predictor_good_lru_bad,noisy,10,2,blind_oracle_lru_combiner,8,2,0.2,3.0,0.1111111111111111
stress::predictor_good_lru_bad,noisy,10,2,lru,9,1,0.1,7.0,0.0
stress::predictor_good_lru_bad,noisy,10,3,evict_value_v1,8,2,0.2,8.0,-0.14285714285714285
stress::predictor_good_lru_bad,noisy,10,3,rest_v1,7,3,0.3,4.0,0.0
stress::predictor_good_lru_bad,noisy,10,3,atlas_v3,7,3,0.3,4.0,0.0
stress::predictor_good_lru_bad,noisy,10,3,ml_gate_v2,6,4,0.4,1.0,0.14285714285714285
stress::predictor_good_lru_bad,noisy,10,3,trust_and_doubt,6,4,0.4,1.0,0.14285714285714285
stress::predictor_good_lru_bad,noisy,10,3,robust_ftp_d_marker,6,4,0.4,1.0,0.14285714285714285
stress::predictor_good_lru_bad,noisy,10,3,blind_oracle_lru_combiner,7,3,0.3,4.0,0.0
stress::predictor_good_lru_bad,noisy,10,3,lru,7,3,0.3,4.0,0.0
stress::predictor_good_lru_bad,noisy,10,4,evict_value_v1,4,6,0.6,1.0,0.0
stress::predictor_good_lru_bad,noisy,10,4,rest_v1,4,6,0.6,1.0,0.0
stress::predictor_good_lru_bad,noisy,10,4,atlas_v3,4,6,0.6,1.0,0.0
stress::predictor_good_lru_bad,noisy,10,4,ml_gate_v2,4,6,0.6,1.0,0.0
stress::predictor_good_lru_bad,noisy,10,4,trust_and_doubt,4,6,0.6,1.0,0.0
stress::predictor_good_lru_bad,noisy,10,4,robust_ftp_d_marker,4,6,0.6,1.0,0.0
stress::predictor_good_lru_bad,noisy,10,4,blind_oracle_lru_combiner,4,6,0.6,1.0,0.0
stress::predictor_good_lru_bad,noisy,10,4,lru,4,6,0.6,1.0,0.0
stress::predictor_bad_lru_good,clean,10,2,evict_value_v1,9,1,0.1,8.0,-0.5
stress::predictor_bad_lru_good,clean,10,2,rest_v1,6,4,0.4,1.0,0.0
stress::predictor_bad_lru_good,clean,10,2,atlas_v3,6,4,0.4,1.0,0.0
stress::predictor_bad_lru_good,clean,10,2,ml_gate_v2,6,4,0.4,1.0,0.0
stress::predictor_bad_lru_good,clean,10,2,trust_and_doubt,6,4,0.4,1.0,0.0
stress::predictor_bad_lru_good,clean,10,2,robust_ftp_d_marker,6,4,0.4,1.0,0.0
stress::predictor_bad_lru_good,clean,10,2,blind_oracle_lru_combiner,6,4,0.4,1.0,0.0
stress::predictor_bad_lru_good,clean,10,2,lru,6,4,0.4,1.0,0.0
stress::predictor_bad_lru_good,clean,10,3,evict_value_v1,8,2,0.2,8.0,-0.3333333333333333
stress::predictor_bad_lru_good,clean,10,3,rest_v1,6,4,0.4,1.0,0.0
stress::predictor_bad_lru_good,clean,10,3,atlas_v3,6,4,0.4,1.0,0.0
stress::predictor_bad_lru_good,clean,10,3,ml_gate_v2,6,4,0.4,1.0,0.0
stress::predictor_bad_lru_good,clean,10,3,trust_and_doubt,6,4,0.4,1.0,0.0
stress::predictor_bad_lru_good,clean,10,3,robust_ftp_d_marker,6,4,0.4,1.0,0.0
stress::predictor_bad_lru_good,clean,10,3,blind_oracle_lru_combiner,6,4,0.4,1.0,0.0
stress::predictor_bad_lru_good,clean,10,3,lru,6,4,0.4,1.0,0.0
stress::predictor_bad_lru_good,clean,10,4,evict_value_v1,7,3,0.3,8.0,-0.16666666666666666
stress::predictor_bad_lru_good,clean,10,4,rest_v1,6,4,0.4,1.0,0.0
stress::predictor_bad_lru_good,clean,10,4,atlas_v3,6,4,0.4,1.0,0.0
stress::predictor_bad_lru_good,clean,10,4,ml_gate_v2,6,4,0.4,1.0,0.0
stress::predictor_bad_lru_good,clean,10,4,trust_and_doubt,6,4,0.4,1.0,0.0
stress::predictor_bad_lru_good,clean,10,4,robust_ftp_d_marker,6,4,0.4,1.0,0.0
stress::predictor_bad_lru_good,clean,10,4,blind_oracle_lru_combiner,6,4,0.4,1.0,0.0
stress::predictor_bad_lru_good,clean,10,4,lru,6,4,0.4,1.0,0.0
stress::predictor_bad_lru_good,noisy,10,2,evict_value_v1,9,1,0.1,8.0,-0.5
stress::predictor_bad_lru_good,noisy,10,2,rest_v1,6,4,0.4,1.0,0.0
stress::predictor_bad_lru_good,noisy,10,2,atlas_v3,6,4,0.4,1.0,0.0
stress::predictor_bad_lru_good,noisy,10,2,ml_gate_v2,6,4,0.4,1.0,0.0
stress::predictor_bad_lru_good,noisy,10,2,trust_and_doubt,6,4,0.4,1.0,0.0
stress::predictor_bad_lru_good,noisy,10,2,robust_ftp_d_marker,6,4,0.4,1.0,0.0
stress::predictor_bad_lru_good,noisy,10,2,blind_oracle_lru_combiner,6,4,0.4,1.0,0.0
stress::predictor_bad_lru_good,noisy,10,2,lru,6,4,0.4,1.0,0.0
stress::predictor_bad_lru_good,noisy,10,3,evict_value_v1,8,2,0.2,8.0,-0.3333333333333333
stress::predictor_bad_lru_good,noisy,10,3,rest_v1,6,4,0.4,1.0,0.0
stress::predictor_bad_lru_good,noisy,10,3,atlas_v3,6,4,0.4,1.0,0.0
stress::predictor_bad_lru_good,noisy,10,3,ml_gate_v2,6,4,0.4,1.0,0.0
stress::predictor_bad_lru_good,noisy,10,3,trust_and_doubt,6,4,0.4,1.0,0.0
stress::predictor_bad_lru_good,noisy,10,3,robust_ftp_d_marker,6,4,0.4,1.0,0.0
stress::predictor_bad_lru_good,noisy,10,3,blind_oracle_lru_combiner,6,4,0.4,1.0,0.0
stress::predictor_bad_lru_good,noisy,10,3,lru,6,4,0.4,1.0,0.0
stress::predictor_bad_lru_good,noisy,10,4,evict_value_v1,7,3,0.3,8.0,-0.16666666666666666
stress::predictor_bad_lru_good,noisy,10,4,rest_v1,6,4,0.4,1.0,0.0
stress::predictor_bad_lru_good,noisy,10,4,atlas_v3,6,4,0.4,1.0,0.0
stress::predictor_bad_lru_good,noisy,10,4,ml_gate_v2,6,4,0.4,1.0,0.0
stress::predictor_bad_lru_good,noisy,10,4,trust_and_doubt,6,4,0.4,1.0,0.0
stress::predictor_bad_lru_good,noisy,10,4,robust_ftp_d_marker,6,4,0.4,1.0,0.0
stress::predictor_bad_lru_good,noisy,10,4,blind_oracle_lru_combiner,6,4,0.4,1.0,0.0
stress::predictor_bad_lru_good,noisy,10,4,lru,6,4,0.4,1.0,0.0
stress::mixed_regime,clean,10,2,evict_value_v1,10,0,0.0,6.0,0.0
stress::mixed_regime,clean,10,2,rest_v1,10,0,0.0,6.0,0.0
stress::mixed_regime,clean,10,2,atlas_v3,9,1,0.1,4.0,0.1
stress::mixed_regime,clean,10,2,ml_gate_v2,9,1,0.1,4.0,0.1
stress::mixed_regime,clean,10,2,trust_and_doubt,8,2,0.2,3.0,0.2
stress::mixed_regime,clean,10,2,robust_ftp_d_marker,7,3,0.3,1.0,0.3
stress::mixed_regime,clean,10,2,blind_oracle_lru_combiner,7,3,0.3,1.0,0.3
stress::mixed_regime,clean,10,2,lru,10,0,0.0,6.0,0.0
stress::mixed_regime,clean,10,3,evict_value_v1,7,3,0.3,7.0,0.0
stress::mixed_regime,clean,10,3,rest_v1,5,5,0.5,1.0,0.2857142857142857
stress::mixed_regime,clean,10,3,atlas_v3,5,5,0.5,1.0,0.2857142857142857
stress::mixed_regime,clean,10,3,ml_gate_v2,5,5,0.5,1.0,0.2857142857142857
stress::mixed_regime,clean,10,3,trust_and_doubt,5,5,0.5,1.0,0.2857142857142857
stress::mixed_regime,clean,10,3,robust_ftp_d_marker,5,5,0.5,1.0,0.2857142857142857
stress::mixed_regime,clean,10,3,blind_oracle_lru_combiner,5,5,0.5,1.0,0.2857142857142857
stress::mixed_regime,clean,10,3,lru,7,3,0.3,7.0,0.0
stress::mixed_regime,clean,10,4,evict_value_v1,4,6,0.6,1.0,0.0
stress::mixed_regime,clean,10,4,rest_v1,4,6,0.6,1.0,0.0
stress::mixed_regime,clean,10,4,atlas_v3,4,6,0.6,1.0,0.0
stress::mixed_regime,clean,10,4,ml_gate_v2,4,6,0.6,1.0,0.0
stress::mixed_regime,clean,10,4,trust_and_doubt,4,6,0.6,1.0,0.0
stress::mixed_regime,clean,10,4,robust_ftp_d_marker,4,6,0.6,1.0,0.0
stress::mixed_regime,clean,10,4,blind_oracle_lru_combiner,4,6,0.6,1.0,0.0
stress::mixed_regime,clean,10,4,lru,4,6,0.6,1.0,0.0
stress::mixed_regime,noisy,10,2,evict_value_v1,10,0,0.0,7.0,0.0
stress::mixed_regime,noisy,10,2,rest_v1,9,1,0.1,4.0,0.1
stress::mixed_regime,noisy,10,2,atlas_v3,8,2,0.2,1.0,0.2
stress::mixed_regime,noisy,10,2,ml_gate_v2,9,1,0.1,4.0,0.1
stress::mixed_regime,noisy,10,2,trust_and_doubt,9,1,0.1,4.0,0.1
stress::mixed_regime,noisy,10,2,robust_ftp_d_marker,8,2,0.2,1.0,0.2
stress::mixed_regime,noisy,10,2,blind_oracle_lru_combiner,8,2,0.2,1.0,0.2
stress::mixed_regime,noisy,10,2,lru,10,0,0.0,7.0,0.0
stress::mixed_regime,noisy,10,3,evict_value_v1,7,3,0.3,6.0,0.0
stress::mixed_regime,noisy,10,3,rest_v1,5,5,0.5,1.0,0.2857142857142857
stress::mixed_regime,noisy,10,3,atlas_v3,6,4,0.4,5.0,0.14285714285714285
stress::mixed_regime,noisy,10,3,ml_gate_v2,5,5,0.5,1.0,0.2857142857142857
stress::mixed_regime,noisy,10,3,trust_and_doubt,5,5,0.5,1.0,0.2857142857142857
stress::mixed_regime,noisy,10,3,robust_ftp_d_marker,5,5,0.5,1.0,0.2857142857142857
stress::mixed_regime,noisy,10,3,blind_oracle_lru_combiner,7,3,0.3,6.0,0.0
stress::mixed_regime,noisy,10,3,lru,7,3,0.3,6.0,0.0
stress::mixed_regime,noisy,10,4,evict_value_v1,4,6,0.6,1.0,0.0
stress::mixed_regime,noisy,10,4,rest_v1,4,6,0.6,1.0,0.0
stress::mixed_regime,noisy,10,4,atlas_v3,4,6,0.6,1.0,0.0
stress::mixed_regime,noisy,10,4,ml_gate_v2,4,6,0.6,1.0,0.0
stress::mixed_regime,noisy,10,4,trust_and_doubt,4,6,0.6,1.0,0.0
stress::mixed_regime,noisy,10,4,robust_ftp_d_marker,4,6,0.6,1.0,0.0
stress::mixed_regime,noisy,10,4,blind_oracle_lru_combiner,4,6,0.6,1.0,0.0
stress::mixed_regime,noisy,10,4,lru,4,6,0.6,1.0,0.0
