trace,regime,requests,capacity,policy,misses,hits,hit_rate,rank,rel_improvement_vs_lru
file::example_unweighted,clean,10,2,evict_value_v1,10,0,0.0,6.0,0.0
file::example_unweighted,clean,10,2,rest_v1,10,0,0.0,6.0,0.0
file::example_unweighted,clean,10,2,atlas_v3,9,1,0.1,4.0,0.1
file::example_unweighted,clean,10,2,ml_gate_v2,9,1,0.1,4.0,0.1
file::example_unweighted,clean,10,2,trust_and_doubt,7,3,0.3,1.0,0.3
file::example_unweighted,clean,10,2,robust_ftp_d_marker,7,3,0.3,1.0,0.3
file::example_unweighted,clean,10,2,blind_oracle_lru_combiner,7,3,0.3,1.0,0.3
file::example_unweighted,clean,10,2,lru,10,0,0.0,6.0,0.0
file::example_unweighted,clean,10,3,evict_value_v1,7,3,0.3,8.0,-0.16666666666666666
file::example_unweighted,clean,10,3,rest_v1,6,4,0.4,6.0,0.0
file::example_unweighted,clean,10,3,atlas_v3,5,5,0.5,1.0,0.16666666666666666
file::example_unweighted,clean,10,3,ml_gate_v2,5,5,0.5,1.0,0.16666666666666666
file::example_unweighted,clean,10,3,trust_and_doubt,5,5,0.5,1.0,0.16666666666666666
file::example_unweighted,clean,10,3,robust_ftp_d_marker,5,5,0.5,1.0,0.16666666666666666
file::example_unweighted,clean,10,3,blind_oracle_lru_combiner,5,5,0.5,1.0,0.16666666666666666
file::example_unweighted,clean,10,3,lru,6,4,0.4,6.0,0.0
file::example_unweighted,clean,10,4,evict_value_v1,4,6,0.6,1.0,0.0
file::example_unweighted,clean,10,4,rest_v1,4,6,0.6,1.0,0.0
file::example_unweighted,clean,10,4,atlas_v3,4,6,0.6,1.0,0.0
file::example_unweighted,clean,10,4,ml_gate_v2,4,6,0.6,1.0,0.0
file::example_unweighted,clean,10,4,trust_and_doubt,4,6,0.6,1.0,0.0
file::example_unweighted,clean,10,4,robust_ftp_d_marker,4,6,0.6,1.0,0.0
file::example_unweighted,clean,10,4,blind_oracle_lru_combiner,4,6,0.6,1.0,0.0
file::example_unweighted,clean,10,4,lru,4,6,0.6,1.0,0.0
file::example_unweighted,noisy,10,2,evict_value_v1,10,0,0.0,7.0,0.0
file::example_unweighted,noisy,10,2,rest_v1,9,1,0.1,5.0,0.1
file::example_unweighted,noisy,10,2,atlas_v3,8,2,0.2,3.0,0.2
