family,capacity,status,decision_count,set_aware_agreement_fraction,lexicographic_agreement_fraction,set_aware_disagreement_count,lexicographic_disagreement_count,unique_exact_winner_count,multiple_exact_optima_count,all_candidates_tied_count,mean_target_regret,median_target_regret,p90_target_regret,p95_target_regret,p99_target_regret,zero_regret_fraction,positive_regret_fraction,learned_misses,lru_misses,learned_minus_lru,model_sha256
brightkite,32,ok,15469,0.968129808003103,0.03193483741676902,493,14975,0,15469,6750,0.03187019199689702,0.0,0.0,0.0,1.0,0.968129808003103,0.03187019199689702,15469,14426,1043,f6e2c89db497e6281b066e3a86db813739059255a4e4ccca00dbf8e11dfb07b9
brightkite,64,ok,15449,0.9646579066606252,0.017023755582885623,546,15186,0,15449,6434,0.035342093339374714,0.0,0.0,0.0,1.0,0.9646579066606252,0.035342093339374714,15449,13225,2224,f6e2c89db497e6281b066e3a86db813739059255a4e4ccca00dbf8e11dfb07b9
brightkite,128,ok,15698,0.9600586061918716,0.009109440693081922,627,15555,0,15698,6653,0.039941393808128424,0.0,0.0,0.0,1.0,0.9600586061918716,0.039941393808128424,15698,12397,3301,f6e2c89db497e6281b066e3a86db813739059255a4e4ccca00dbf8e11dfb07b9
citibike,32,ok,17358,0.9756308330452818,0.030879133540730498,423,16822,0,17358,7581,0.024657218573568382,0.0,0.0,0.0,1.0,0.9756308330452818,0.024369166954718285,17358,16603,755,f3f7774d003f5241574f7edfaf402d5a7e4c1a756f0b3110a7ab8aee236be25a
citibike,64,ok,15734,0.9966950552942672,0.020020338121266048,52,15419,0,15734,5970,0.003304944705732808,0.0,0.0,0.0,0.0,0.9966950552942672,0.003304944705732808,15734,15709,25,f3f7774d003f5241574f7edfaf402d5a7e4c1a756f0b3110a7ab8aee236be25a
citibike,128,ok,14217,0.9977491735246535,0.008088907645776184,32,14102,0,14217,4628,0.002461841457410143,0.0,0.0,0.0,0.0,0.9977491735246535,0.0022508264753464164,14217,14217,0,f3f7774d003f5241574f7edfaf402d5a7e4c1a756f0b3110a7ab8aee236be25a
cloudphysics,32,ok,39740,0.9985405133366885,0.04252642174131857,58,38050,0,39740,38846,0.001459486663311525,0.0,0.0,0.0,0.0,0.9985405133366885,0.001459486663311525,39740,39442,298,b3a9c7d7c2ad0af5bdd95fc78de60115feac52ed573fdd8f94eb9f27f490f66d
cloudphysics,64,ok,39459,0.9979725791327707,0.02721812514255303,80,38385,0,39459,37569,0.002027420867229276,0.0,0.0,0.0,0.0,0.9979725791327707,0.002027420867229276,39459,38880,579,b3a9c7d7c2ad0af5bdd95fc78de60115feac52ed573fdd8f94eb9f27f490f66d
cloudphysics,128,ok,38973,0.9984348138454827,0.01814076411874888,61,38266,0,38973,35946,0.001590844943935545,0.0,0.0,0.0,0.0,0.9984348138454827,0.0015651861545172298,38973,38237,736,b3a9c7d7c2ad0af5bdd95fc78de60115feac52ed573fdd8f94eb9f27f490f66d
metacdn,32,ok,31849,0.8416904769380514,0.09881000973342963,5042,28702,0,31849,21694,0.1584979120223555,0.0,1.0,1.0,1.0,0.8416904769380514,0.15830952306194856,31849,23207,8642,d4111f1e6aca557ebd2de2e836f120279f2818b167ee44765c294a81a1356fc3
