family,capacity,status,decision_count,set_aware_agreement_fraction,lexicographic_agreement_fraction,set_aware_disagreement_count,lexicographic_disagreement_count,unique_exact_winner_count,multiple_exact_optima_count,all_candidates_tied_count,mean_target_regret,median_target_regret,p90_target_regret,p95_target_regret,p99_target_regret,zero_regret_fraction,positive_regret_fraction,learned_misses,lru_misses,learned_minus_lru,model_sha256
metacdn,64,ok,31469,0.8412088086688487,0.08538561759191586,4997,28782,0,31469,20503,0.1588229686358003,0.0,1.0,1.0,1.0,0.8412088086688487,0.1587911913311513,31469,22586,8883,d4111f1e6aca557ebd2de2e836f120279f2818b167ee44765c294a81a1356fc3
metacdn,128,ok,23097,0.9940684937437763,0.0,137,23097,0,23097,5076,0.005931506256223752,0.0,0.0,0.0,0.0,0.9940684937437763,0.005931506256223752,23097,21952,1145,d4111f1e6aca557ebd2de2e836f120279f2818b167ee44765c294a81a1356fc3
metakv,32,ok,30568,1.0,0.058557969118031926,0,28778,0,30568,27148,0.0,0.0,0.0,0.0,0.0,1.0,0.0,30568,30569,-1,a5e74b10eb5b2eedd15583040e9c9e23ade0c9e6b2b99b7cf7a3cf51a631180d
metakv,64,ok,30654,0.9968356495074052,0.02172636523781562,97,29988,0,30654,27234,0.0031643504925947673,0.0,0.0,0.0,0.0,0.9968356495074052,0.0031643504925947673,30654,30552,102,a5e74b10eb5b2eedd15583040e9c9e23ade0c9e6b2b99b7cf7a3cf51a631180d
metakv,128,ok,30539,1.0,0.02580307148236681,0,29751,0,30539,27057,0.0,0.0,0.0,0.0,0.0,1.0,0.0,30539,30539,0,a5e74b10eb5b2eedd15583040e9c9e23ade0c9e6b2b99b7cf7a3cf51a631180d
twemcache,32,ok,34013,0.9708934819039778,0.03060594478581719,990,32972,0,34013,24037,0.02910651809602211,0.0,0.0,0.0,1.0,0.9708934819039778,0.02910651809602211,34013,30022,3991,ca4da18f17ba7d3131437e2d39dac5ddd1e109b78450e530efd1f9785827e6c9
twemcache,64,ok,29798,0.9865427209879858,0.01620914155312437,401,29315,0,29798,14995,0.013457279012014229,0.0,0.0,0.0,1.0,0.9865427209879858,0.013457279012014229,29798,27650,2148,ca4da18f17ba7d3131437e2d39dac5ddd1e109b78450e530efd1f9785827e6c9
twemcache,128,ok,27485,0.9922139348735673,0.006949245042750591,214,27294,0,27485,11435,0.0077860651264326,0.0,0.0,0.0,0.0,0.9922139348735673,0.0077860651264326,27485,24913,2572,ca4da18f17ba7d3131437e2d39dac5ddd1e109b78450e530efd1f9785827e6c9
wiki2018,32,ok,40000,1.0,0.0,0,40000,0,40000,40000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40000,40000,0,7ec9108b0bbc8b7f29e9f8ba3c21d91b948bd00ac142c36449a96907e246f856
wiki2018,64,ok,40000,1.0,0.0,0,40000,0,40000,40000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40000,40000,0,7ec9108b0bbc8b7f29e9f8ba3c21d91b948bd00ac142c36449a96907e246f856
wiki2018,128,ok,40000,1.0,1.0,0,0,0,40000,40000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40000,40000,0,7ec9108b0bbc8b7f29e9f8ba3c21d91b948bd00ac142c36449a96907e246f856
