seed,model_family,trace,family,capacity,heuristic_policy_misses,offline_teacher_policy_misses,delta_misses_teacher_minus_heuristic,winner
0,ridge,data/example.json,data,2,7,10,3,heuristic
0,ridge,data/example.json,data,3,5,6,1,heuristic
0,ridge,data/example.json,data,4,4,4,0,tie
0,ridge,data/example.json,data,5,4,4,0,tie
0,ridge,data/example_unweighted.json,data,2,7,10,3,heuristic
0,ridge,data/example_unweighted.json,data,3,5,6,1,heuristic
0,ridge,data/example_unweighted.json,data,4,4,4,0,tie
0,ridge,data/example_unweighted.json,data,5,4,4,0,tie
1,ridge,data/example.json,data,2,7,10,3,heuristic
1,ridge,data/example.json,data,3,5,6,1,heuristic
1,ridge,data/example.json,data,4,4,4,0,tie
1,ridge,data/example.json,data,5,4,4,0,tie
1,ridge,data/example_unweighted.json,data,2,7,10,3,heuristic
1,ridge,data/example_unweighted.json,data,3,5,6,1,heuristic
1,ridge,data/example_unweighted.json,data,4,4,4,0,tie
1,ridge,data/example_unweighted.json,data,5,4,4,0,tie
3,ridge,data/example_atlas_v1.json,data,2,8,9,1,heuristic
3,ridge,data/example_atlas_v1.json,data,3,6,7,1,heuristic
3,ridge,data/example_atlas_v1.json,data,4,5,5,0,tie
3,ridge,data/example_atlas_v1.json,data,5,5,5,0,tie
