trace,capacity,base_regression_misses,history_pairwise_misses,joint_state_softmax_misses,delta_base_minus_joint,delta_pairwise_minus_joint
data/example_unweighted.json,2,8,7,7,1.0,0.0
data/example_unweighted.json,3,5,5,5,0.0,0.0
data/example_unweighted.json,4,4,4,4,0.0,0.0
data/example_atlas_v1.json,2,8,8,9,-1.0,-1.0
data/example_atlas_v1.json,3,7,6,6,1.0,0.0
data/example_atlas_v1.json,4,5,5,5,0.0,0.0
data/example_general_caching.json,2,4,4,4,0.0,0.0
data/example_general_caching.json,3,3,3,3,0.0,0.0
data/example_general_caching.json,4,3,3,3,0.0,0.0
stress::predictor_good_lru_bad,2,8,7,9,-1.0,-2.0
stress::predictor_good_lru_bad,3,5,5,5,0.0,0.0
stress::predictor_good_lru_bad,4,4,4,4,0.0,0.0
stress::predictor_bad_lru_good,2,7,6,9,-2.0,-3.0
stress::predictor_bad_lru_good,3,6,6,8,-2.0,-2.0
stress::predictor_bad_lru_good,4,6,6,7,-1.0,-1.0
stress::mixed_regime,2,8,8,8,0.0,0.0
stress::mixed_regime,3,5,5,5,0.0,0.0
stress::mixed_regime,4,4,4,4,0.0,0.0
