trace,family,capacity,policy,misses,hit_rate
data/processed/brightkite/trace.jsonl,brightkite,32,evict_value_pairwise_v1,858.0,0.571
data/processed/brightkite/trace.jsonl,brightkite,32,lru,858.0,0.571
data/processed/brightkite/trace.jsonl,brightkite,32,blind_oracle,1301.0,0.3495
data/processed/brightkite/trace.jsonl,brightkite,32,predictive_marker,896.0,0.552
data/processed/brightkite/trace.jsonl,brightkite,32,trust_and_doubt,917.0,0.5415
data/processed/brightkite/trace.jsonl,brightkite,32,robust_ftp_d_marker,873.0,0.5635
data/processed/brightkite/trace.jsonl,brightkite,32,evict_value_v1,858.0,0.571
data/processed/brightkite/trace.jsonl,brightkite,32,evict_value_v1_guarded,858.0,0.571
data/processed/brightkite/trace.jsonl,brightkite,32,atlas_v3,858.0,0.571
data/processed/brightkite/trace.jsonl,brightkite,32,rest_v1,858.0,0.571
data/processed/citibike/trace.jsonl,citibike,32,evict_value_pairwise_v1,458.0,0.771
data/processed/citibike/trace.jsonl,citibike,32,lru,458.0,0.771
data/processed/citibike/trace.jsonl,citibike,32,blind_oracle,1448.0,0.276
data/processed/citibike/trace.jsonl,citibike,32,predictive_marker,472.0,0.764
data/processed/citibike/trace.jsonl,citibike,32,trust_and_doubt,520.0,0.74
data/processed/citibike/trace.jsonl,citibike,32,robust_ftp_d_marker,473.0,0.7635
data/processed/citibike/trace.jsonl,citibike,32,evict_value_v1,458.0,0.771
data/processed/citibike/trace.jsonl,citibike,32,evict_value_v1_guarded,458.0,0.771
data/processed/citibike/trace.jsonl,citibike,32,atlas_v3,458.0,0.771
data/processed/citibike/trace.jsonl,citibike,32,rest_v1,458.0,0.771
