trace,capacity,base_misses,history_aware_misses,miss_delta_base_minus_history
data/example_unweighted.json,2,7,7,0.0
data/example_unweighted.json,4,4,4,0.0
data/example_atlas_v1.json,2,8,8,0.0
data/example_atlas_v1.json,4,5,5,0.0
data/example_general_caching.json,2,4,4,0.0
data/example_general_caching.json,4,3,3,0.0
stress::predictor_good_lru_bad,2,7,7,0.0
stress::predictor_good_lru_bad,4,4,4,0.0
stress::predictor_bad_lru_good,2,7,6,1.0
stress::predictor_bad_lru_good,4,6,6,0.0
stress::mixed_regime,2,9,8,1.0
stress::mixed_regime,4,4,4,0.0
