scorer,feature_count,val_decisions,val_top1_eviction_match,val_mean_regret,test_decisions,test_top1_eviction_match,test_mean_regret
base_v1_features,26,8,0.75,0.125,8,0.5,0.0
history_aware_v1,41,8,0.875,0.0,8,0.375,0.125
