experiment_protocol_version,policy,policy_variant,implementation_source,implementation_commit,trace,trace_sha256,capacity,capacity_semantics,object_size_semantics,history_start,history_end,score_start,score_end,history_requests,scored_requests,hits,misses,miss_ratio,cache_warmup,model_training_mode,model_training_data,model_frozen_during_test,online_adaptation_during_test,hyperparameter_source,random_seed,future_information,runtime_seconds,status,failure_reason,fold_id,model_sha256,validation_family,training_families
reviewer_fairness_v1,evict_value_v1_cross_family_v1,deployment_full_stream,native_pretrained_cross_family,n/a,brightkite_50k,04c8cebb51742e7f192b6654e0e3029690a74b8ff494db771f0e132dc68d01de,32,object_slots,unit,0,10000,0,50000,0,50000,30101,19899,0.39798,"processes_[0,10000)_then_scores_[10000,50000)",offline_pretrained_frozen_cross_family,"5 training families (cloudphysics,metacdn,metakv,twemcache,wiki2018), validation family=citibike, held-out family=brightkite contributes ZERO rows (see fold isolation checks)",yes,no,reused_heavy_r1_grid_selected_on_validation_family_only,0,none,1411.5893,ok,,cross_family_v1_brightkite,b81e43d326ad1d75c85b923debb3e95a89cb406f6218432bebf6d77f8bee5df0,citibike,cloudphysics;metacdn;metakv;twemcache;wiki2018
reviewer_fairness_v1,evict_value_v1_cross_family_v1,primary_controlled_window,native_pretrained_cross_family,n/a,brightkite_50k,04c8cebb51742e7f192b6654e0e3029690a74b8ff494db771f0e132dc68d01de,32,object_slots,unit,0,10000,10000,50000,10000,40000,24321,15679,0.391975,"processes_[0,10000)_then_scores_[10000,50000)",offline_pretrained_frozen_cross_family,"5 training families (cloudphysics,metacdn,metakv,twemcache,wiki2018), validation family=citibike, held-out family=brightkite contributes ZERO rows (see fold isolation checks)",yes,no,reused_heavy_r1_grid_selected_on_validation_family_only,0,none,1411.5893,ok,,cross_family_v1_brightkite,b81e43d326ad1d75c85b923debb3e95a89cb406f6218432bebf6d77f8bee5df0,citibike,cloudphysics;metacdn;metakv;twemcache;wiki2018
reviewer_fairness_v1,evict_value_v1_cross_family_v1,deployment_full_stream,native_pretrained_cross_family,n/a,brightkite_50k,04c8cebb51742e7f192b6654e0e3029690a74b8ff494db771f0e132dc68d01de,64,object_slots,unit,0,10000,0,50000,0,50000,32389,17611,0.35222,"processes_[0,10000)_then_scores_[10000,50000)",offline_pretrained_frozen_cross_family,"5 training families (cloudphysics,metacdn,metakv,twemcache,wiki2018), validation family=citibike, held-out family=brightkite contributes ZERO rows (see fold isolation checks)",yes,no,reused_heavy_r1_grid_selected_on_validation_family_only,0,none,2078.7675,ok,,cross_family_v1_brightkite,b81e43d326ad1d75c85b923debb3e95a89cb406f6218432bebf6d77f8bee5df0,citibike,cloudphysics;metacdn;metakv;twemcache;wiki2018
reviewer_fairness_v1,evict_value_v1_cross_family_v1,primary_controlled_window,native_pretrained_cross_family,n/a,brightkite_50k,04c8cebb51742e7f192b6654e0e3029690a74b8ff494db771f0e132dc68d01de,64,object_slots,unit,0,10000,10000,50000,10000,40000,25932,14068,0.3517,"processes_[0,10000)_then_scores_[10000,50000)",offline_pretrained_frozen_cross_family,"5 training families (cloudphysics,metacdn,metakv,twemcache,wiki2018), validation family=citibike, held-out family=brightkite contributes ZERO rows (see fold isolation checks)",yes,no,reused_heavy_r1_grid_selected_on_validation_family_only,0,none,2078.7675,ok,,cross_family_v1_brightkite,b81e43d326ad1d75c85b923debb3e95a89cb406f6218432bebf6d77f8bee5df0,citibike,cloudphysics;metacdn;metakv;twemcache;wiki2018
reviewer_fairness_v1,evict_value_v1_cross_family_v1,deployment_full_stream,native_pretrained_cross_family,n/a,brightkite_50k,04c8cebb51742e7f192b6654e0e3029690a74b8ff494db771f0e132dc68d01de,128,object_slots,unit,0,10000,0,50000,0,50000,32528,17472,0.34944,"processes_[0,10000)_then_scores_[10000,50000)",offline_pretrained_frozen_cross_family,"5 training families (cloudphysics,metacdn,metakv,twemcache,wiki2018), validation family=citibike, held-out family=brightkite contributes ZERO rows (see fold isolation checks)",yes,no,reused_heavy_r1_grid_selected_on_validation_family_only,0,none,3352.8941,ok,,cross_family_v1_brightkite,b81e43d326ad1d75c85b923debb3e95a89cb406f6218432bebf6d77f8bee5df0,citibike,cloudphysics;metacdn;metakv;twemcache;wiki2018
reviewer_fairness_v1,evict_value_v1_cross_family_v1,primary_controlled_window,native_pretrained_cross_family,n/a,brightkite_50k,04c8cebb51742e7f192b6654e0e3029690a74b8ff494db771f0e132dc68d01de,128,object_slots,unit,0,10000,10000,50000,10000,40000,26014,13986,0.34965,"processes_[0,10000)_then_scores_[10000,50000)",offline_pretrained_frozen_cross_family,"5 training families (cloudphysics,metacdn,metakv,twemcache,wiki2018), validation family=citibike, held-out family=brightkite contributes ZERO rows (see fold isolation checks)",yes,no,reused_heavy_r1_grid_selected_on_validation_family_only,0,none,3352.8941,ok,,cross_family_v1_brightkite,b81e43d326ad1d75c85b923debb3e95a89cb406f6218432bebf6d77f8bee5df0,citibike,cloudphysics;metacdn;metakv;twemcache;wiki2018
reviewer_fairness_v1,evict_value_v1_cross_family_v1,deployment_full_stream,native_pretrained_cross_family,n/a,citibike_202401_50k,1ddab59d9dd9cd32ced3bf7409a2e2432cc6453cd06a6837670babb7f5d77130,32,object_slots,unit,0,10000,0,50000,0,50000,28937,21063,0.42126,"processes_[0,10000)_then_scores_[10000,50000)",offline_pretrained_frozen_cross_family,"5 training families (brightkite,metacdn,metakv,twemcache,wiki2018), validation family=cloudphysics, held-out family=citibike contributes ZERO rows (see fold isolation checks)",yes,no,reused_heavy_r1_grid_selected_on_validation_family_only,0,none,826.101,ok,,cross_family_v1_citibike,917431ef90be1d127c807e40984d6a4b2aff769a403fb820df5405621c8b95d9,cloudphysics,brightkite;metacdn;metakv;twemcache;wiki2018
reviewer_fairness_v1,evict_value_v1_cross_family_v1,primary_controlled_window,native_pretrained_cross_family,n/a,citibike_202401_50k,1ddab59d9dd9cd32ced3bf7409a2e2432cc6453cd06a6837670babb7f5d77130,32,object_slots,unit,0,10000,10000,50000,10000,40000,22475,17525,0.438125,"processes_[0,10000)_then_scores_[10000,50000)",offline_pretrained_frozen_cross_family,"5 training families (brightkite,metacdn,metakv,twemcache,wiki2018), validation family=cloudphysics, held-out family=citibike contributes ZERO rows (see fold isolation checks)",yes,no,reused_heavy_r1_grid_selected_on_validation_family_only,0,none,826.101,ok,,cross_family_v1_citibike,917431ef90be1d127c807e40984d6a4b2aff769a403fb820df5405621c8b95d9,cloudphysics,brightkite;metacdn;metakv;twemcache;wiki2018
reviewer_fairness_v1,evict_value_v1_cross_family_v1,deployment_full_stream,native_pretrained_cross_family,n/a,citibike_202401_50k,1ddab59d9dd9cd32ced3bf7409a2e2432cc6453cd06a6837670babb7f5d77130,64,object_slots,unit,0,10000,0,50000,0,50000,30647,19353,0.38706,"processes_[0,10000)_then_scores_[10000,50000)",offline_pretrained_frozen_cross_family,"5 training families (brightkite,metacdn,metakv,twemcache,wiki2018), validation family=cloudphysics, held-out family=citibike contributes ZERO rows (see fold isolation checks)",yes,no,reused_heavy_r1_grid_selected_on_validation_family_only,0,none,1604.2602,ok,,cross_family_v1_citibike,917431ef90be1d127c807e40984d6a4b2aff769a403fb820df5405621c8b95d9,cloudphysics,brightkite;metacdn;metakv;twemcache;wiki2018
reviewer_fairness_v1,evict_value_v1_cross_family_v1,primary_controlled_window,native_pretrained_cross_family,n/a,citibike_202401_50k,1ddab59d9dd9cd32ced3bf7409a2e2432cc6453cd06a6837670babb7f5d77130,64,object_slots,unit,0,10000,10000,50000,10000,40000,23892,16108,0.4027,"processes_[0,10000)_then_scores_[10000,50000)",offline_pretrained_frozen_cross_family,"5 training families (brightkite,metacdn,metakv,twemcache,wiki2018), validation family=cloudphysics, held-out family=citibike contributes ZERO rows (see fold isolation checks)",yes,no,reused_heavy_r1_grid_selected_on_validation_family_only,0,none,1604.2602,ok,,cross_family_v1_citibike,917431ef90be1d127c807e40984d6a4b2aff769a403fb820df5405621c8b95d9,cloudphysics,brightkite;metacdn;metakv;twemcache;wiki2018
