family,supplementary_mean_regret_vs_lru,wins,losses,ties,worst_capacity,primary_miss_ratio_cap32,primary_miss_ratio_cap64,primary_miss_ratio_cap128
brightkite,0.09801476159737832,0,3,0,128,0.391975,0.3517,0.34965
citibike,0.05290448831201968,0,3,0,128,0.438125,0.4027,0.389025
cloudphysics,0.016593571990632505,0,3,0,128,0.993375,0.9851,0.983075
metacdn,0.11687679453496229,0,3,0,32,0.730175,0.587675,0.58025
metakv,0.008442046539078605,0,3,0,32,0.78185,0.7638,0.763225
twemcache,0.07730466617057001,0,3,0,128,0.7751,0.72245,0.720475
wiki2018,0.0,0,0,3,32,1.0,1.0,1.0
