trace,capacity,variant,misses,hit_rate,predictor_frac,fallback_frac,tie_frac,match_lru,match_blind_oracle,match_predictive_marker,contexts_seen,bad_outcomes,good_outcomes,strong_trust_contexts,weak_trust_contexts,avg_local_trust,regret_mode,bad_detection_rate
data/example_unweighted.json,2,regret_linear,10,0.0,0.0,0.0,1.0,1.0,0.375,1.0,1,0,0,0,0,0.7,linear,0.0
data/example_unweighted.json,3,regret_linear,6,0.4,0.0,0.0,1.0,1.0,0.3333333333333333,1.0,1,0,0,0,0,0.7,linear,0.0
data/example_unweighted.json,4,regret_linear,4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,linear,0.0
data/example_atlas_v1.json,2,regret_linear,9,0.1,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.5714285714285714,5,1,0,0,0,0.6831999999999999,linear,1.0
data/example_atlas_v1.json,3,regret_linear,7,0.3,0.5,0.25,0.25,0.5,0.75,0.75,5,1,0,0,0,0.6808,linear,1.0
data/example_atlas_v1.json,4,regret_linear,6,0.4,0.0,0.0,1.0,1.0,0.5,1.0,5,0,0,0,0,0.7,linear,0.0
stress::predictor_good_lru_bad,2,regret_linear,7,0.3,0.4,0.0,0.6,0.6,1.0,1.0,2,1,0,0,0,0.6399999999999999,linear,1.0
stress::predictor_good_lru_bad,3,regret_linear,7,0.3,0.0,0.0,1.0,1.0,0.25,1.0,2,0,0,0,0,0.7,linear,0.0
stress::predictor_good_lru_bad,4,regret_linear,4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,linear,0.0
stress::predictor_bad_lru_good,2,regret_linear,9,0.1,0.5714285714285714,0.0,0.42857142857142855,0.42857142857142855,0.42857142857142855,1.0,2,3,0,0,0,0.52,linear,1.0
stress::predictor_bad_lru_good,3,regret_linear,8,0.2,0.6,0.0,0.4,0.4,0.4,1.0,2,2,0,0,0,0.58,linear,1.0
stress::predictor_bad_lru_good,4,regret_linear,7,0.3,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,2,1,0,0,0,0.6399999999999999,linear,1.0
stress::mixed_regime,2,regret_linear,8,0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.8333333333333334,0.6666666666666666,5,2,0,0,0,0.6616,linear,1.0
stress::mixed_regime,3,regret_linear,7,0.3,0.25,0.5,0.25,0.75,0.0,0.5,4,0,0,0,0,0.7,linear,0.0
stress::mixed_regime,4,regret_linear,4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,linear,0.0
stress::regime_shift,2,regret_linear,10,0.16666666666666666,0.625,0.0,0.375,0.375,0.5,1.0,2,3,0,0,0,0.52,linear,1.0
stress::regime_shift,3,regret_linear,6,0.5,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,2,0,0,0,0,0.7,linear,0.0
stress::regime_shift,4,regret_linear,6,0.5,0.5,0.0,0.5,0.5,0.5,1.0,2,0,0,0,0,0.7,linear,0.0
stress::confidence_calibrated,2,regret_linear,7,0.3,0.6,0.0,0.4,0.4,1.0,1.0,3,2,0,0,0,0.628,linear,1.0
stress::confidence_calibrated,3,regret_linear,5,0.5,0.0,0.0,1.0,1.0,1.0,1.0,3,0,0,0,0,0.7,linear,0.0
stress::confidence_calibrated,4,regret_linear,5,0.5,0.0,0.0,1.0,1.0,1.0,1.0,3,0,0,0,0,0.7,linear,0.0
stress::confidence_miscalibrated,2,regret_linear,10,0.0,0.0,0.375,0.625,1.0,0.375,0.625,3,0,0,0,0,0.7,linear,0.0
stress::confidence_miscalibrated,3,regret_linear,5,0.5,0.0,0.0,1.0,1.0,1.0,1.0,3,0,0,0,0,0.7,linear,0.0
stress::confidence_miscalibrated,4,regret_linear,5,0.5,0.0,0.0,1.0,1.0,1.0,1.0,3,0,0,0,0,0.7,linear,0.0
data/example_unweighted.json,2,regret_exp2,10,0.0,0.0,0.0,1.0,1.0,0.375,1.0,1,0,0,0,0,0.7,exp2,0.0
data/example_unweighted.json,3,regret_exp2,6,0.4,0.0,0.0,1.0,1.0,0.3333333333333333,1.0,1,0,0,0,0,0.7,exp2,0.0
data/example_unweighted.json,4,regret_exp2,4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,exp2,0.0
data/example_atlas_v1.json,2,regret_exp2,9,0.1,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.5714285714285714,5,1,0,0,0,0.6831999999999999,exp2,1.0
data/example_atlas_v1.json,3,regret_exp2,7,0.3,0.5,0.25,0.25,0.5,0.75,0.75,5,1,0,0,0,0.6808,exp2,1.0
data/example_atlas_v1.json,4,regret_exp2,6,0.4,0.0,0.0,1.0,1.0,0.5,1.0,5,0,0,0,0,0.7,exp2,0.0
stress::predictor_good_lru_bad,2,regret_exp2,7,0.3,0.4,0.0,0.6,0.6,1.0,1.0,2,1,0,0,0,0.6399999999999999,exp2,1.0
stress::predictor_good_lru_bad,3,regret_exp2,7,0.3,0.0,0.0,1.0,1.0,0.25,1.0,2,0,0,0,0,0.7,exp2,0.0
stress::predictor_good_lru_bad,4,regret_exp2,4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,exp2,0.0
stress::predictor_bad_lru_good,2,regret_exp2,9,0.1,0.5714285714285714,0.0,0.42857142857142855,0.42857142857142855,0.42857142857142855,1.0,2,3,0,0,0,0.52,exp2,1.0
stress::predictor_bad_lru_good,3,regret_exp2,8,0.2,0.6,0.0,0.4,0.4,0.4,1.0,2,2,0,0,0,0.58,exp2,1.0
stress::predictor_bad_lru_good,4,regret_exp2,7,0.3,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,2,1,0,0,0,0.6399999999999999,exp2,1.0
stress::mixed_regime,2,regret_exp2,8,0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.8333333333333334,0.6666666666666666,5,2,0,0,0,0.6616,exp2,1.0
stress::mixed_regime,3,regret_exp2,7,0.3,0.25,0.5,0.25,0.75,0.0,0.5,4,0,0,0,0,0.7,exp2,0.0
stress::mixed_regime,4,regret_exp2,4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,exp2,0.0
stress::regime_shift,2,regret_exp2,10,0.16666666666666666,0.625,0.0,0.375,0.375,0.5,1.0,2,3,0,0,0,0.52,exp2,1.0
stress::regime_shift,3,regret_exp2,6,0.5,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,2,0,0,0,0,0.7,exp2,0.0
stress::regime_shift,4,regret_exp2,6,0.5,0.5,0.0,0.5,0.5,0.5,1.0,2,0,0,0,0,0.7,exp2,0.0
stress::confidence_calibrated,2,regret_exp2,7,0.3,0.6,0.0,0.4,0.4,1.0,1.0,3,2,0,0,0,0.628,exp2,1.0
stress::confidence_calibrated,3,regret_exp2,5,0.5,0.0,0.0,1.0,1.0,1.0,1.0,3,0,0,0,0,0.7,exp2,0.0
stress::confidence_calibrated,4,regret_exp2,5,0.5,0.0,0.0,1.0,1.0,1.0,1.0,3,0,0,0,0,0.7,exp2,0.0
stress::confidence_miscalibrated,2,regret_exp2,10,0.0,0.0,0.375,0.625,1.0,0.375,0.625,3,0,0,0,0,0.7,exp2,0.0
stress::confidence_miscalibrated,3,regret_exp2,5,0.5,0.0,0.0,1.0,1.0,1.0,1.0,3,0,0,0,0,0.7,exp2,0.0
stress::confidence_miscalibrated,4,regret_exp2,5,0.5,0.0,0.0,1.0,1.0,1.0,1.0,3,0,0,0,0,0.7,exp2,0.0
data/example_unweighted.json,2,regret_sqrt,10,0.0,0.0,0.0,1.0,1.0,0.375,1.0,1,0,0,0,0,0.7,sqrt,0.0
data/example_unweighted.json,3,regret_sqrt,6,0.4,0.0,0.0,1.0,1.0,0.3333333333333333,1.0,1,0,0,0,0,0.7,sqrt,0.0
data/example_unweighted.json,4,regret_sqrt,4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,sqrt,0.0
data/example_atlas_v1.json,2,regret_sqrt,9,0.1,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.5714285714285714,5,0,1,0,0,0.7041999999999999,sqrt,0.0
data/example_atlas_v1.json,3,regret_sqrt,7,0.3,0.5,0.25,0.25,0.5,0.75,0.75,5,1,0,0,0,0.6808,sqrt,1.0
data/example_atlas_v1.json,4,regret_sqrt,6,0.4,0.0,0.0,1.0,1.0,0.5,1.0,5,0,0,0,0,0.7,sqrt,0.0
stress::predictor_good_lru_bad,2,regret_sqrt,7,0.3,0.4,0.0,0.6,0.6,1.0,1.0,2,1,0,0,0,0.6399999999999999,sqrt,1.0
