trace,capacity,variant,misses,hit_rate,predictor_frac,fallback_frac,tie_frac,match_lru,match_blind_oracle,match_predictive_marker,contexts_seen,bad_outcomes,good_outcomes,strong_trust_contexts,weak_trust_contexts,avg_local_trust,policy
data/example_unweighted.json,2,atlas_v3_default,10,0.0,0.0,0.0,1.0,1.0,0.375,1.0,1,0,0,0,0,0.7,atlas_v3
data/example_unweighted.json,2,eta_pos=0.02_eta_neg=0.4,10,0.0,0.0,0.0,1.0,1.0,0.375,1.0,1,0,0,0,0,0.7,atlas_v3
data/example_unweighted.json,2,default,10,0.0,,,,1.0,0.125,0.25,,,,,,,atlas_v1
data/example_unweighted.json,2,default,10,0.0,,,,1.0,0.125,0.25,,,,,,,atlas_v2
data/example_unweighted.json,2,default,10,0.0,,,,1.0,0.125,0.25,,,,,,,lru
data/example_unweighted.json,2,default,8,0.2,,,,0.16666666666666666,1.0,0.5,,,,,,,blind_oracle
data/example_unweighted.json,2,default,8,0.2,,,,0.3333333333333333,0.5,1.0,,,,,,,predictive_marker
data/example_unweighted.json,2,default,8,0.2,,,,0.16666666666666666,0.8333333333333334,0.3333333333333333,,,,,,,trust_and_doubt
data/example_unweighted.json,3,atlas_v3_default,6,0.4,0.0,0.0,1.0,1.0,0.3333333333333333,1.0,1,0,0,0,0,0.7,atlas_v3
data/example_unweighted.json,3,eta_pos=0.02_eta_neg=0.4,6,0.4,0.0,0.0,1.0,1.0,0.3333333333333333,1.0,1,0,0,0,0,0.7,atlas_v3
data/example_unweighted.json,3,default,6,0.4,,,,1.0,0.0,0.0,,,,,,,atlas_v1
data/example_unweighted.json,3,default,6,0.4,,,,1.0,0.0,0.0,,,,,,,atlas_v2
data/example_unweighted.json,3,default,6,0.4,,,,1.0,0.0,0.0,,,,,,,lru
data/example_unweighted.json,3,default,5,0.5,,,,0.0,1.0,1.0,,,,,,,blind_oracle
data/example_unweighted.json,3,default,5,0.5,,,,0.0,1.0,1.0,,,,,,,predictive_marker
data/example_unweighted.json,3,default,5,0.5,,,,0.0,1.0,1.0,,,,,,,trust_and_doubt
data/example_unweighted.json,4,atlas_v3_default,4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,atlas_v3
data/example_unweighted.json,4,eta_pos=0.02_eta_neg=0.4,4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,atlas_v3
data/example_unweighted.json,4,default,4,0.6,,,,0.0,0.0,0.0,,,,,,,atlas_v1
data/example_unweighted.json,4,default,4,0.6,,,,0.0,0.0,0.0,,,,,,,atlas_v2
data/example_unweighted.json,4,default,4,0.6,,,,0.0,0.0,0.0,,,,,,,lru
data/example_unweighted.json,4,default,4,0.6,,,,0.0,0.0,0.0,,,,,,,blind_oracle
data/example_unweighted.json,4,default,4,0.6,,,,0.0,0.0,0.0,,,,,,,predictive_marker
data/example_unweighted.json,4,default,4,0.6,,,,0.0,0.0,0.0,,,,,,,trust_and_doubt
data/example_atlas_v1.json,2,atlas_v3_default,9,0.1,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.5714285714285714,5,1,0,0,0,0.6831999999999999,atlas_v3
data/example_atlas_v1.json,2,eta_pos=0.02_eta_neg=0.4,9,0.1,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.5714285714285714,5,1,0,0,0,0.6439999999999999,atlas_v3
data/example_atlas_v1.json,2,default,8,0.2,,,,0.5,0.16666666666666666,0.6666666666666666,,,,,,,atlas_v1
data/example_atlas_v1.json,2,default,8,0.2,,,,0.3333333333333333,0.3333333333333333,0.5,,,,,,,atlas_v2
data/example_atlas_v1.json,2,default,10,0.0,,,,1.0,0.25,0.75,,,,,,,lru
data/example_atlas_v1.json,2,default,10,0.0,,,,0.25,1.0,0.0,,,,,,,blind_oracle
data/example_atlas_v1.json,2,default,9,0.1,,,,0.8571428571428571,0.0,1.0,,,,,,,predictive_marker
data/example_atlas_v1.json,2,default,9,0.1,,,,0.42857142857142855,0.14285714285714285,0.5714285714285714,,,,,,,trust_and_doubt
data/example_atlas_v1.json,3,atlas_v3_default,7,0.3,0.5,0.25,0.25,0.5,0.75,0.75,5,1,0,0,0,0.6808,atlas_v3
data/example_atlas_v1.json,3,eta_pos=0.02_eta_neg=0.4,7,0.3,0.5,0.25,0.25,0.5,0.75,0.75,5,1,0,0,0,0.6359999999999999,atlas_v3
data/example_atlas_v1.json,3,default,7,0.3,,,,0.5,0.0,0.25,,,,,,,atlas_v1
data/example_atlas_v1.json,3,default,7,0.3,,,,0.5,0.0,0.25,,,,,,,atlas_v2
data/example_atlas_v1.json,3,default,9,0.1,,,,1.0,0.0,0.16666666666666666,,,,,,,lru
data/example_atlas_v1.json,3,default,8,0.2,,,,0.0,1.0,0.0,,,,,,,blind_oracle
data/example_atlas_v1.json,3,default,7,0.3,,,,0.25,0.0,1.0,,,,,,,predictive_marker
data/example_atlas_v1.json,3,default,6,0.4,,,,0.0,0.0,0.3333333333333333,,,,,,,trust_and_doubt
data/example_atlas_v1.json,4,atlas_v3_default,6,0.4,0.0,0.0,1.0,1.0,0.5,1.0,5,0,0,0,0,0.7,atlas_v3
data/example_atlas_v1.json,4,eta_pos=0.02_eta_neg=0.4,6,0.4,0.0,0.0,1.0,1.0,0.5,1.0,5,0,0,0,0,0.7,atlas_v3
data/example_atlas_v1.json,4,default,6,0.4,,,,1.0,0.0,0.0,,,,,,,atlas_v1
data/example_atlas_v1.json,4,default,6,0.4,,,,1.0,0.0,0.0,,,,,,,atlas_v2
data/example_atlas_v1.json,4,default,6,0.4,,,,1.0,0.0,0.0,,,,,,,lru
data/example_atlas_v1.json,4,default,7,0.3,,,,0.0,1.0,0.0,,,,,,,blind_oracle
data/example_atlas_v1.json,4,default,5,0.5,,,,0.0,0.0,1.0,,,,,,,predictive_marker
data/example_atlas_v1.json,4,default,5,0.5,,,,0.0,0.0,1.0,,,,,,,trust_and_doubt
stress::predictor_good_lru_bad,2,atlas_v3_default,7,0.3,0.4,0.0,0.6,0.6,1.0,1.0,2,1,0,0,0,0.6399999999999999,atlas_v3
stress::predictor_good_lru_bad,2,eta_pos=0.02_eta_neg=0.4,8,0.2,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,2,1,0,0,0,0.49999999999999994,atlas_v3
stress::predictor_good_lru_bad,2,default,7,0.3,,,,0.6,0.2,0.6,,,,,,,atlas_v1
stress::predictor_good_lru_bad,2,default,7,0.3,,,,0.6,0.2,0.6,,,,,,,atlas_v2
stress::predictor_good_lru_bad,2,default,9,0.1,,,,1.0,0.2857142857142857,0.42857142857142855,,,,,,,lru
stress::predictor_good_lru_bad,2,default,9,0.1,,,,0.2857142857142857,1.0,0.14285714285714285,,,,,,,blind_oracle
stress::predictor_good_lru_bad,2,default,8,0.2,,,,0.5,0.16666666666666666,1.0,,,,,,,predictive_marker
stress::predictor_good_lru_bad,2,default,7,0.3,,,,0.6,0.2,0.6,,,,,,,trust_and_doubt
stress::predictor_good_lru_bad,3,atlas_v3_default,7,0.3,0.0,0.0,1.0,1.0,0.25,1.0,2,0,0,0,0,0.7,atlas_v3
