trace,capacity,variant,misses,hit_rate,predictor_frac,fallback_frac,tie_frac,match_lru,match_blind_oracle,match_predictive_marker,contexts_seen,bad_outcomes,good_outcomes,strong_trust_contexts,weak_trust_contexts,avg_local_trust,context_mode,bucket_group_size
data/example_unweighted.json,2,bucket_only,10,0.0,0.0,0.0,1.0,1.0,0.375,1.0,1,0,0,0,0,0.7,bucket_only,
data/example_unweighted.json,2,confidence_only,10,0.0,0.0,0.0,1.0,1.0,0.375,1.0,1,0,0,0,0,0.7,confidence_only,
data/example_unweighted.json,2,bucket_confidence,10,0.0,0.0,0.0,1.0,1.0,0.375,1.0,1,0,0,0,0,0.7,bucket_confidence,
data/example_unweighted.json,2,bucket_group_confidence,10,0.0,0.0,0.0,1.0,1.0,0.375,1.0,1,0,0,0,0,0.7,bucket_group_confidence,2
data/example_unweighted.json,3,bucket_only,6,0.4,0.0,0.0,1.0,1.0,0.3333333333333333,1.0,1,0,0,0,0,0.7,bucket_only,
data/example_unweighted.json,3,confidence_only,6,0.4,0.0,0.0,1.0,1.0,0.3333333333333333,1.0,1,0,0,0,0,0.7,confidence_only,
data/example_unweighted.json,3,bucket_confidence,6,0.4,0.0,0.0,1.0,1.0,0.3333333333333333,1.0,1,0,0,0,0,0.7,bucket_confidence,
data/example_unweighted.json,3,bucket_group_confidence,6,0.4,0.0,0.0,1.0,1.0,0.3333333333333333,1.0,1,0,0,0,0,0.7,bucket_group_confidence,2
data/example_unweighted.json,4,bucket_only,4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,bucket_only,
data/example_unweighted.json,4,confidence_only,4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,confidence_only,
data/example_unweighted.json,4,bucket_confidence,4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,bucket_confidence,
data/example_unweighted.json,4,bucket_group_confidence,4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,bucket_group_confidence,2
data/example_atlas_v1.json,2,bucket_only,9,0.1,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.5714285714285714,4,1,0,0,0,0.6789999999999999,bucket_only,
data/example_atlas_v1.json,2,confidence_only,9,0.1,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.8571428571428571,0.7142857142857143,0.5714285714285714,2,1,0,0,0,0.6579999999999999,confidence_only,
data/example_atlas_v1.json,2,bucket_confidence,9,0.1,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.5714285714285714,5,1,0,0,0,0.6831999999999999,bucket_confidence,
data/example_atlas_v1.json,2,bucket_group_confidence,9,0.1,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.8571428571428571,0.7142857142857143,0.5714285714285714,3,1,0,0,0,0.6719999999999999,bucket_group_confidence,2
data/example_atlas_v1.json,3,bucket_only,7,0.3,0.5,0.25,0.25,0.5,0.75,0.75,4,1,0,0,0,0.6759999999999999,bucket_only,
data/example_atlas_v1.json,3,confidence_only,7,0.3,0.5,0.25,0.25,0.5,0.75,0.75,2,1,0,0,0,0.6519999999999999,confidence_only,
data/example_atlas_v1.json,3,bucket_confidence,7,0.3,0.5,0.25,0.25,0.5,0.75,0.75,5,1,0,0,0,0.6808,bucket_confidence,
data/example_atlas_v1.json,3,bucket_group_confidence,7,0.3,0.5,0.25,0.25,0.5,0.75,0.75,3,1,0,0,0,0.6679999999999999,bucket_group_confidence,2
data/example_atlas_v1.json,4,bucket_only,6,0.4,0.0,0.0,1.0,1.0,0.5,1.0,4,0,0,0,0,0.7,bucket_only,
data/example_atlas_v1.json,4,confidence_only,6,0.4,0.0,0.0,1.0,1.0,0.5,1.0,2,0,0,0,0,0.7,confidence_only,
data/example_atlas_v1.json,4,bucket_confidence,6,0.4,0.0,0.0,1.0,1.0,0.5,1.0,5,0,0,0,0,0.7,bucket_confidence,
data/example_atlas_v1.json,4,bucket_group_confidence,6,0.4,0.0,0.0,1.0,1.0,0.5,1.0,3,0,0,0,0,0.7,bucket_group_confidence,2
stress::predictor_good_lru_bad,2,bucket_only,7,0.3,0.4,0.0,0.6,0.6,1.0,1.0,2,1,0,0,0,0.6399999999999999,bucket_only,
stress::predictor_good_lru_bad,2,confidence_only,7,0.3,0.4,0.0,0.6,0.6,1.0,1.0,1,1,0,0,0,0.58,confidence_only,
stress::predictor_good_lru_bad,2,bucket_confidence,7,0.3,0.4,0.0,0.6,0.6,1.0,1.0,2,1,0,0,0,0.6399999999999999,bucket_confidence,
stress::predictor_good_lru_bad,2,bucket_group_confidence,7,0.3,0.4,0.0,0.6,0.6,1.0,1.0,2,1,0,0,0,0.6399999999999999,bucket_group_confidence,2
stress::predictor_good_lru_bad,3,bucket_only,7,0.3,0.0,0.0,1.0,1.0,0.25,1.0,2,0,0,0,0,0.7,bucket_only,
stress::predictor_good_lru_bad,3,confidence_only,7,0.3,0.0,0.0,1.0,1.0,0.25,1.0,1,0,0,0,0,0.7,confidence_only,
stress::predictor_good_lru_bad,3,bucket_confidence,7,0.3,0.0,0.0,1.0,1.0,0.25,1.0,2,0,0,0,0,0.7,bucket_confidence,
stress::predictor_good_lru_bad,3,bucket_group_confidence,7,0.3,0.0,0.0,1.0,1.0,0.25,1.0,2,0,0,0,0,0.7,bucket_group_confidence,2
stress::predictor_good_lru_bad,4,bucket_only,4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,bucket_only,
stress::predictor_good_lru_bad,4,confidence_only,4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,confidence_only,
stress::predictor_good_lru_bad,4,bucket_confidence,4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,bucket_confidence,
stress::predictor_good_lru_bad,4,bucket_group_confidence,4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,bucket_group_confidence,2
stress::predictor_bad_lru_good,2,bucket_only,9,0.1,0.5714285714285714,0.0,0.42857142857142855,0.42857142857142855,0.42857142857142855,1.0,2,3,0,0,0,0.52,bucket_only,
stress::predictor_bad_lru_good,2,confidence_only,8,0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,1,2,0,0,0,0.45999999999999996,confidence_only,
stress::predictor_bad_lru_good,2,bucket_confidence,9,0.1,0.5714285714285714,0.0,0.42857142857142855,0.42857142857142855,0.42857142857142855,1.0,2,3,0,0,0,0.52,bucket_confidence,
stress::predictor_bad_lru_good,2,bucket_group_confidence,9,0.1,0.5714285714285714,0.0,0.42857142857142855,0.42857142857142855,0.42857142857142855,1.0,2,3,0,0,0,0.52,bucket_group_confidence,2
stress::predictor_bad_lru_good,3,bucket_only,8,0.2,0.6,0.0,0.4,0.4,0.4,1.0,2,2,0,0,0,0.58,bucket_only,
stress::predictor_bad_lru_good,3,confidence_only,8,0.2,0.4,0.2,0.4,0.6,0.6,0.8,1,2,0,0,0,0.45999999999999996,confidence_only,
stress::predictor_bad_lru_good,3,bucket_confidence,8,0.2,0.6,0.0,0.4,0.4,0.4,1.0,2,2,0,0,0,0.58,bucket_confidence,
stress::predictor_bad_lru_good,3,bucket_group_confidence,8,0.2,0.6,0.0,0.4,0.4,0.4,1.0,2,2,0,0,0,0.58,bucket_group_confidence,2
stress::predictor_bad_lru_good,4,bucket_only,7,0.3,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,2,1,0,0,0,0.6399999999999999,bucket_only,
stress::predictor_bad_lru_good,4,confidence_only,7,0.3,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1,1,0,0,0,0.58,confidence_only,
stress::predictor_bad_lru_good,4,bucket_confidence,7,0.3,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,2,1,0,0,0,0.6399999999999999,bucket_confidence,
stress::predictor_bad_lru_good,4,bucket_group_confidence,7,0.3,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,2,1,0,0,0,0.6399999999999999,bucket_group_confidence,2
stress::mixed_regime,2,bucket_only,8,0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.8333333333333334,0.6666666666666666,4,2,0,0,0,0.6519999999999999,bucket_only,
stress::mixed_regime,2,confidence_only,9,0.1,0.14285714285714285,0.5714285714285714,0.2857142857142857,0.8571428571428571,0.5714285714285714,0.42857142857142855,2,1,0,0,0,0.6459999999999999,confidence_only,
stress::mixed_regime,2,bucket_confidence,8,0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.8333333333333334,0.6666666666666666,5,2,0,0,0,0.6616,bucket_confidence,
stress::mixed_regime,2,bucket_group_confidence,8,0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.8333333333333334,0.6666666666666666,4,2,0,0,0,0.6519999999999999,bucket_group_confidence,2
stress::mixed_regime,3,bucket_only,7,0.3,0.25,0.5,0.25,0.75,0.0,0.5,4,0,0,0,0,0.7,bucket_only,
stress::mixed_regime,3,confidence_only,7,0.3,0.25,0.5,0.25,0.75,0.0,0.5,2,0,0,0,0,0.7,confidence_only,
stress::mixed_regime,3,bucket_confidence,7,0.3,0.25,0.5,0.25,0.75,0.0,0.5,4,0,0,0,0,0.7,bucket_confidence,
stress::mixed_regime,3,bucket_group_confidence,7,0.3,0.25,0.5,0.25,0.75,0.0,0.5,4,0,0,0,0,0.7,bucket_group_confidence,2
stress::mixed_regime,4,bucket_only,4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,bucket_only,
stress::mixed_regime,4,confidence_only,4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,confidence_only,
stress::mixed_regime,4,bucket_confidence,4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,bucket_confidence,
stress::mixed_regime,4,bucket_group_confidence,4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,bucket_group_confidence,2
stress::regime_shift,2,bucket_only,10,0.16666666666666666,0.625,0.0,0.375,0.375,0.5,1.0,2,3,0,0,0,0.52,bucket_only,
stress::regime_shift,2,confidence_only,10,0.16666666666666666,0.375,0.25,0.375,0.625,0.5,0.75,1,2,0,0,0,0.45999999999999996,confidence_only,
stress::regime_shift,2,bucket_confidence,10,0.16666666666666666,0.625,0.0,0.375,0.375,0.5,1.0,2,3,0,0,0,0.52,bucket_confidence,
stress::regime_shift,2,bucket_group_confidence,10,0.16666666666666666,0.625,0.0,0.375,0.375,0.5,1.0,2,3,0,0,0,0.52,bucket_group_confidence,2
stress::regime_shift,3,bucket_only,6,0.5,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,2,0,0,0,0,0.7,bucket_only,
stress::regime_shift,3,confidence_only,6,0.5,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1,0,0,0,0,0.7,confidence_only,
stress::regime_shift,3,bucket_confidence,6,0.5,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,2,0,0,0,0,0.7,bucket_confidence,
stress::regime_shift,3,bucket_group_confidence,6,0.5,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,2,0,0,0,0,0.7,bucket_group_confidence,2
stress::regime_shift,4,bucket_only,6,0.5,0.5,0.0,0.5,0.5,0.5,1.0,2,0,0,0,0,0.7,bucket_only,
stress::regime_shift,4,confidence_only,6,0.5,0.5,0.0,0.5,0.5,0.5,1.0,1,0,0,0,0,0.7,confidence_only,
stress::regime_shift,4,bucket_confidence,6,0.5,0.5,0.0,0.5,0.5,0.5,1.0,2,0,0,0,0,0.7,bucket_confidence,
stress::regime_shift,4,bucket_group_confidence,6,0.5,0.5,0.0,0.5,0.5,0.5,1.0,2,0,0,0,0,0.7,bucket_group_confidence,2
stress::confidence_calibrated,2,bucket_only,7,0.3,0.6,0.0,0.4,0.4,1.0,1.0,2,2,0,0,0,0.592,bucket_only,
stress::confidence_calibrated,2,confidence_only,8,0.2,0.3333333333333333,0.16666666666666666,0.5,0.6666666666666666,0.8333333333333334,0.8333333333333334,2,2,0,0,0,0.592,confidence_only,
stress::confidence_calibrated,2,bucket_confidence,7,0.3,0.6,0.0,0.4,0.4,1.0,1.0,3,2,0,0,0,0.628,bucket_confidence,
stress::confidence_calibrated,2,bucket_group_confidence,7,0.3,0.6,0.0,0.4,0.4,1.0,1.0,3,2,0,0,0,0.628,bucket_group_confidence,2
stress::confidence_calibrated,3,bucket_only,5,0.5,0.0,0.0,1.0,1.0,1.0,1.0,2,0,0,0,0,0.7,bucket_only,
stress::confidence_calibrated,3,confidence_only,5,0.5,0.0,0.0,1.0,1.0,1.0,1.0,2,0,0,0,0,0.7,confidence_only,
stress::confidence_calibrated,3,bucket_confidence,5,0.5,0.0,0.0,1.0,1.0,1.0,1.0,3,0,0,0,0,0.7,bucket_confidence,
stress::confidence_calibrated,3,bucket_group_confidence,5,0.5,0.0,0.0,1.0,1.0,1.0,1.0,3,0,0,0,0,0.7,bucket_group_confidence,2
stress::confidence_calibrated,4,bucket_only,5,0.5,0.0,0.0,1.0,1.0,1.0,1.0,2,0,0,0,0,0.7,bucket_only,
stress::confidence_calibrated,4,confidence_only,5,0.5,0.0,0.0,1.0,1.0,1.0,1.0,2,0,0,0,0,0.7,confidence_only,
stress::confidence_calibrated,4,bucket_confidence,5,0.5,0.0,0.0,1.0,1.0,1.0,1.0,3,0,0,0,0,0.7,bucket_confidence,
stress::confidence_calibrated,4,bucket_group_confidence,5,0.5,0.0,0.0,1.0,1.0,1.0,1.0,3,0,0,0,0,0.7,bucket_group_confidence,2
stress::confidence_miscalibrated,2,bucket_only,10,0.0,0.0,0.375,0.625,1.0,0.375,0.625,2,0,0,0,0,0.7,bucket_only,
stress::confidence_miscalibrated,2,confidence_only,10,0.0,0.0,0.375,0.625,1.0,0.375,0.625,2,0,0,0,0,0.7,confidence_only,
stress::confidence_miscalibrated,2,bucket_confidence,10,0.0,0.0,0.375,0.625,1.0,0.375,0.625,3,0,0,0,0,0.7,bucket_confidence,
stress::confidence_miscalibrated,2,bucket_group_confidence,10,0.0,0.0,0.375,0.625,1.0,0.375,0.625,3,0,0,0,0,0.7,bucket_group_confidence,2
stress::confidence_miscalibrated,3,bucket_only,5,0.5,0.0,0.0,1.0,1.0,1.0,1.0,2,0,0,0,0,0.7,bucket_only,
stress::confidence_miscalibrated,3,confidence_only,5,0.5,0.0,0.0,1.0,1.0,1.0,1.0,2,0,0,0,0,0.7,confidence_only,
stress::confidence_miscalibrated,3,bucket_confidence,5,0.5,0.0,0.0,1.0,1.0,1.0,1.0,3,0,0,0,0,0.7,bucket_confidence,
stress::confidence_miscalibrated,3,bucket_group_confidence,5,0.5,0.0,0.0,1.0,1.0,1.0,1.0,3,0,0,0,0,0.7,bucket_group_confidence,2
stress::confidence_miscalibrated,4,bucket_only,5,0.5,0.0,0.0,1.0,1.0,1.0,1.0,2,0,0,0,0,0.7,bucket_only,
stress::confidence_miscalibrated,4,confidence_only,5,0.5,0.0,0.0,1.0,1.0,1.0,1.0,2,0,0,0,0,0.7,confidence_only,
stress::confidence_miscalibrated,4,bucket_confidence,5,0.5,0.0,0.0,1.0,1.0,1.0,1.0,3,0,0,0,0,0.7,bucket_confidence,
stress::confidence_miscalibrated,4,bucket_group_confidence,5,0.5,0.0,0.0,1.0,1.0,1.0,1.0,3,0,0,0,0,0.7,bucket_group_confidence,2
