family,capacity,tie_policy,seed,misses,miss_ratio,delta_vs_LRU,delta_vs_current_exact,trace_sha256,fraction_tied_decisions,fraction_all_tied,mean_optimal_set_fraction
brightkite,64,RANDOM_WITHIN_MINIMA,2,14057,0.351425,832,-5022,04c8cebb51742e7f192b6654e0e3029690a74b8ff494db771f0e132dc68d01de,1.0,0.3839368286263072,0.9856521661805506
brightkite,64,RANDOM_WITHIN_MINIMA,3,14077,0.351925,852,-5002,04c8cebb51742e7f192b6654e0e3029690a74b8ff494db771f0e132dc68d01de,1.0,0.38367549904098885,0.985597073240037
brightkite,64,RANDOM_WITHIN_MINIMA,4,14082,0.35205,857,-4997,04c8cebb51742e7f192b6654e0e3029690a74b8ff494db771f0e132dc68d01de,1.0,0.38126686550205935,0.9856321456469251
brightkite,128,LRU_REFERENCE,,12397,0.309925,0,-6574,04c8cebb51742e7f192b6654e0e3029690a74b8ff494db771f0e132dc68d01de,,,
brightkite,128,CURRENT_DETERMINISTIC,,18971,0.474275,6574,0,04c8cebb51742e7f192b6654e0e3029690a74b8ff494db771f0e132dc68d01de,1.0,0.6231616678087607,0.9965234766222129
brightkite,128,LRU_WITHIN_MINIMA,,12386,0.30965,-11,-6585,04c8cebb51742e7f192b6654e0e3029690a74b8ff494db771f0e132dc68d01de,1.0,0.3495075084773131,0.9918519396899725
brightkite,128,MRU_WITHIN_MINIMA,,19679,0.491975,7282,708,04c8cebb51742e7f192b6654e0e3029690a74b8ff494db771f0e132dc68d01de,1.0,0.6681233802530616,0.9970391978759083
brightkite,128,RANDOM_WITHIN_MINIMA,0,13224,0.3306,827,-5747,04c8cebb51742e7f192b6654e0e3029690a74b8ff494db771f0e132dc68d01de,1.0,0.3644888082274652,0.9922997485632183
brightkite,128,RANDOM_WITHIN_MINIMA,1,13145,0.328625,748,-5826,04c8cebb51742e7f192b6654e0e3029690a74b8ff494db771f0e132dc68d01de,1.0,0.36112590338531764,0.9922415842525675
brightkite,128,RANDOM_WITHIN_MINIMA,2,13185,0.329625,788,-5786,04c8cebb51742e7f192b6654e0e3029690a74b8ff494db771f0e132dc68d01de,1.0,0.3603337125521426,0.9922645288206295
