job_label,instance_id,mode,ranking_mode,k,trace_len,trace,lemma,chain_id,phase,damage_D,I_size,lemma1_chain_monotone,lemma2_head_bound,head_victim_e1,head_stale_set,I_set,a_values
campaign_r1_task12_random,1,random,adv_bias,3,26,"p4,p4,p4,p4,p4,p4,p4,p4,p4,p4,p4,p4,p3,p4,p4,p4,p4,p0,p4,p0,p4,p4,p1,p0,p4,p3",lemma1_chain_monotone,ph1_c0,1,2,1,False,True,p4,"p3,p4",p3,"1,1"
campaign_r1_task12_random,15,random,adv_bias,4,38,"p4,p2,p3,p4,p1,p3,p2,p2,p0,p2,p4,p3,p2,p2,p2,p1,p0,p4,p4,p5,p3,p4,p5,p3,p1,p1,p2,p4,p5,p3,p1,p4,p4,p4,p3,p4,p4,p5",lemma1_chain_monotone,ph1_c0,1,2,2,False,True,p4,"p1,p3,p4","p1,p3","1,1"
campaign_r1_task12_random,15,random,adv_bias,4,38,"p4,p2,p3,p4,p1,p3,p2,p2,p0,p2,p4,p3,p2,p2,p2,p1,p0,p4,p4,p5,p3,p4,p5,p3,p1,p1,p2,p4,p5,p3,p1,p4,p4,p4,p3,p4,p4,p5",lemma1_chain_monotone,ph3_c0,3,2,1,False,True,p2,"p0,p1,p2",p0,"4,1"
campaign_r1_task12_random,15,random,adv_bias,4,38,"p4,p2,p3,p4,p1,p3,p2,p2,p0,p2,p4,p3,p2,p2,p2,p1,p0,p4,p4,p5,p3,p4,p5,p3,p1,p1,p2,p4,p5,p3,p1,p4,p4,p4,p3,p4,p4,p5",lemma1_chain_monotone,ph4_c0,4,2,2,False,True,p3,"p0,p1,p3","p0,p1","2,2"
campaign_r1_task12_random,18,random,adv_bias,6,66,"p8,p9,p4,p4,p4,p3,p8,p4,p8,p8,p1,p4,p3,p7,p6,p0,p8,p8,p8,p4,p5,p6,p7,p3,p6,p6,p7,p6,p5,p4,p3,p4,p1,p4,p1,p6,p3,p9,p5,p9,p0,p1,p7,p7,p7,p7,p1,p9,p4,p3,p8,p3,p3,p5,p8,p9,p6,p6,p8,p2,p5,p8,p2,p6,p1,p1",lemma1_chain_monotone,ph1_c1,1,2,3,False,True,p7,"p1,p3,p7,p9","p1,p3,p9","3,3"
campaign_r1_task12_random,18,random,adv_bias,6,66,"p8,p9,p4,p4,p4,p3,p8,p4,p8,p8,p1,p4,p3,p7,p6,p0,p8,p8,p8,p4,p5,p6,p7,p3,p6,p6,p7,p6,p5,p4,p3,p4,p1,p4,p1,p6,p3,p9,p5,p9,p0,p1,p7,p7,p7,p7,p1,p9,p4,p3,p8,p3,p3,p5,p8,p9,p6,p6,p8,p2,p5,p8,p2,p6,p1,p1",lemma1_chain_monotone,ph3_c2,3,2,2,False,True,p3,"p3,p6,p8","p6,p8","3,3"
campaign_r1_task12_random,24,random,adv_bias,6,88,"p7,p0,p7,p0,p0,p4,p7,p7,p7,p4,p4,p0,p7,p0,p7,p0,p7,p0,p7,p3,p1,p2,p4,p2,p1,p0,p5,p4,p5,p2,p3,p2,p3,p5,p0,p5,p2,p5,p0,p2,p2,p2,p4,p4,p4,p0,p2,p6,p0,p1,p2,p2,p5,p2,p4,p3,p5,p1,p0,p4,p4,p1,p3,p0,p7,p1,p3,p7,p4,p1,p7,p1,p7,p0,p7,p1,p7,p2,p3,p1,p7,p7,p6,p2,p7,p3,p5,p3",lemma1_chain_monotone,ph1_c0,1,2,4,False,True,p2,"p0,p1,p2,p3,p7","p0,p1,p3,p7","1,1"
campaign_r1_task12_random,30,random,adv_bias,8,99,"p3,p3,p5,p2,p2,p5,p11,p8,p10,p3,p10,p0,p11,p0,p3,p5,p2,p10,p1,p2,p4,p9,p11,p0,p2,p10,p10,p4,p7,p1,p2,p7,p10,p3,p10,p4,p11,p0,p6,p9,p3,p5,p7,p7,p9,p5,p0,p2,p9,p7,p0,p5,p2,p11,p9,p7,p6,p7,p5,p6,p0,p7,p8,p5,p7,p4,p2,p8,p2,p7,p6,p4,p10,p6,p1,p7,p5,p2,p11,p4,p2,p7,p7,p4,p10,p11,p2,p2,p11,p2,p7,p2,p0,p7,p5,p11,p5,p10,p2",lemma1_chain_monotone,ph1_c0,1,3,5,False,True,p2,"p0,p1,p10,p2,p3,p5,p8","p1,p10,p3,p5,p8","3,1,2"
campaign_r1_task12_random,30,random,adv_bias,8,99,"p3,p3,p5,p2,p2,p5,p11,p8,p10,p3,p10,p0,p11,p0,p3,p5,p2,p10,p1,p2,p4,p9,p11,p0,p2,p10,p10,p4,p7,p1,p2,p7,p10,p3,p10,p4,p11,p0,p6,p9,p3,p5,p7,p7,p9,p5,p0,p2,p9,p7,p0,p5,p2,p11,p9,p7,p6,p7,p5,p6,p0,p7,p8,p5,p7,p4,p2,p8,p2,p7,p6,p4,p10,p6,p1,p7,p5,p2,p11,p4,p2,p7,p7,p4,p10,p11,p2,p2,p11,p2,p7,p2,p0,p7,p5,p11,p5,p10,p2",lemma1_chain_monotone,ph2_c1,2,2,4,False,True,p5,"p1,p2,p5,p7,p8","p1,p2,p7,p8","4,4"
campaign_r1_task12_random,39,random,near_tie,4,33,"p7,p3,p3,p5,p5,p3,p3,p5,p2,p5,p0,p2,p5,p5,p3,p3,p3,p2,p0,p0,p3,p5,p1,p1,p6,p2,p4,p4,p6,p1,p1,p1,p2",lemma1_chain_monotone,ph2_c0,2,2,0,False,False,p3,"p0,p2,p3",,"1000000000000,1000000000000"
