family,capacity,status,event_count,unique_winner_fraction,multiple_optimum_fraction,all_candidates_tied_fraction,mean_optimal_set_size,median_optimal_set_size,mean_optimal_set_fraction,ordinary_margin_zero_fraction,strict_positive_ordinary_margin_fraction
brightkite,32,ok,19153,0.0,1.0,0.6351485406985851,31.57374823787396,32,0.9866796324335613,1.0,0.0
brightkite,64,ok,19079,0.0,1.0,0.6302217097332146,63.56564809476388,64,0.9932132514806856,1.0,0.0
brightkite,128,ok,18971,0.0,1.0,0.6231616678087607,127.55500500764325,128,0.9965234766222129,1.0,0.0
citibike,32,ok,24772,0.0,1.0,0.5293072824156305,31.405861456483127,32.0,0.9814331705150977,1.0,0.0
citibike,64,ok,24678,0.0,1.0,0.525083069940838,63.39743901450685,64.0,0.9905849846016695,1.0,0.0
citibike,128,ok,24461,0.0,1.0,0.5111401823310576,127.37561833122113,128,0.9951220182126651,1.0,0.0
cloudphysics,32,ok,39955,0.0,1.0,0.997021649355525,31.997021649355524,32,0.9999069265423601,1.0,0.0
cloudphysics,64,ok,39947,0.0,1.0,0.9962199914887225,63.99621999148872,64,0.9999409373670113,1.0,0.0
cloudphysics,128,ok,39937,0.0,1.0,0.9954428224453514,127.99529258582267,128,0.9999632233267396,1.0,0.0
metacdn,32,ok,26446,0.0,1.0,0.4907358390682901,31.398018603947666,31.0,0.9811880813733646,1.0,0.0
metacdn,64,ok,26029,0.0,1.0,0.4653655538053709,63.35591071497176,63,0.9899361049214338,1.0,0.0
metacdn,128,ok,25624,0.0,1.0,0.44056353418669997,127.31259756478302,127.0,0.9946296684748673,1.0,0.0
metakv,32,ok,30692,0.0,1.0,0.8961618662843738,31.891209435683567,32.0,0.9966002948651115,1.0,0.0
metakv,64,ok,30654,0.0,1.0,0.8929666601422327,63.88751875774776,64.0,0.9982424805898088,1.0,0.0
metakv,128,ok,30598,0.0,1.0,0.8885874893783907,127.88224720569971,128.0,0.999080056294529,1.0,0.0
twemcache,32,ok,35389,0.0,1.0,0.8488513379863799,31.834694396563904,32,0.994834199892622,1.0,0.0
twemcache,64,ok,35330,0.0,1.0,0.843136144919332,63.82836116614775,64.0,0.9973181432210586,1.0,0.0
twemcache,128,ok,35161,0.0,1.0,0.8302380478370922,127.81243423110833,128,0.9985346424305338,1.0,0.0
wiki2018,32,ok,40000,0.0,1.0,1.0,32.0,32.0,1.0,1.0,0.0
wiki2018,64,ok,40000,0.0,1.0,1.0,64.0,64.0,1.0,1.0,0.0
wiki2018,128,ok,40000,0.0,1.0,1.0,128.0,128.0,1.0,1.0,0.0
