family,capacity,status,all_event_count,h4_multiple_event_count,h4_tied_set_long_resolution_denominator,h4_tied_set_long_unique_resolution_count,h4_tied_set_long_unique_resolution_fraction,h4_unique_event_count,h4_unique_strict_reversal_fraction,h4_unique_winner_agreement_fraction,h4_unique_winner_disagreement_fraction,horizon,long_optimal_set_intersects_h4_set_fraction,long_optimal_set_size_summary,long_reduces_h4_optimal_set_fraction,long_unique_winner_fraction_given_h4_multiple,long_unique_winner_in_h4_set_fraction,long_values_on_h4_tie_set_spread_summary,mean_h4_minus_long_optimal_set_size,optimal_set_jaccard_mean
brightkite,32,ok,19153,19153,19153,0,0.0,0,,,,8,1.0,"{'max': 32.0, 'mean': 31.42760925181434, 'median': 32.0, 'min': 28.0, 'p90': 32.0}",0.13627108024852502,0.0,0.0,"{'max': 1.0, 'mean': 0.13627108024852502, 'median': 0.0, 'min': 0.0, 'p90': 1.0}",0.14613898605962514,0.995377960511603
brightkite,32,ok,19153,19153,19153,0,0.0,0,,,,16,1.0,"{'max': 32.0, 'mean': 31.265754712055553, 'median': 31.0, 'min': 21.0, 'p90': 32.0}",0.26371847752310346,0.0,0.0,"{'max': 1.0, 'mean': 0.26371847752310346, 'median': 0.0, 'min': 0.0, 'p90': 1.0}",0.30799352581840966,0.9902627436420561
brightkite,32,ok,19153,19153,19153,0,0.0,0,,,,32,1.0,"{'max': 32.0, 'mean': 31.09935780295515, 'median': 31.0, 'min': 15.0, 'p90': 32.0}",0.3756069545240954,0.0,0.0,"{'max': 2.0, 'mean': 0.3756591656659531, 'median': 0.0, 'min': 0.0, 'p90': 1.0}",0.47439043491881167,0.9850034233192198
brightkite,64,ok,19079,19079,19079,0,0.0,0,,,,8,1.0,"{'max': 64.0, 'mean': 63.4126526547513, 'median': 64.0, 'min': 58.0, 'p90': 64.0}",0.14188374652759578,0.0,0.0,"{'max': 1.0, 'mean': 0.14188374652759578, 'median': 0.0, 'min': 0.0, 'p90': 1.0}",0.15299544001257928,0.9975943810187682
brightkite,64,ok,19079,19079,19079,0,0.0,0,,,,16,1.0,"{'max': 64.0, 'mean': 63.23974002830337, 'median': 63.0, 'min': 57.0, 'p90': 64.0}",0.2761151003721369,0.0,0.0,"{'max': 1.0, 'mean': 0.2761151003721369, 'median': 0.0, 'min': 0.0, 'p90': 1.0}",0.3259080664605063,0.994876832665463
brightkite,64,ok,19079,19079,19079,0,0.0,0,,,,32,1.0,"{'max': 64.0, 'mean': 63.056711567692226, 'median': 63.0, 'min': 42.0, 'p90': 64.0}",0.39588028722679386,0.0,0.0,"{'max': 1.0, 'mean': 0.39588028722679386, 'median': 0.0, 'min': 0.0, 'p90': 1.0}",0.5089365270716495,0.9919999039348376
brightkite,128,ok,18971,18971,18971,0,0.0,0,,,,8,1.0,"{'max': 128.0, 'mean': 127.39249380633599, 'median': 128.0, 'min': 124.0, 'p90': 128.0}",0.15065099362184387,0.0,0.0,"{'max': 1.0, 'mean': 0.15065099362184387, 'median': 0.0, 'min': 0.0, 'p90': 1.0}",0.16251120130725843,0.9987262930554056
brightkite,128,ok,18971,18971,18971,0,0.0,0,,,,16,1.0,"{'max': 128.0, 'mean': 127.19988403352485, 'median': 127.0, 'min': 117.0, 'p90': 128.0}",0.29850824943334564,0.0,0.0,"{'max': 1.0, 'mean': 0.29850824943334564, 'median': 0.0, 'min': 0.0, 'p90': 1.0}",0.3551209741183912,0.9972167434396548
brightkite,128,ok,18971,18971,18971,0,0.0,0,,,,32,1.0,"{'max': 128.0, 'mean': 126.98076010753255, 'median': 127.0, 'min': 112.0, 'p90': 128.0}",0.43107901533920195,0.0,0.0,"{'max': 2.0, 'mean': 0.4311844394075167, 'median': 0.0, 'min': 0.0, 'p90': 1.0}",0.5742449001106953,0.9954994208762846
citibike,32,ok,24772,24772,24772,0,0.0,0,,,,8,1.0,"{'max': 32.0, 'mean': 31.194372678830938, 'median': 31.0, 'min': 26.0, 'p90': 32.0}",0.19191022121750365,0.0,0.0,"{'max': 1.0, 'mean': 0.19191022121750365, 'median': 0.0, 'min': 0.0, 'p90': 1.0}",0.21148877765218796,0.9932529794080254
