trace,family,capacity,policy,misses,hit_rate
data/processed/brightkite/trace.jsonl,brightkite,32,evict_value_pairwise_v1,14790.0,0.63025
data/processed/brightkite/trace.jsonl,brightkite,32,lru,14738.0,0.63155
data/processed/brightkite/trace.jsonl,brightkite,32,blind_oracle,26477.0,0.338075
data/processed/brightkite/trace.jsonl,brightkite,32,predictive_marker,15080.0,0.623
data/processed/brightkite/trace.jsonl,brightkite,32,trust_and_doubt,15286.0,0.61785
data/processed/brightkite/trace.jsonl,brightkite,32,robust_ftp_d_marker,14997.0,0.625075
data/processed/brightkite/trace.jsonl,brightkite,32,evict_value_v1,14738.0,0.63155
data/processed/brightkite/trace.jsonl,brightkite,32,evict_value_v1_guarded,14738.0,0.63155
data/processed/brightkite/trace.jsonl,brightkite,32,atlas_v3,14738.0,0.63155
data/processed/brightkite/trace.jsonl,brightkite,32,rest_v1,14738.0,0.63155
