trace,capacity,setting,policy,misses,hit_rate,atlas_v2_gamma_final,atlas_v2_mismatch,atlas_v3_predictor_fraction,atlas_v3_fallback_fraction,atlas_v3_contexts_seen,atlas_v3_bad_outcomes,atlas_v3_match_lru
data/example_unweighted.json,2,trace,lru,10,0.0,,,,,,,
data/example_unweighted.json,2,trace,blind_oracle,8,0.2,,,,,,,
data/example_unweighted.json,2,trace,predictive_marker,8,0.2,,,,,,,
data/example_unweighted.json,2,trace,trust_and_doubt,8,0.2,,,,,,,
data/example_unweighted.json,2,trace,atlas_v1,10,0.0,,,,,,,
data/example_unweighted.json,2,trace,atlas_v2,10,0.0,0.8,0.0,,,,,
data/example_unweighted.json,2,trace,atlas_v3,10,0.0,,,0.0,0.0,1,0,1.0
data/example_unweighted.json,2,perfect,lru,10,0.0,,,,,,,
data/example_unweighted.json,2,perfect,blind_oracle,8,0.2,,,,,,,
data/example_unweighted.json,2,perfect,predictive_marker,8,0.2,,,,,,,
data/example_unweighted.json,2,perfect,trust_and_doubt,8,0.2,,,,,,,
data/example_unweighted.json,2,perfect,atlas_v1,10,0.0,,,,,,,
data/example_unweighted.json,2,perfect,atlas_v2,10,0.0,0.8,0.0,,,,,
data/example_unweighted.json,2,perfect,atlas_v3,10,0.0,,,0.0,0.375,2,0,1.0
data/example_unweighted.json,2,perfect_noise0.3,lru,10,0.0,,,,,,,
data/example_unweighted.json,2,perfect_noise0.3,blind_oracle,8,0.2,,,,,,,
data/example_unweighted.json,2,perfect_noise0.3,predictive_marker,8,0.2,,,,,,,
data/example_unweighted.json,2,perfect_noise0.3,trust_and_doubt,8,0.2,,,,,,,
data/example_unweighted.json,2,perfect_noise0.3,atlas_v1,10,0.0,,,,,,,
data/example_unweighted.json,2,perfect_noise0.3,atlas_v2,10,0.0,0.8,0.0,,,,,
data/example_unweighted.json,2,perfect_noise0.3,atlas_v3,10,0.0,,,0.0,0.5,3,0,1.0
data/example_unweighted.json,3,trace,lru,6,0.4,,,,,,,
data/example_unweighted.json,3,trace,blind_oracle,5,0.5,,,,,,,
data/example_unweighted.json,3,trace,predictive_marker,5,0.5,,,,,,,
data/example_unweighted.json,3,trace,trust_and_doubt,5,0.5,,,,,,,
data/example_unweighted.json,3,trace,atlas_v1,6,0.4,,,,,,,
data/example_unweighted.json,3,trace,atlas_v2,6,0.4,0.8,0.0,,,,,
data/example_unweighted.json,3,trace,atlas_v3,6,0.4,,,0.0,0.0,1,0,1.0
data/example_unweighted.json,3,perfect,lru,6,0.4,,,,,,,
data/example_unweighted.json,3,perfect,blind_oracle,5,0.5,,,,,,,
data/example_unweighted.json,3,perfect,predictive_marker,5,0.5,,,,,,,
data/example_unweighted.json,3,perfect,trust_and_doubt,5,0.5,,,,,,,
data/example_unweighted.json,3,perfect,atlas_v1,6,0.4,,,,,,,
data/example_unweighted.json,3,perfect,atlas_v2,5,0.5,0.8,0.0,,,,,
data/example_unweighted.json,3,perfect,atlas_v3,5,0.5,,,0.5,0.0,2,0,0.5
data/example_unweighted.json,3,perfect_noise0.3,lru,6,0.4,,,,,,,
data/example_unweighted.json,3,perfect_noise0.3,blind_oracle,5,0.5,,,,,,,
data/example_unweighted.json,3,perfect_noise0.3,predictive_marker,5,0.5,,,,,,,
data/example_unweighted.json,3,perfect_noise0.3,trust_and_doubt,5,0.5,,,,,,,
data/example_unweighted.json,3,perfect_noise0.3,atlas_v1,7,0.3,,,,,,,
data/example_unweighted.json,3,perfect_noise0.3,atlas_v2,7,0.3,0.5599999999999999,1.0,,,,,
data/example_unweighted.json,3,perfect_noise0.3,atlas_v3,8,0.2,,,0.4,0.4,3,2,0.6
data/example_unweighted.json,4,trace,lru,4,0.6,,,,,,,
data/example_unweighted.json,4,trace,blind_oracle,4,0.6,,,,,,,
data/example_unweighted.json,4,trace,predictive_marker,4,0.6,,,,,,,
data/example_unweighted.json,4,trace,trust_and_doubt,4,0.6,,,,,,,
data/example_unweighted.json,4,trace,atlas_v1,4,0.6,,,,,,,
data/example_unweighted.json,4,trace,atlas_v2,4,0.6,0.8,0.0,,,,,
data/example_unweighted.json,4,trace,atlas_v3,4,0.6,,,0.0,0.0,0,0,0.0
data/example_unweighted.json,4,perfect,lru,4,0.6,,,,,,,
data/example_unweighted.json,4,perfect,blind_oracle,4,0.6,,,,,,,
data/example_unweighted.json,4,perfect,predictive_marker,4,0.6,,,,,,,
data/example_unweighted.json,4,perfect,trust_and_doubt,4,0.6,,,,,,,
data/example_unweighted.json,4,perfect,atlas_v1,4,0.6,,,,,,,
data/example_unweighted.json,4,perfect,atlas_v2,4,0.6,0.8,0.0,,,,,
data/example_unweighted.json,4,perfect,atlas_v3,4,0.6,,,0.0,0.0,0,0,0.0
data/example_unweighted.json,4,perfect_noise0.3,lru,4,0.6,,,,,,,
data/example_unweighted.json,4,perfect_noise0.3,blind_oracle,4,0.6,,,,,,,
data/example_unweighted.json,4,perfect_noise0.3,predictive_marker,4,0.6,,,,,,,
data/example_unweighted.json,4,perfect_noise0.3,trust_and_doubt,4,0.6,,,,,,,
data/example_unweighted.json,4,perfect_noise0.3,atlas_v1,4,0.6,,,,,,,
data/example_unweighted.json,4,perfect_noise0.3,atlas_v2,4,0.6,0.8,0.0,,,,,
data/example_unweighted.json,4,perfect_noise0.3,atlas_v3,4,0.6,,,0.0,0.0,0,0,0.0
data/example_atlas_v1.json,2,trace,lru,10,0.0,,,,,,,
data/example_atlas_v1.json,2,trace,blind_oracle,10,0.0,,,,,,,
data/example_atlas_v1.json,2,trace,predictive_marker,9,0.1,,,,,,,
data/example_atlas_v1.json,2,trace,trust_and_doubt,9,0.1,,,,,,,
data/example_atlas_v1.json,2,trace,atlas_v1,8,0.2,,,,,,,
data/example_atlas_v1.json,2,trace,atlas_v2,8,0.2,0.9519799999999998,0.0,,,,,
data/example_atlas_v1.json,2,trace,atlas_v3,9,0.1,,,0.2857142857142857,0.42857142857142855,5,1,0.7142857142857143
data/example_atlas_v1.json,2,perfect,lru,10,0.0,,,,,,,
data/example_atlas_v1.json,2,perfect,blind_oracle,10,0.0,,,,,,,
data/example_atlas_v1.json,2,perfect,predictive_marker,9,0.1,,,,,,,
data/example_atlas_v1.json,2,perfect,trust_and_doubt,9,0.1,,,,,,,
data/example_atlas_v1.json,2,perfect,atlas_v1,10,0.0,,,,,,,
data/example_atlas_v1.json,2,perfect,atlas_v2,10,0.0,0.5599999999999999,1.0,,,,,
data/example_atlas_v1.json,2,perfect,atlas_v3,10,0.0,,,0.25,0.125,4,1,0.75
data/example_atlas_v1.json,2,perfect_noise0.3,lru,10,0.0,,,,,,,
data/example_atlas_v1.json,2,perfect_noise0.3,blind_oracle,10,0.0,,,,,,,
data/example_atlas_v1.json,2,perfect_noise0.3,predictive_marker,9,0.1,,,,,,,
data/example_atlas_v1.json,2,perfect_noise0.3,trust_and_doubt,9,0.1,,,,,,,
data/example_atlas_v1.json,2,perfect_noise0.3,atlas_v1,10,0.0,,,,,,,
data/example_atlas_v1.json,2,perfect_noise0.3,atlas_v2,9,0.1,0.9519799999999998,0.0,,,,,
data/example_atlas_v1.json,2,perfect_noise0.3,atlas_v3,9,0.1,,,0.2857142857142857,0.2857142857142857,6,2,0.7142857142857143
data/example_atlas_v1.json,3,trace,lru,9,0.1,,,,,,,
data/example_atlas_v1.json,3,trace,blind_oracle,8,0.2,,,,,,,
data/example_atlas_v1.json,3,trace,predictive_marker,7,0.3,,,,,,,
data/example_atlas_v1.json,3,trace,trust_and_doubt,6,0.4,,,,,,,
data/example_atlas_v1.json,3,trace,atlas_v1,7,0.3,,,,,,,
data/example_atlas_v1.json,3,trace,atlas_v2,7,0.3,0.9019999999999999,0.0,,,,,
data/example_atlas_v1.json,3,trace,atlas_v3,7,0.3,,,0.5,0.25,5,1,0.5
data/example_atlas_v1.json,3,perfect,lru,9,0.1,,,,,,,
data/example_atlas_v1.json,3,perfect,blind_oracle,8,0.2,,,,,,,
data/example_atlas_v1.json,3,perfect,predictive_marker,7,0.3,,,,,,,
data/example_atlas_v1.json,3,perfect,trust_and_doubt,6,0.4,,,,,,,
data/example_atlas_v1.json,3,perfect,atlas_v1,7,0.3,,,,,,,
data/example_atlas_v1.json,3,perfect,atlas_v2,6,0.4,0.9019999999999999,0.0,,,,,
data/example_atlas_v1.json,3,perfect,atlas_v3,7,0.3,,,0.5,0.25,4,1,0.5
data/example_atlas_v1.json,3,perfect_noise0.3,lru,9,0.1,,,,,,,
data/example_atlas_v1.json,3,perfect_noise0.3,blind_oracle,8,0.2,,,,,,,
data/example_atlas_v1.json,3,perfect_noise0.3,predictive_marker,7,0.3,,,,,,,
data/example_atlas_v1.json,3,perfect_noise0.3,trust_and_doubt,6,0.4,,,,,,,
data/example_atlas_v1.json,3,perfect_noise0.3,atlas_v1,8,0.2,,,,,,,
data/example_atlas_v1.json,3,perfect_noise0.3,atlas_v2,9,0.1,0.39199999999999996,1.0,,,,,
data/example_atlas_v1.json,3,perfect_noise0.3,atlas_v3,9,0.1,,,0.16666666666666666,0.3333333333333333,6,1,0.8333333333333334
data/example_atlas_v1.json,4,trace,lru,6,0.4,,,,,,,
data/example_atlas_v1.json,4,trace,blind_oracle,7,0.3,,,,,,,
data/example_atlas_v1.json,4,trace,predictive_marker,5,0.5,,,,,,,
data/example_atlas_v1.json,4,trace,trust_and_doubt,5,0.5,,,,,,,
data/example_atlas_v1.json,4,trace,atlas_v1,6,0.4,,,,,,,
data/example_atlas_v1.json,4,trace,atlas_v2,6,0.4,0.5599999999999999,1.0,,,,,
data/example_atlas_v1.json,4,trace,atlas_v3,6,0.4,,,0.0,0.0,5,0,1.0
data/example_atlas_v1.json,4,perfect,lru,6,0.4,,,,,,,
data/example_atlas_v1.json,4,perfect,blind_oracle,7,0.3,,,,,,,
data/example_atlas_v1.json,4,perfect,predictive_marker,5,0.5,,,,,,,
data/example_atlas_v1.json,4,perfect,trust_and_doubt,5,0.5,,,,,,,
data/example_atlas_v1.json,4,perfect,atlas_v1,6,0.4,,,,,,,
data/example_atlas_v1.json,4,perfect,atlas_v2,6,0.4,0.5599999999999999,1.0,,,,,
data/example_atlas_v1.json,4,perfect,atlas_v3,6,0.4,,,0.0,0.0,4,0,1.0
data/example_atlas_v1.json,4,perfect_noise0.3,lru,6,0.4,,,,,,,
data/example_atlas_v1.json,4,perfect_noise0.3,blind_oracle,7,0.3,,,,,,,
data/example_atlas_v1.json,4,perfect_noise0.3,predictive_marker,5,0.5,,,,,,,
data/example_atlas_v1.json,4,perfect_noise0.3,trust_and_doubt,5,0.5,,,,,,,
data/example_atlas_v1.json,4,perfect_noise0.3,atlas_v1,7,0.3,,,,,,,
data/example_atlas_v1.json,4,perfect_noise0.3,atlas_v2,7,0.3,0.5599999999999999,1.0,,,,,
data/example_atlas_v1.json,4,perfect_noise0.3,atlas_v3,7,0.3,,,0.3333333333333333,0.6666666666666666,6,1,0.6666666666666666
