model,train_f1,val_f1,test_f1,val_auc,test_auc,test_pred_positive_rate
logistic_regression,1.0,0.6666666666666666,0.3333333333333333,0.8611111111111112,0.34615384615384615,0.47058823529411764
decision_tree,0.0,0.0,0.0,0.5,0.5,0.0
random_forest,0.0,0.0,0.0,0.9305555555555556,0.8076923076923077,0.0
hist_gb,0.0,0.0,0.0,0.5,0.5,0.0
