policy,trace,capacity,total_cost,total_misses,hit_rate,queries_used,fraction_misses_queried,fraction_misses_fallback_random
lru,data/example_unweighted.json,3,6.0,6,0.4,0.0,0.0,0.0
marker,data/example_unweighted.json,3,7.0,7,0.3,0.0,0.0,0.0
predictive_marker,data/example_unweighted.json,3,5.0,5,0.5,0.0,0.0,0.0
adaptive_query_b2,data/example_unweighted.json,3,5.0,5,0.5,4.0,0.4,0.0
adaptive_query_b4,data/example_unweighted.json,3,5.0,5,0.5,6.0,0.4,0.0
