trace,capacity,policy,misses,hit_rate,match_lru,match_blind_oracle,match_predictive_marker,predictor_fraction,fallback_fraction,tie_fraction,avg_lambda,mean_pcal_shared,low_support_contexts,hier_changed_contexts
data/example_unweighted.json,2,atlas_v3,10,0.0,1.0,0.125,0.25,0.0,0.0,1.0,0.35,,,
data/example_unweighted.json,2,atlas_cga_v1,10,0.0,1.0,0.125,0.25,0.0,0.0,1.0,0.3253971081002331,,,
data/example_unweighted.json,2,atlas_cga_v2,10,0.0,1.0,0.125,0.25,0.0,0.0,1.0,0.2102083333333333,0.25,0,0
data/example_unweighted.json,2,lru,10,0.0,1.0,0.125,0.25,,,,,,,
data/example_unweighted.json,2,blind_oracle,8,0.2,0.16666666666666666,1.0,0.5,,,,,,,
data/example_unweighted.json,2,predictive_marker,8,0.2,0.3333333333333333,0.5,1.0,,,,,,,
data/example_unweighted.json,2,trust_and_doubt,8,0.2,0.16666666666666666,0.8333333333333334,0.3333333333333333,,,,,,,
data/example_unweighted.json,3,atlas_v3,6,0.4,1.0,0.0,0.0,0.0,0.0,1.0,0.35,,,
data/example_unweighted.json,3,atlas_cga_v1,6,0.4,1.0,0.0,0.0,0.0,0.0,1.0,0.3454040404040404,,,
data/example_unweighted.json,3,atlas_cga_v2,6,0.4,1.0,0.0,0.0,0.0,0.0,1.0,0.25277777777777777,0.25,1,0
data/example_unweighted.json,3,lru,6,0.4,1.0,0.0,0.0,,,,,,,
data/example_unweighted.json,3,blind_oracle,5,0.5,0.0,1.0,1.0,,,,,,,
data/example_unweighted.json,3,predictive_marker,5,0.5,0.0,1.0,1.0,,,,,,,
data/example_unweighted.json,3,trust_and_doubt,5,0.5,0.0,1.0,1.0,,,,,,,
data/example_unweighted.json,4,atlas_v3,4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
data/example_unweighted.json,4,atlas_cga_v1,4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
