trace,capacity,policy,misses,hit_rate,match_lru,match_blind_oracle,match_predictive_marker,predictor_fraction,fallback_fraction,tie_fraction,trust_coverage
data/example_unweighted.json,2,rest_v1,10,0.0,1.0,0.125,0.25,0.125,0.875,,0.125
data/example_unweighted.json,2,atlas_v3,10,0.0,1.0,0.125,0.25,0.0,0.0,1.0,
data/example_unweighted.json,2,atlas_cga_v1,10,0.0,1.0,0.125,0.25,0.0,0.0,1.0,
data/example_unweighted.json,2,atlas_cga_v2,10,0.0,1.0,0.125,0.25,0.0,0.0,1.0,
data/example_unweighted.json,2,lru,10,0.0,1.0,0.125,0.25,,,,
data/example_unweighted.json,2,blind_oracle,8,0.2,0.16666666666666666,1.0,0.5,,,,
data/example_unweighted.json,2,predictive_marker,8,0.2,0.3333333333333333,0.5,1.0,,,,
data/example_unweighted.json,2,trust_and_doubt,8,0.2,0.16666666666666666,0.8333333333333334,0.3333333333333333,,,,
data/example_unweighted.json,2,blind_oracle_lru_combiner,8,0.2,0.16666666666666666,1.0,0.5,,,,
data/example_unweighted.json,3,rest_v1,6,0.4,1.0,0.0,0.0,0.3333333333333333,0.6666666666666667,,0.3333333333333333
data/example_unweighted.json,3,atlas_v3,6,0.4,1.0,0.0,0.0,0.0,0.0,1.0,
data/example_unweighted.json,3,atlas_cga_v1,6,0.4,1.0,0.0,0.0,0.0,0.0,1.0,
data/example_unweighted.json,3,atlas_cga_v2,6,0.4,1.0,0.0,0.0,0.0,0.0,1.0,
data/example_unweighted.json,3,lru,6,0.4,1.0,0.0,0.0,,,,
data/example_unweighted.json,3,blind_oracle,5,0.5,0.0,1.0,1.0,,,,
data/example_unweighted.json,3,predictive_marker,5,0.5,0.0,1.0,1.0,,,,
data/example_unweighted.json,3,trust_and_doubt,5,0.5,0.0,1.0,1.0,,,,
data/example_unweighted.json,3,blind_oracle_lru_combiner,5,0.5,0.0,1.0,1.0,,,,
data/example_unweighted.json,4,rest_v1,4,0.6,0.0,0.0,0.0,0.0,1.0,,0.0
data/example_unweighted.json,4,atlas_v3,4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,
data/example_unweighted.json,4,atlas_cga_v1,4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,
data/example_unweighted.json,4,atlas_cga_v2,4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,
data/example_unweighted.json,4,lru,4,0.6,0.0,0.0,0.0,,,,
data/example_unweighted.json,4,blind_oracle,4,0.6,0.0,0.0,0.0,,,,
data/example_unweighted.json,4,predictive_marker,4,0.6,0.0,0.0,0.0,,,,
data/example_unweighted.json,4,trust_and_doubt,4,0.6,0.0,0.0,0.0,,,,
data/example_unweighted.json,4,blind_oracle_lru_combiner,4,0.6,0.0,0.0,0.0,,,,
data/example_atlas_v1.json,2,rest_v1,8,0.2,0.3333333333333333,0.3333333333333333,0.5,1.0,0.0,,1.0
data/example_atlas_v1.json,2,atlas_v3,9,0.1,0.5714285714285714,0.0,0.7142857142857143,0.2857142857142857,0.42857142857142855,0.2857142857142857,
data/example_atlas_v1.json,2,atlas_cga_v1,10,0.0,1.0,0.25,0.75,0.0,0.625,0.375,
data/example_atlas_v1.json,2,atlas_cga_v2,10,0.0,1.0,0.25,0.75,0.0,0.625,0.375,
data/example_atlas_v1.json,2,lru,10,0.0,1.0,0.25,0.75,,,,
data/example_atlas_v1.json,2,blind_oracle,10,0.0,0.25,1.0,0.0,,,,
data/example_atlas_v1.json,2,predictive_marker,9,0.1,0.8571428571428571,0.0,1.0,,,,
data/example_atlas_v1.json,2,trust_and_doubt,9,0.1,0.42857142857142855,0.14285714285714285,0.5714285714285714,,,,
data/example_atlas_v1.json,2,blind_oracle_lru_combiner,10,0.0,0.25,1.0,0.0,,,,
