capacity,hit_rate,misses,policy,trace,trust_coverage
2,0.0,10,ml_gate_v1,data/example_unweighted.json,
2,0.0,10,ml_gate_v2,data/example_unweighted.json,0.0
2,0.0,10,rest_v1,data/example_unweighted.json,
2,0.0,10,atlas_v3,data/example_unweighted.json,
2,0.0,10,lru,data/example_unweighted.json,
2,0.2,8,blind_oracle,data/example_unweighted.json,
2,0.2,8,predictive_marker,data/example_unweighted.json,
2,0.2,8,trust_and_doubt,data/example_unweighted.json,
2,0.2,8,blind_oracle_lru_combiner,data/example_unweighted.json,
3,0.4,6,ml_gate_v1,data/example_unweighted.json,
3,0.4,6,ml_gate_v2,data/example_unweighted.json,0.0
3,0.4,6,rest_v1,data/example_unweighted.json,
3,0.4,6,atlas_v3,data/example_unweighted.json,
3,0.4,6,lru,data/example_unweighted.json,
3,0.5,5,blind_oracle,data/example_unweighted.json,
3,0.5,5,predictive_marker,data/example_unweighted.json,
3,0.5,5,trust_and_doubt,data/example_unweighted.json,
3,0.5,5,blind_oracle_lru_combiner,data/example_unweighted.json,
4,0.6,4,ml_gate_v1,data/example_unweighted.json,
4,0.6,4,ml_gate_v2,data/example_unweighted.json,0.0
4,0.6,4,rest_v1,data/example_unweighted.json,
4,0.6,4,atlas_v3,data/example_unweighted.json,
4,0.6,4,lru,data/example_unweighted.json,
4,0.6,4,blind_oracle,data/example_unweighted.json,
4,0.6,4,predictive_marker,data/example_unweighted.json,
4,0.6,4,trust_and_doubt,data/example_unweighted.json,
4,0.6,4,blind_oracle_lru_combiner,data/example_unweighted.json,
2,0.1,9,ml_gate_v1,data/example_atlas_v1.json,
2,0.0,10,ml_gate_v2,data/example_atlas_v1.json,0.0
2,0.2,8,rest_v1,data/example_atlas_v1.json,
2,0.1,9,atlas_v3,data/example_atlas_v1.json,
2,0.0,10,lru,data/example_atlas_v1.json,
2,0.0,10,blind_oracle,data/example_atlas_v1.json,
2,0.1,9,predictive_marker,data/example_atlas_v1.json,
2,0.1,9,trust_and_doubt,data/example_atlas_v1.json,
2,0.0,10,blind_oracle_lru_combiner,data/example_atlas_v1.json,
3,0.4,6,ml_gate_v1,data/example_atlas_v1.json,
3,0.1,9,ml_gate_v2,data/example_atlas_v1.json,0.0
3,0.4,6,rest_v1,data/example_atlas_v1.json,
3,0.3,7,atlas_v3,data/example_atlas_v1.json,
3,0.1,9,lru,data/example_atlas_v1.json,
3,0.2,8,blind_oracle,data/example_atlas_v1.json,
3,0.3,7,predictive_marker,data/example_atlas_v1.json,
3,0.4,6,trust_and_doubt,data/example_atlas_v1.json,
3,0.2,8,blind_oracle_lru_combiner,data/example_atlas_v1.json,
4,0.4,6,ml_gate_v1,data/example_atlas_v1.json,
4,0.4,6,ml_gate_v2,data/example_atlas_v1.json,0.0
4,0.4,6,rest_v1,data/example_atlas_v1.json,
4,0.4,6,atlas_v3,data/example_atlas_v1.json,
4,0.4,6,lru,data/example_atlas_v1.json,
