horizon,model,val_mae,val_rmse,test_mae,test_rmse,val_top1,test_top1,val_mean_regret,test_mean_regret
4,ridge,0.9199739228848686,1.0295727725405588,1.2542439635636018,1.4503168049687667,0.7478070175438597,0.1923658352229781,0.001644736842105263,0.035903250188964474
4,random_forest,0.8583625613268046,1.0594829312434015,1.3583256511216815,1.6055485828565366,0.5169956140350878,0.6156462585034014,0.0005482456140350877,0.006802721088435374
4,hist_gb,0.8647290576274268,1.0701434162914625,1.3656314006005763,1.6214914784847438,0.5471491228070176,0.30423280423280424,0.0,0.006046863189720333
8,ridge,1.8323968306830676,2.0378161843519225,2.4023048371473896,2.7998274028866046,0.7423245614035088,0.19160997732426305,0.0043859649122807015,0.047619047619047616
8,random_forest,1.7122546885760885,2.095144488494091,2.5940534461094216,3.1132244223024874,0.4928728070175439,0.25056689342403626,0.001644736842105263,0.012093726379440665
8,hist_gb,1.7342032240163896,2.140661996688048,2.6382904712002184,3.1924770278286694,0.5707236842105263,0.36659108087679515,0.0,0.012093726379440665
16,ridge,3.70488570282627,4.1230216696410675,4.801456287531028,5.629728920052112,0.7412280701754386,0.19160997732426305,0.009868421052631578,0.05555555555555555
16,random_forest,3.447798752138458,4.203831839022262,5.081519145165812,6.1840516244511345,0.40021929824561403,0.11413454270597127,0.014802631578947368,0.02834467120181406
16,hist_gb,3.5309949763159465,4.373803660531526,5.275569781646653,6.500262602652572,0.6129385964912281,0.2872260015117158,0.0,0.02305366591080877
