trace,capacity,policy,misses,hit_rate,trust_coverage,mean_gate_probability
data/example_unweighted.json,2,ml_gate_v1,10,0.0,0.0,0.006915779134685563
data/example_unweighted.json,2,lru,10,0.0,,
data/example_unweighted.json,2,blind_oracle,8,0.2,,
data/example_unweighted.json,2,predictive_marker,8,0.2,,
data/example_unweighted.json,2,trust_and_doubt,8,0.2,,
data/example_unweighted.json,2,blind_oracle_lru_combiner,8,0.2,,
data/example_unweighted.json,2,atlas_v3,10,0.0,,
data/example_unweighted.json,2,rest_v1,10,0.0,,
data/example_unweighted.json,3,ml_gate_v1,6,0.4,0.0,0.006915779134685563
data/example_unweighted.json,3,lru,6,0.4,,
data/example_unweighted.json,3,blind_oracle,5,0.5,,
data/example_unweighted.json,3,predictive_marker,5,0.5,,
data/example_unweighted.json,3,trust_and_doubt,5,0.5,,
data/example_unweighted.json,3,blind_oracle_lru_combiner,5,0.5,,
data/example_unweighted.json,3,atlas_v3,6,0.4,,
data/example_unweighted.json,3,rest_v1,6,0.4,,
data/example_unweighted.json,4,ml_gate_v1,4,0.6,0.0,0.0
data/example_unweighted.json,4,lru,4,0.6,,
data/example_unweighted.json,4,blind_oracle,4,0.6,,
data/example_unweighted.json,4,predictive_marker,4,0.6,,
data/example_unweighted.json,4,trust_and_doubt,4,0.6,,
data/example_unweighted.json,4,blind_oracle_lru_combiner,4,0.6,,
data/example_unweighted.json,4,atlas_v3,4,0.6,,
data/example_unweighted.json,4,rest_v1,4,0.6,,
data/example_atlas_v1.json,2,ml_gate_v1,9,0.1,0.5714285714285714,0.5690921395136684
data/example_atlas_v1.json,2,lru,10,0.0,,
data/example_atlas_v1.json,2,blind_oracle,10,0.0,,
data/example_atlas_v1.json,2,predictive_marker,9,0.1,,
data/example_atlas_v1.json,2,trust_and_doubt,9,0.1,,
data/example_atlas_v1.json,2,blind_oracle_lru_combiner,10,0.0,,
data/example_atlas_v1.json,2,atlas_v3,9,0.1,,
data/example_atlas_v1.json,2,rest_v1,8,0.2,,
data/example_atlas_v1.json,3,ml_gate_v1,6,0.4,1.0,0.8198753769104101
data/example_atlas_v1.json,3,lru,9,0.1,,
data/example_atlas_v1.json,3,blind_oracle,8,0.2,,
data/example_atlas_v1.json,3,predictive_marker,7,0.3,,
data/example_atlas_v1.json,3,trust_and_doubt,6,0.4,,
data/example_atlas_v1.json,3,blind_oracle_lru_combiner,8,0.2,,
data/example_atlas_v1.json,3,atlas_v3,7,0.3,,
data/example_atlas_v1.json,3,rest_v1,6,0.4,,
data/example_atlas_v1.json,4,ml_gate_v1,6,0.4,0.0,0.12407015814975238
data/example_atlas_v1.json,4,lru,6,0.4,,
data/example_atlas_v1.json,4,blind_oracle,7,0.3,,
data/example_atlas_v1.json,4,predictive_marker,5,0.5,,
data/example_atlas_v1.json,4,trust_and_doubt,5,0.5,,
data/example_atlas_v1.json,4,blind_oracle_lru_combiner,8,0.2,,
data/example_atlas_v1.json,4,atlas_v3,6,0.4,,
data/example_atlas_v1.json,4,rest_v1,6,0.4,,
stress::predictor_good_lru_bad,2,ml_gate_v1,7,0.3,1.0,0.9328947286118104
stress::predictor_good_lru_bad,2,lru,9,0.1,,
stress::predictor_good_lru_bad,2,blind_oracle,9,0.1,,
stress::predictor_good_lru_bad,2,predictive_marker,8,0.2,,
stress::predictor_good_lru_bad,2,trust_and_doubt,7,0.3,,
stress::predictor_good_lru_bad,2,blind_oracle_lru_combiner,10,0.0,,
stress::predictor_good_lru_bad,2,atlas_v3,7,0.3,,
stress::predictor_good_lru_bad,2,rest_v1,7,0.3,,
stress::predictor_good_lru_bad,3,ml_gate_v1,7,0.3,1.0,0.8550144587473176
stress::predictor_good_lru_bad,3,lru,7,0.3,,
stress::predictor_good_lru_bad,3,blind_oracle,7,0.3,,
stress::predictor_good_lru_bad,3,predictive_marker,6,0.4,,
stress::predictor_good_lru_bad,3,trust_and_doubt,6,0.4,,
stress::predictor_good_lru_bad,3,blind_oracle_lru_combiner,9,0.1,,
stress::predictor_good_lru_bad,3,atlas_v3,7,0.3,,
stress::predictor_good_lru_bad,3,rest_v1,7,0.3,,
stress::predictor_good_lru_bad,4,ml_gate_v1,4,0.6,0.0,0.0
stress::predictor_good_lru_bad,4,lru,4,0.6,,
stress::predictor_good_lru_bad,4,blind_oracle,4,0.6,,
stress::predictor_good_lru_bad,4,predictive_marker,4,0.6,,
stress::predictor_good_lru_bad,4,trust_and_doubt,4,0.6,,
stress::predictor_good_lru_bad,4,blind_oracle_lru_combiner,4,0.6,,
stress::predictor_good_lru_bad,4,atlas_v3,4,0.6,,
stress::predictor_good_lru_bad,4,rest_v1,4,0.6,,
stress::predictor_bad_lru_good,2,ml_gate_v1,9,0.1,0.7142857142857143,0.7690517813129881
stress::predictor_bad_lru_good,2,lru,6,0.4,,
stress::predictor_bad_lru_good,2,blind_oracle,9,0.1,,
stress::predictor_bad_lru_good,2,predictive_marker,6,0.4,,
stress::predictor_bad_lru_good,2,trust_and_doubt,6,0.4,,
stress::predictor_bad_lru_good,2,blind_oracle_lru_combiner,7,0.3,,
stress::predictor_bad_lru_good,2,atlas_v3,9,0.1,,
stress::predictor_bad_lru_good,2,rest_v1,7,0.3,,
stress::predictor_bad_lru_good,3,ml_gate_v1,8,0.2,0.8,0.7904241554189961
stress::predictor_bad_lru_good,3,lru,6,0.4,,
stress::predictor_bad_lru_good,3,blind_oracle,8,0.2,,
stress::predictor_bad_lru_good,3,predictive_marker,6,0.4,,
stress::predictor_bad_lru_good,3,trust_and_doubt,6,0.4,,
stress::predictor_bad_lru_good,3,blind_oracle_lru_combiner,7,0.3,,
stress::predictor_bad_lru_good,3,atlas_v3,8,0.2,,
stress::predictor_bad_lru_good,3,rest_v1,7,0.3,,
stress::predictor_bad_lru_good,4,ml_gate_v1,7,0.3,1.0,0.8349100614609543
stress::predictor_bad_lru_good,4,lru,6,0.4,,
stress::predictor_bad_lru_good,4,blind_oracle,7,0.3,,
stress::predictor_bad_lru_good,4,predictive_marker,6,0.4,,
stress::predictor_bad_lru_good,4,trust_and_doubt,6,0.4,,
stress::predictor_bad_lru_good,4,blind_oracle_lru_combiner,7,0.3,,
stress::predictor_bad_lru_good,4,atlas_v3,7,0.3,,
stress::predictor_bad_lru_good,4,rest_v1,7,0.3,,
