trace,family,capacity,policy,misses,hit_rate
data/processed/cloudphysics/trace.jsonl,cloudphysics,32,evict_value_pairwise_v1,39751.0,0.006225
data/processed/cloudphysics/trace.jsonl,cloudphysics,32,lru,39496.0,0.0126
data/processed/cloudphysics/trace.jsonl,cloudphysics,32,blind_oracle,39909.0,0.002275
data/processed/cloudphysics/trace.jsonl,cloudphysics,32,predictive_marker,39570.0,0.01075
data/processed/cloudphysics/trace.jsonl,cloudphysics,32,trust_and_doubt,39500.0,0.0125
data/processed/cloudphysics/trace.jsonl,cloudphysics,32,robust_ftp_d_marker,39402.0,0.01495
data/processed/cloudphysics/trace.jsonl,cloudphysics,32,evict_value_v1,39496.0,0.0126
data/processed/cloudphysics/trace.jsonl,cloudphysics,32,evict_value_v1_guarded,39496.0,0.0126
data/processed/cloudphysics/trace.jsonl,cloudphysics,32,atlas_v3,39496.0,0.0126
data/processed/cloudphysics/trace.jsonl,cloudphysics,32,rest_v1,39496.0,0.0126
