experiment_protocol_version,policy,policy_variant,implementation_source,implementation_commit,trace,trace_sha256,capacity,capacity_semantics,object_size_semantics,history_start,history_end,score_start,score_end,history_requests,scored_requests,hits,misses,miss_ratio,cache_warmup,model_training_mode,model_training_data,model_frozen_during_test,online_adaptation_during_test,hyperparameter_source,random_seed,future_information,runtime_seconds,status,failure_reason,batch_size_or_equivalent,n_history_events,n_scored_events
reviewer_fairness_v1,halp,deployment_full_stream,repository_reimplementation,n/a (no official code),brightkite_50k,04c8cebb51742e7f192b6654e0e3029690a74b8ff494db771f0e132dc68d01de,32,object_slots,unit,0,10000,0,50000,0,50000,31458,18542,0.37084,none_starts_empty,offline_frozen_single_split,"in_trace_prefix_[0,10000)",yes,no,repository_chosen_no_official_defaults,0,none,5.8112,ok,,,0,50000
reviewer_fairness_v1,halp,primary_controlled_window,repository_reimplementation,n/a (no official code),brightkite_50k,04c8cebb51742e7f192b6654e0e3029690a74b8ff494db771f0e132dc68d01de,32,object_slots,unit,0,10000,10000,50000,10000,40000,25110,14890,0.37225,"processes_[0,10000)_then_scores_[10000,50000)",offline_frozen_single_split,"in_trace_prefix_[0,10000)",yes,no,repository_chosen_no_official_defaults,0,none,5.8112,ok,,,10000,40000
reviewer_fairness_v1,halp,deployment_full_stream,repository_reimplementation,n/a (no official code),brightkite_50k,04c8cebb51742e7f192b6654e0e3029690a74b8ff494db771f0e132dc68d01de,64,object_slots,unit,0,10000,0,50000,0,50000,33303,16697,0.33394,none_starts_empty,offline_frozen_single_split,"in_trace_prefix_[0,10000)",yes,no,repository_chosen_no_official_defaults,0,none,5.1275,ok,,,0,50000
reviewer_fairness_v1,halp,primary_controlled_window,repository_reimplementation,n/a (no official code),brightkite_50k,04c8cebb51742e7f192b6654e0e3029690a74b8ff494db771f0e132dc68d01de,64,object_slots,unit,0,10000,10000,50000,10000,40000,26621,13379,0.334475,"processes_[0,10000)_then_scores_[10000,50000)",offline_frozen_single_split,"in_trace_prefix_[0,10000)",yes,no,repository_chosen_no_official_defaults,0,none,5.1275,ok,,,10000,40000
reviewer_fairness_v1,halp,deployment_full_stream,repository_reimplementation,n/a (no official code),brightkite_50k,04c8cebb51742e7f192b6654e0e3029690a74b8ff494db771f0e132dc68d01de,128,object_slots,unit,0,10000,0,50000,0,50000,34508,15492,0.30984,none_starts_empty,offline_frozen_single_split,"in_trace_prefix_[0,10000)",yes,no,repository_chosen_no_official_defaults,0,none,4.5687,ok,,,0,50000
reviewer_fairness_v1,halp,primary_controlled_window,repository_reimplementation,n/a (no official code),brightkite_50k,04c8cebb51742e7f192b6654e0e3029690a74b8ff494db771f0e132dc68d01de,128,object_slots,unit,0,10000,10000,50000,10000,40000,27590,12410,0.31025,"processes_[0,10000)_then_scores_[10000,50000)",offline_frozen_single_split,"in_trace_prefix_[0,10000)",yes,no,repository_chosen_no_official_defaults,0,none,4.5687,ok,,,10000,40000
reviewer_fairness_v1,halp,deployment_full_stream,repository_reimplementation,n/a (no official code),citibike_202401_50k,1ddab59d9dd9cd32ced3bf7409a2e2432cc6453cd06a6837670babb7f5d77130,32,object_slots,unit,0,10000,0,50000,0,50000,29906,20094,0.40188,none_starts_empty,offline_frozen_single_split,"in_trace_prefix_[0,10000)",yes,no,repository_chosen_no_official_defaults,0,none,12.6073,ok,,,0,50000
reviewer_fairness_v1,halp,primary_controlled_window,repository_reimplementation,n/a (no official code),citibike_202401_50k,1ddab59d9dd9cd32ced3bf7409a2e2432cc6453cd06a6837670babb7f5d77130,32,object_slots,unit,0,10000,10000,50000,10000,40000,23297,16703,0.417575,"processes_[0,10000)_then_scores_[10000,50000)",offline_frozen_single_split,"in_trace_prefix_[0,10000)",yes,no,repository_chosen_no_official_defaults,0,none,12.6073,ok,,,10000,40000
reviewer_fairness_v1,halp,deployment_full_stream,repository_reimplementation,n/a (no official code),citibike_202401_50k,1ddab59d9dd9cd32ced3bf7409a2e2432cc6453cd06a6837670babb7f5d77130,64,object_slots,unit,0,10000,0,50000,0,50000,30983,19017,0.38034,none_starts_empty,offline_frozen_single_split,"in_trace_prefix_[0,10000)",yes,no,repository_chosen_no_official_defaults,0,none,10.67,ok,,,0,50000
reviewer_fairness_v1,halp,primary_controlled_window,repository_reimplementation,n/a (no official code),citibike_202401_50k,1ddab59d9dd9cd32ced3bf7409a2e2432cc6453cd06a6837670babb7f5d77130,64,object_slots,unit,0,10000,10000,50000,10000,40000,24238,15762,0.39405,"processes_[0,10000)_then_scores_[10000,50000)",offline_frozen_single_split,"in_trace_prefix_[0,10000)",yes,no,repository_chosen_no_official_defaults,0,none,10.67,ok,,,10000,40000
reviewer_fairness_v1,halp,deployment_full_stream,repository_reimplementation,n/a (no official code),citibike_202401_50k,1ddab59d9dd9cd32ced3bf7409a2e2432cc6453cd06a6837670babb7f5d77130,128,object_slots,unit,0,10000,0,50000,0,50000,32880,17120,0.3424,none_starts_empty,offline_frozen_single_split,"in_trace_prefix_[0,10000)",yes,no,repository_chosen_no_official_defaults,0,none,9.5066,ok,,,0,50000
reviewer_fairness_v1,halp,primary_controlled_window,repository_reimplementation,n/a (no official code),citibike_202401_50k,1ddab59d9dd9cd32ced3bf7409a2e2432cc6453cd06a6837670babb7f5d77130,128,object_slots,unit,0,10000,10000,50000,10000,40000,25787,14213,0.355325,"processes_[0,10000)_then_scores_[10000,50000)",offline_frozen_single_split,"in_trace_prefix_[0,10000)",yes,no,repository_chosen_no_official_defaults,0,none,9.5066,ok,,,10000,40000
reviewer_fairness_v1,halp,deployment_full_stream,repository_reimplementation,n/a (no official code),wiki2018_pageviews_en_50k,3813084bebfcf463ac22a685494b46aea45aded55d314411c9fbb058b5d67608,32,object_slots,unit,0,10000,0,50000,0,50000,0,50000,1.0,none_starts_empty,offline_frozen_single_split,"in_trace_prefix_[0,10000)",yes,no,repository_chosen_no_official_defaults,0,none,0.5018,ok,,,0,50000
reviewer_fairness_v1,halp,primary_controlled_window,repository_reimplementation,n/a (no official code),wiki2018_pageviews_en_50k,3813084bebfcf463ac22a685494b46aea45aded55d314411c9fbb058b5d67608,32,object_slots,unit,0,10000,10000,50000,10000,40000,0,40000,1.0,"processes_[0,10000)_then_scores_[10000,50000)",offline_frozen_single_split,"in_trace_prefix_[0,10000)",yes,no,repository_chosen_no_official_defaults,0,none,0.5018,ok,,,10000,40000
reviewer_fairness_v1,halp,deployment_full_stream,repository_reimplementation,n/a (no official code),wiki2018_pageviews_en_50k,3813084bebfcf463ac22a685494b46aea45aded55d314411c9fbb058b5d67608,64,object_slots,unit,0,10000,0,50000,0,50000,0,50000,1.0,none_starts_empty,offline_frozen_single_split,"in_trace_prefix_[0,10000)",yes,no,repository_chosen_no_official_defaults,0,none,0.4993,ok,,,0,50000
reviewer_fairness_v1,halp,primary_controlled_window,repository_reimplementation,n/a (no official code),wiki2018_pageviews_en_50k,3813084bebfcf463ac22a685494b46aea45aded55d314411c9fbb058b5d67608,64,object_slots,unit,0,10000,10000,50000,10000,40000,0,40000,1.0,"processes_[0,10000)_then_scores_[10000,50000)",offline_frozen_single_split,"in_trace_prefix_[0,10000)",yes,no,repository_chosen_no_official_defaults,0,none,0.4993,ok,,,10000,40000
reviewer_fairness_v1,halp,deployment_full_stream,repository_reimplementation,n/a (no official code),wiki2018_pageviews_en_50k,3813084bebfcf463ac22a685494b46aea45aded55d314411c9fbb058b5d67608,128,object_slots,unit,0,10000,0,50000,0,50000,0,50000,1.0,none_starts_empty,offline_frozen_single_split,"in_trace_prefix_[0,10000)",yes,no,repository_chosen_no_official_defaults,0,none,0.506,ok,,,0,50000
