experiment_protocol_version,policy,policy_variant,implementation_source,implementation_commit,trace,trace_sha256,capacity,capacity_semantics,object_size_semantics,history_start,history_end,score_start,score_end,history_requests,scored_requests,hits,misses,miss_ratio,cache_warmup,model_training_mode,model_training_data,model_frozen_during_test,online_adaptation_during_test,hyperparameter_source,random_seed,future_information,runtime_seconds,status,failure_reason,batch_size_or_equivalent,n_history_events,n_scored_events
reviewer_fairness_v1,sieve,deployment_full_stream,native,n/a,brightkite_50k,04c8cebb51742e7f192b6654e0e3029690a74b8ff494db771f0e132dc68d01de,32,object_slots,unit,0,10000,0,50000,0,50000,31890,18110,0.3622,none_starts_empty,none,n/a,n/a,no,n/a (parameter-free),n/a,none,0.0946,ok,,,0,50000
reviewer_fairness_v1,sieve,primary_controlled_window,native,n/a,brightkite_50k,04c8cebb51742e7f192b6654e0e3029690a74b8ff494db771f0e132dc68d01de,32,object_slots,unit,0,10000,10000,50000,10000,40000,25545,14455,0.361375,"processes_[0,10000)_then_scores_[10000,50000)",none,n/a,n/a,no,n/a (parameter-free),n/a,none,0.0946,ok,,,10000,40000
reviewer_fairness_v1,sieve,deployment_full_stream,native,n/a,brightkite_50k,04c8cebb51742e7f192b6654e0e3029690a74b8ff494db771f0e132dc68d01de,64,object_slots,unit,0,10000,0,50000,0,50000,33135,16865,0.3373,none_starts_empty,none,n/a,n/a,no,n/a (parameter-free),n/a,none,0.1161,ok,,,0,50000
reviewer_fairness_v1,sieve,primary_controlled_window,native,n/a,brightkite_50k,04c8cebb51742e7f192b6654e0e3029690a74b8ff494db771f0e132dc68d01de,64,object_slots,unit,0,10000,10000,50000,10000,40000,26495,13505,0.337625,"processes_[0,10000)_then_scores_[10000,50000)",none,n/a,n/a,no,n/a (parameter-free),n/a,none,0.1161,ok,,,10000,40000
reviewer_fairness_v1,sieve,deployment_full_stream,native,n/a,brightkite_50k,04c8cebb51742e7f192b6654e0e3029690a74b8ff494db771f0e132dc68d01de,128,object_slots,unit,0,10000,0,50000,0,50000,34139,15861,0.31722,none_starts_empty,none,n/a,n/a,no,n/a (parameter-free),n/a,none,0.14,ok,,,0,50000
reviewer_fairness_v1,sieve,primary_controlled_window,native,n/a,brightkite_50k,04c8cebb51742e7f192b6654e0e3029690a74b8ff494db771f0e132dc68d01de,128,object_slots,unit,0,10000,10000,50000,10000,40000,27275,12725,0.318125,"processes_[0,10000)_then_scores_[10000,50000)",none,n/a,n/a,no,n/a (parameter-free),n/a,none,0.14,ok,,,10000,40000
reviewer_fairness_v1,sieve,deployment_full_stream,native,n/a,citibike_202401_50k,1ddab59d9dd9cd32ced3bf7409a2e2432cc6453cd06a6837670babb7f5d77130,32,object_slots,unit,0,10000,0,50000,0,50000,28849,21151,0.42302,none_starts_empty,none,n/a,n/a,no,n/a (parameter-free),n/a,none,0.1089,ok,,,0,50000
reviewer_fairness_v1,sieve,primary_controlled_window,native,n/a,citibike_202401_50k,1ddab59d9dd9cd32ced3bf7409a2e2432cc6453cd06a6837670babb7f5d77130,32,object_slots,unit,0,10000,10000,50000,10000,40000,22494,17506,0.43765,"processes_[0,10000)_then_scores_[10000,50000)",none,n/a,n/a,no,n/a (parameter-free),n/a,none,0.1089,ok,,,10000,40000
reviewer_fairness_v1,sieve,deployment_full_stream,native,n/a,citibike_202401_50k,1ddab59d9dd9cd32ced3bf7409a2e2432cc6453cd06a6837670babb7f5d77130,64,object_slots,unit,0,10000,0,50000,0,50000,30544,19456,0.38912,none_starts_empty,none,n/a,n/a,no,n/a (parameter-free),n/a,none,0.1263,ok,,,0,50000
reviewer_fairness_v1,sieve,primary_controlled_window,native,n/a,citibike_202401_50k,1ddab59d9dd9cd32ced3bf7409a2e2432cc6453cd06a6837670babb7f5d77130,64,object_slots,unit,0,10000,10000,50000,10000,40000,23919,16081,0.402025,"processes_[0,10000)_then_scores_[10000,50000)",none,n/a,n/a,no,n/a (parameter-free),n/a,none,0.1263,ok,,,10000,40000
