experiment_protocol_version,policy,policy_variant,implementation_source,implementation_commit,trace,trace_sha256,capacity,capacity_semantics,object_size_semantics,history_start,history_end,score_start,score_end,history_requests,scored_requests,hits,misses,miss_ratio,cache_warmup,model_training_mode,model_training_data,model_frozen_during_test,online_adaptation_during_test,hyperparameter_source,random_seed,future_information,runtime_seconds,status,failure_reason,batch_size_or_equivalent,n_history_events,n_scored_events
reviewer_fairness_v1,lru,deployment_full_stream,native,n/a,brightkite_50k,04c8cebb51742e7f192b6654e0e3029690a74b8ff494db771f0e132dc68d01de,32,object_slots,unit,0,10000,0,50000,0,50000,31922,18078,0.36156,none_starts_empty,none,n/a,n/a,no,n/a (parameter-free),n/a,none,0.0695,ok,,,0,50000
reviewer_fairness_v1,lru,primary_controlled_window,native,n/a,brightkite_50k,04c8cebb51742e7f192b6654e0e3029690a74b8ff494db771f0e132dc68d01de,32,object_slots,unit,0,10000,10000,50000,10000,40000,25574,14426,0.36065,"processes_[0,10000)_then_scores_[10000,50000)",none,n/a,n/a,no,n/a (parameter-free),n/a,none,0.0695,ok,,,10000,40000
reviewer_fairness_v1,lru,deployment_full_stream,native,n/a,brightkite_50k,04c8cebb51742e7f192b6654e0e3029690a74b8ff494db771f0e132dc68d01de,64,object_slots,unit,0,10000,0,50000,0,50000,33457,16543,0.33086,none_starts_empty,none,n/a,n/a,no,n/a (parameter-free),n/a,none,0.0751,ok,,,0,50000
reviewer_fairness_v1,lru,primary_controlled_window,native,n/a,brightkite_50k,04c8cebb51742e7f192b6654e0e3029690a74b8ff494db771f0e132dc68d01de,64,object_slots,unit,0,10000,10000,50000,10000,40000,26775,13225,0.330625,"processes_[0,10000)_then_scores_[10000,50000)",none,n/a,n/a,no,n/a (parameter-free),n/a,none,0.0751,ok,,,10000,40000
reviewer_fairness_v1,lru,deployment_full_stream,native,n/a,brightkite_50k,04c8cebb51742e7f192b6654e0e3029690a74b8ff494db771f0e132dc68d01de,128,object_slots,unit,0,10000,0,50000,0,50000,34521,15479,0.30958,none_starts_empty,none,n/a,n/a,no,n/a (parameter-free),n/a,none,0.075,ok,,,0,50000
reviewer_fairness_v1,lru,primary_controlled_window,native,n/a,brightkite_50k,04c8cebb51742e7f192b6654e0e3029690a74b8ff494db771f0e132dc68d01de,128,object_slots,unit,0,10000,10000,50000,10000,40000,27603,12397,0.309925,"processes_[0,10000)_then_scores_[10000,50000)",none,n/a,n/a,no,n/a (parameter-free),n/a,none,0.075,ok,,,10000,40000
reviewer_fairness_v1,lru,deployment_full_stream,native,n/a,citibike_202401_50k,1ddab59d9dd9cd32ced3bf7409a2e2432cc6453cd06a6837670babb7f5d77130,32,object_slots,unit,0,10000,0,50000,0,50000,30006,19994,0.39988,none_starts_empty,none,n/a,n/a,no,n/a (parameter-free),n/a,none,0.0767,ok,,,0,50000
reviewer_fairness_v1,lru,primary_controlled_window,native,n/a,citibike_202401_50k,1ddab59d9dd9cd32ced3bf7409a2e2432cc6453cd06a6837670babb7f5d77130,32,object_slots,unit,0,10000,10000,50000,10000,40000,23397,16603,0.415075,"processes_[0,10000)_then_scores_[10000,50000)",none,n/a,n/a,no,n/a (parameter-free),n/a,none,0.0767,ok,,,10000,40000
reviewer_fairness_v1,lru,deployment_full_stream,native,n/a,citibike_202401_50k,1ddab59d9dd9cd32ced3bf7409a2e2432cc6453cd06a6837670babb7f5d77130,64,object_slots,unit,0,10000,0,50000,0,50000,31036,18964,0.37928,none_starts_empty,none,n/a,n/a,no,n/a (parameter-free),n/a,none,0.076,ok,,,0,50000
reviewer_fairness_v1,lru,primary_controlled_window,native,n/a,citibike_202401_50k,1ddab59d9dd9cd32ced3bf7409a2e2432cc6453cd06a6837670babb7f5d77130,64,object_slots,unit,0,10000,10000,50000,10000,40000,24291,15709,0.392725,"processes_[0,10000)_then_scores_[10000,50000)",none,n/a,n/a,no,n/a (parameter-free),n/a,none,0.076,ok,,,10000,40000
