capacity,delta_vs_lru,diagnostics_count,held_out_family,miss_ratio,misses,model_sha256,objective,seed,trace_sha256,validation_mean_regret,victim_sequence_sha256
128,,0,brightkite,0.40145,16058,26ee37b556331488d67ab78be2dc49478004e564b0572f11f01ab2f5ebd385d3,objective_reuse_distance,0,04c8cebb51742e7f192b6654e0e3029690a74b8ff494db771f0e132dc68d01de,0.425,44b22cb6f0a7baf677defc1b28b3e089158e424b90296f51d6d48f1a8a38c67c
128,,0,brightkite,0.310075,12403,55866a61bab9684eae5cb4eabe8702672dab1bbc69cce7c17863d4b1a7ffa5c0,objective_pairwise,0,04c8cebb51742e7f192b6654e0e3029690a74b8ff494db771f0e132dc68d01de,0.0,c05ff08bf9812aa01dba6b7762e5bc3c0eded3d75937c77a2a69a91038ae3017
32,,0,citibike,0.417525,16701,2dd95e910ad60251af7dc29aeea2ffdeefcd85b63d6a628535edee2f55a7c0b4,objective_eviction_loss,0,1ddab59d9dd9cd32ced3bf7409a2e2432cc6453cd06a6837670babb7f5d77130,0.0,7c215685b59e908da5ca5bd231db2c3865488b8f596ab00fcd26786bca2e197b
32,,0,citibike,0.79055,31622,c760280817c97920a4aa93e5e85fe285363a246bf9d7ab9832a54f7584854b65,objective_next_arrival,0,1ddab59d9dd9cd32ced3bf7409a2e2432cc6453cd06a6837670babb7f5d77130,0.0,f0c32046b47b6d3aec9e0ab64c5750c09a1039cb955df7a8ad17734cfff2ba2e
32,,0,citibike,0.76585,30634,fc396cd4663bf6f7b560f95cb41d1cfd29c8c3b48a2ba4ade482b1bc1fa24c30,objective_reuse_distance,0,1ddab59d9dd9cd32ced3bf7409a2e2432cc6453cd06a6837670babb7f5d77130,0.0,6365f2a41988d07ed8ab1d1166d9765ed9192713b47e61b0a92440b7b7a76334
32,,0,citibike,0.64695,25878,2483f69d7d3f082c963eee415bec417fa6cfcebdc31790eca40c26d6fab15eec,objective_pairwise,0,1ddab59d9dd9cd32ced3bf7409a2e2432cc6453cd06a6837670babb7f5d77130,0.0,17a20c4baa2e360bbc73e8d66fe824c5a9aa4f4c37a5c311f618444f5fd2a008
64,,0,citibike,0.40235,16094,d94bd9ca155bfe5fb798f84789ba5eeb39fad605fe64825e2c384e6678ed019d,objective_eviction_loss,0,1ddab59d9dd9cd32ced3bf7409a2e2432cc6453cd06a6837670babb7f5d77130,0.0,423feef5a94ae789cf96dd53265bcb57dcdc695516662cc8671b84f45fcfccde
64,,0,citibike,0.4447,17788,8ccd7f89139444dfab3f93d150edf11e7a2cd7fa529c8c9d1b1f9b0d95d96ab3,objective_next_arrival,0,1ddab59d9dd9cd32ced3bf7409a2e2432cc6453cd06a6837670babb7f5d77130,0.0,dbd922715200a301939e730bd7c2365ea70abd535b6b23a501651aa933398dc0
64,,0,citibike,0.44025,17610,642f00fbe9df3cac642b8c4d163473ac1abb96b16e99ddaa4d391bdad6f4df7a,objective_reuse_distance,0,1ddab59d9dd9cd32ced3bf7409a2e2432cc6453cd06a6837670babb7f5d77130,0.0,b8428be110897206086a5905a2dbbfeda258681a69e00c88b2a313f247abb622
64,,0,citibike,0.392675,15707,0cdc719729e947e640865bda5b62faaa6abd16b734bbde4205a7d10b70ebaa71,objective_pairwise,0,1ddab59d9dd9cd32ced3bf7409a2e2432cc6453cd06a6837670babb7f5d77130,0.0,32dbe831935141d4781424516f4ce1a095dade01b73ff6bc26c020b908116afe
128,,0,citibike,0.371,14840,acb173bbd29ff6658f0be22edfe16e157fb33c00dedbe3421eb3526383b5077b,objective_eviction_loss,0,1ddab59d9dd9cd32ced3bf7409a2e2432cc6453cd06a6837670babb7f5d77130,0.0,f762892f9ff2166b36f264a9ec1953b11126b67efb2c9a49dcee6e75c0f4cb9a
128,,0,citibike,0.372525,14901,f384d60f2599bbb4e21c36705294abb9f8208242618222915274286ecb6c399a,objective_next_arrival,0,1ddab59d9dd9cd32ced3bf7409a2e2432cc6453cd06a6837670babb7f5d77130,0.0,7f9684982b31bd07a9f6b3a17ff4c79a2967ce2f6b59bce88c3160d310670fbe
128,,0,citibike,0.36085,14434,5ec3718a09f1a486a3ce461d40059d191eecbbca40384461ac77d766eaea5eff,objective_reuse_distance,0,1ddab59d9dd9cd32ced3bf7409a2e2432cc6453cd06a6837670babb7f5d77130,0.0,eb42f07f06d4a01e193c3a02e860fc3c99bd9ba6e5f4cb4653bae43a2c76d739
128,,0,citibike,0.3554,14216,b03699db6319e44ce4200abd3e3cae48b63771bf322363f9ca35abd3dcd4a17c,objective_pairwise,0,1ddab59d9dd9cd32ced3bf7409a2e2432cc6453cd06a6837670babb7f5d77130,0.0,c3dc6d135fae6cab8345bf4b8ace1c91c2a5aa8e26bb3baa498ea26bc254aa2d
32,,0,cloudphysics,0.992325,39693,01f09a630d34b3f4069f9cdc9ebfe1226d2f768107d0a19bdc5babf0986e386d,objective_eviction_loss,0,fedb3d31ee3c1dd847d25f967392cdf0fdec1e9c1fbb6808772e281bc8d4fb57,0.275,1f408c27616544e6ead7c3a31170a0b8630c8db9345ff6a142ecd54ed8ea8e6e
32,,0,cloudphysics,0.98315,39326,5547480b62f61259a3cee4cb2c9b1ee37b23bc8e51b523dffa51481ddc2d4097,objective_next_arrival,0,fedb3d31ee3c1dd847d25f967392cdf0fdec1e9c1fbb6808772e281bc8d4fb57,0.0,e2db0169a26fcd1719e6a878ae094e33efb97ff2c43db7a02a93e5855225d477
