protocol,trace,capacity,learned_misses,lru_misses,delta_vs_lru
lru,data/example.json,2,7,10,-3
lru,data/example.json,3,5,6,-1
lru,data/example_atlas_v1.json,2,8,10,-2
lru,data/example_atlas_v1.json,3,7,9,-2
lru,data/example_general_caching.json,2,4,4,0
lru,data/example_general_caching.json,3,3,3,0
lru,data/example_unweighted.json,2,7,10,-3
lru,data/example_unweighted.json,3,5,6,-1
blind_oracle,data/example.json,2,7,10,-3
blind_oracle,data/example.json,3,5,6,-1
blind_oracle,data/example_atlas_v1.json,2,9,10,-1
blind_oracle,data/example_atlas_v1.json,3,6,9,-3
blind_oracle,data/example_general_caching.json,2,4,4,0
blind_oracle,data/example_general_caching.json,3,3,3,0
blind_oracle,data/example_unweighted.json,2,7,10,-3
blind_oracle,data/example_unweighted.json,3,5,6,-1
fifo,data/example.json,2,7,10,-3
fifo,data/example.json,3,5,6,-1
fifo,data/example_atlas_v1.json,2,8,10,-2
fifo,data/example_atlas_v1.json,3,7,9,-2
fifo,data/example_general_caching.json,2,4,4,0
fifo,data/example_general_caching.json,3,3,3,0
fifo,data/example_unweighted.json,2,7,10,-3
fifo,data/example_unweighted.json,3,5,6,-1
