job_label,instance_id,mode,ranking_mode,k,alphabet,trace_len,chain_count,sum_I,eta_pair,lemma1_pass,lemma2_pass,lemma3_pass,all_pass,violation_count,trace
local_smoke_check,0,random,adv_bias,3,4,31,2,1,18,True,True,True,True,0,"p1,p1,p0,p1,p1,p1,p0,p1,p1,p1,p1,p1,p1,p3,p0,p0,p2,p3,p3,p0,p3,p0,p0,p1,p1,p0,p1,p0,p0,p0,p1"
local_smoke_check,1,random,noisy,4,10,61,1,0,2,True,True,True,True,0,"p3,p3,p7,p0,p3,p3,p3,p7,p8,p3,p7,p8,p3,p2,p4,p8,p8,p2,p8,p4,p4,p8,p4,p4,p2,p4,p8,p4,p3,p0,p3,p4,p3,p3,p7,p4,p3,p4,p3,p1,p3,p4,p7,p9,p3,p7,p3,p6,p6,p6,p3,p2,p6,p3,p5,p7,p1,p2,p3,p1,p5"
local_smoke_check,2,random,near_tie,4,8,27,0,0,0,True,True,True,True,0,"p7,p7,p7,p7,p6,p6,p7,p4,p7,p6,p7,p0,p6,p3,p6,p6,p0,p7,p0,p6,p6,p0,p6,p6,p0,p6,p6"
local_smoke_check,3,random,near_tie,4,10,27,0,0,0,True,True,True,True,0,"p7,p7,p7,p7,p7,p7,p7,p7,p7,p7,p7,p7,p7,p7,p4,p7,p7,p7,p7,p8,p8,p2,p5,p8,p8,p7,p3"
local_smoke_check,4,random,near_tie,3,7,42,2,0,0,True,True,True,True,0,"p6,p6,p4,p0,p2,p3,p5,p1,p2,p4,p1,p4,p3,p1,p3,p2,p5,p0,p5,p6,p2,p2,p2,p6,p2,p1,p6,p1,p3,p2,p4,p0,p2,p1,p5,p6,p3,p3,p5,p3,p4,p5"
local_smoke_check,5,random,noisy,4,8,35,1,0,0,True,True,True,True,0,"p0,p0,p4,p0,p4,p2,p0,p0,p6,p4,p0,p2,p4,p4,p2,p1,p1,p1,p1,p1,p4,p3,p6,p4,p3,p1,p6,p4,p4,p0,p3,p4,p0,p0,p4"
local_smoke_check,6,random,noisy,3,8,31,1,0,0,True,True,True,True,0,"p1,p5,p5,p5,p1,p5,p3,p5,p5,p5,p5,p4,p6,p3,p4,p4,p3,p4,p0,p3,p4,p4,p4,p4,p4,p4,p4,p4,p4,p3,p1"
local_smoke_check,7,random,noisy,3,8,35,1,0,0,True,True,True,True,0,"p0,p0,p5,p2,p2,p2,p2,p3,p2,p1,p7,p0,p2,p6,p3,p6,p0,p2,p4,p7,p0,p6,p4,p3,p3,p6,p5,p4,p1,p4,p2,p5,p5,p5,p1"
local_smoke_check,8,random,noisy,8,12,135,0,0,0,True,True,True,True,0,"p1,p1,p1,p1,p8,p1,p8,p1,p8,p1,p8,p8,p1,p8,p8,p1,p1,p8,p1,p1,p8,p8,p1,p8,p8,p4,p1,p8,p8,p1,p8,p4,p1,p8,p1,p1,p1,p1,p8,p1,p2,p2,p1,p1,p1,p1,p2,p1,p2,p1,p6,p1,p11,p1,p2,p1,p1,p2,p1,p4,p6,p11,p2,p1,p6,p2,p6,p1,p1,p6,p1,p6,p1,p6,p1,p9,p6,p1,p6,p1,p1,p1,p6,p9,p1,p6,p0,p6,p9,p9,p0,p6,p1,p1,p5,p9,p8,p5,p9,p9,p9,p6,p0,p6,p9,p1,p1,p8,p5,p5,p8,p9,p5,p9,p2,p9,p0,p9,p9,p9,p7,p9,p5,p9,p9,p9,p7,p2,p9,p4,p9,p9,p9,p9,p5"
local_smoke_check,9,random,noisy,4,6,46,1,0,0,True,True,True,True,0,"p4,p4,p4,p1,p1,p4,p4,p3,p4,p1,p1,p1,p4,p3,p5,p3,p1,p4,p5,p1,p4,p1,p1,p1,p1,p5,p4,p0,p1,p1,p1,p1,p1,p1,p1,p1,p5,p2,p2,p2,p1,p0,p1,p2,p0,p0"
