job_label,instance_id,mode,ranking_mode,k,trace_len,trace,lemma,chain_id,phase,damage_D,I_size,lemma1_chain_monotone,lemma2_head_bound,head_victim_e1,head_stale_set,I_set,a_values
campaign_r1_task14_random,2,random,adv_bias,6,106,"p6,p1,p1,p7,p0,p1,p2,p0,p6,p3,p1,p0,p1,p1,p3,p2,p6,p4,p5,p2,p6,p4,p0,p4,p2,p5,p4,p7,p1,p4,p4,p4,p1,p2,p4,p4,p4,p6,p6,p5,p5,p7,p1,p1,p0,p5,p4,p0,p4,p5,p5,p4,p2,p5,p0,p3,p0,p5,p4,p4,p4,p4,p0,p2,p5,p1,p2,p2,p3,p2,p3,p0,p6,p0,p3,p3,p3,p3,p4,p0,p6,p0,p5,p4,p2,p3,p4,p5,p3,p2,p1,p3,p6,p7,p1,p6,p4,p2,p2,p3,p1,p1,p1,p5,p1,p5",lemma1_chain_monotone,ph1_c1,1,2,2,False,True,p7,"p1,p3,p7","p1,p3","2,2"
campaign_r1_task14_random,12,random,adv_bias,4,46,"p9,p9,p9,p1,p7,p1,p1,p4,p1,p9,p1,p7,p2,p3,p1,p4,p7,p3,p2,p3,p5,p4,p3,p7,p5,p7,p4,p9,p3,p3,p4,p6,p1,p4,p7,p4,p4,p4,p7,p6,p7,p3,p6,p4,p9,p7",lemma1_chain_monotone,ph1_c0,1,2,2,False,True,p4,"p4,p7,p9","p7,p9","2,2"
campaign_r1_task14_random,17,random,adv_bias,2,33,"p2,p0,p1,p2,p0,p0,p2,p0,p0,p3,p3,p4,p4,p0,p0,p1,p0,p3,p5,p3,p4,p3,p4,p2,p4,p2,p2,p4,p1,p3,p5,p1,p4",lemma1_chain_monotone,ph9_c0,9,2,0,False,False,p2,p2,,"1000000000000,1000000000000"
campaign_r1_task14_random,17,random,adv_bias,2,33,"p2,p0,p1,p2,p0,p0,p2,p0,p0,p3,p3,p4,p4,p0,p0,p1,p0,p3,p5,p3,p4,p3,p4,p2,p4,p2,p2,p4,p1,p3,p5,p1,p4",lemma2_head_bound,ph9_c0,9,2,0,False,False,p2,p2,,"1000000000000,1000000000000"
campaign_r1_task14_random,19,random,adv_bias,8,100,"p0,p7,p0,p0,p8,p0,p5,p5,p7,p5,p0,p6,p5,p6,p3,p5,p7,p8,p5,p3,p6,p6,p4,p4,p3,p3,p1,p8,p6,p8,p0,p2,p8,p0,p8,p0,p2,p4,p2,p0,p8,p0,p0,p8,p4,p2,p0,p8,p0,p7,p8,p2,p1,p0,p9,p4,p7,p3,p9,p2,p2,p3,p8,p7,p7,p1,p8,p6,p2,p8,p8,p8,p5,p1,p7,p1,p2,p1,p8,p7,p2,p1,p1,p6,p8,p0,p6,p7,p7,p7,p1,p1,p9,p1,p0,p8,p0,p0,p8,p7",lemma1_chain_monotone,ph2_c0,2,3,5,False,True,p1,"p0,p1,p3,p4,p5,p7,p9","p0,p3,p4,p7,p9","5,3,2"
campaign_r1_task14_random,24,random,noisy,5,100,"p2,p5,p2,p5,p5,p2,p8,p2,p7,p9,p2,p0,p1,p1,p2,p11,p1,p2,p0,p1,p11,p1,p8,p1,p0,p1,p0,p6,p10,p1,p1,p0,p1,p1,p1,p7,p1,p3,p3,p1,p3,p7,p3,p3,p3,p3,p3,p4,p3,p1,p7,p3,p3,p6,p3,p8,p5,p2,p3,p2,p10,p7,p3,p6,p8,p10,p10,p6,p2,p6,p5,p8,p7,p3,p7,p7,p0,p0,p8,p7,p7,p7,p7,p7,p7,p7,p0,p7,p7,p7,p7,p7,p7,p7,p7,p2,p10,p7,p7,p2",lemma1_chain_monotone,ph1_c0,1,2,0,False,False,p5,"p2,p5,p7,p8",,"44,20"
campaign_r1_task14_random,24,random,noisy,5,100,"p2,p5,p2,p5,p5,p2,p8,p2,p7,p9,p2,p0,p1,p1,p2,p11,p1,p2,p0,p1,p11,p1,p8,p1,p0,p1,p0,p6,p10,p1,p1,p0,p1,p1,p1,p7,p1,p3,p3,p1,p3,p7,p3,p3,p3,p3,p3,p4,p3,p1,p7,p3,p3,p6,p3,p8,p5,p2,p3,p2,p10,p7,p3,p6,p8,p10,p10,p6,p2,p6,p5,p8,p7,p3,p7,p7,p0,p0,p8,p7,p7,p7,p7,p7,p7,p7,p0,p7,p7,p7,p7,p7,p7,p7,p7,p2,p10,p7,p7,p2",lemma2_head_bound,ph1_c0,1,2,0,False,False,p5,"p2,p5,p7,p8",,"44,20"
campaign_r1_task14_random,32,random,adv_bias,5,76,"p3,p5,p5,p8,p5,p6,p3,p3,p5,p8,p8,p4,p6,p4,p7,p4,p4,p6,p6,p4,p7,p4,p6,p4,p5,p4,p4,p0,p4,p5,p5,p4,p8,p4,p6,p4,p4,p5,p5,p1,p7,p3,p3,p5,p5,p6,p7,p1,p2,p4,p1,p1,p1,p7,p6,p2,p1,p1,p1,p8,p1,p1,p1,p8,p8,p1,p6,p8,p3,p8,p8,p8,p8,p8,p6,p8",lemma1_chain_monotone,ph2_c1,2,2,2,False,True,p7,"p0,p3,p7","p0,p3","5,4"
campaign_r1_task14_random,32,random,adv_bias,5,76,"p3,p5,p5,p8,p5,p6,p3,p3,p5,p8,p8,p4,p6,p4,p7,p4,p4,p6,p6,p4,p7,p4,p6,p4,p5,p4,p4,p0,p4,p5,p5,p4,p8,p4,p6,p4,p4,p5,p5,p1,p7,p3,p3,p5,p5,p6,p7,p1,p2,p4,p1,p1,p1,p7,p6,p2,p1,p1,p1,p8,p1,p1,p1,p8,p8,p1,p6,p8,p3,p8,p8,p8,p8,p8,p6,p8",lemma1_chain_monotone,ph3_c0,3,2,3,False,True,p1,"p0,p1,p4,p8","p0,p4,p8","4,4"
campaign_r1_task14_random,33,random,adv_bias,5,36,"p4,p4,p4,p3,p2,p3,p1,p0,p4,p3,p6,p2,p2,p4,p4,p6,p6,p4,p0,p4,p3,p4,p4,p4,p4,p0,p3,p5,p5,p4,p4,p5,p2,p6,p6,p0",lemma1_chain_monotone,ph2_c0,2,4,2,False,False,p0,"p0,p1,p3,p6","p1,p3","4,1,1000000000000,1000000000000"
