trace,regime,capacity,sentinel_misses,predictor_steps,robust_steps,predictor_coverage,guard_triggers,forced_robust_steps,robust_ftp_d_marker_misses,sentinel_minus_robust_ftp_d_marker,outcome_vs_robust_ftp_d_marker,blind_oracle_lru_combiner_misses,sentinel_minus_blind_oracle_lru_combiner,outcome_vs_blind_oracle_lru_combiner,rest_v1_misses,sentinel_minus_rest_v1,outcome_vs_rest_v1,atlas_v3_misses,sentinel_minus_atlas_v3,outcome_vs_atlas_v3,lru_misses,sentinel_minus_lru,outcome_vs_lru
file::example_atlas_v1,clean,2,8,0.0,10.0,0.0,0.0,0.0,8,0,tie,8,0,tie,10,-2,win,9,-1,win,10,-2,win
file::example_atlas_v1,clean,3,6,0.0,10.0,0.0,0.0,0.0,6,0,tie,6,0,tie,6,0,tie,6,0,tie,9,-3,win
file::example_atlas_v1,clean,4,5,0.0,10.0,0.0,0.0,0.0,5,0,tie,5,0,tie,5,0,tie,5,0,tie,6,-1,win
file::example_atlas_v1,noisy,2,8,0.0,10.0,0.0,0.0,0.0,8,0,tie,8,0,tie,9,-1,win,8,0,tie,10,-2,win
file::example_atlas_v1,noisy,3,6,0.0,10.0,0.0,0.0,0.0,6,0,tie,6,0,tie,6,0,tie,6,0,tie,9,-3,win
file::example_atlas_v1,noisy,4,5,0.0,10.0,0.0,0.0,0.0,5,0,tie,5,0,tie,5,0,tie,5,0,tie,6,-1,win
file::example_unweighted,clean,2,7,0.0,10.0,0.0,0.0,0.0,7,0,tie,7,0,tie,10,-3,win,9,-2,win,10,-3,win
file::example_unweighted,clean,3,5,0.0,10.0,0.0,0.0,0.0,5,0,tie,5,0,tie,6,-1,win,5,0,tie,6,-1,win
file::example_unweighted,clean,4,4,0.0,10.0,0.0,0.0,0.0,4,0,tie,4,0,tie,4,0,tie,4,0,tie,4,0,tie
file::example_unweighted,noisy,2,7,0.0,10.0,0.0,0.0,0.0,7,0,tie,7,0,tie,9,-2,win,8,-1,win,10,-3,win
file::example_unweighted,noisy,3,5,0.0,10.0,0.0,0.0,0.0,5,0,tie,6,-1,win,6,-1,win,5,0,tie,6,-1,win
file::example_unweighted,noisy,4,4,0.0,10.0,0.0,0.0,0.0,4,0,tie,4,0,tie,4,0,tie,4,0,tie,4,0,tie
stress::mixed_regime,clean,2,7,0.0,10.0,0.0,0.0,0.0,7,0,tie,7,0,tie,10,-3,win,9,-2,win,10,-3,win
stress::mixed_regime,clean,3,5,0.0,10.0,0.0,0.0,0.0,5,0,tie,5,0,tie,5,0,tie,5,0,tie,7,-2,win
stress::mixed_regime,clean,4,4,0.0,10.0,0.0,0.0,0.0,4,0,tie,4,0,tie,4,0,tie,4,0,tie,4,0,tie
stress::mixed_regime,noisy,2,8,0.0,10.0,0.0,0.0,0.0,8,0,tie,8,0,tie,9,-1,win,8,0,tie,10,-2,win
stress::mixed_regime,noisy,3,5,0.0,10.0,0.0,0.0,0.0,5,0,tie,7,-2,win,5,0,tie,6,-1,win,7,-2,win
stress::mixed_regime,noisy,4,4,0.0,10.0,0.0,0.0,0.0,4,0,tie,4,0,tie,4,0,tie,4,0,tie,4,0,tie
stress::predictor_bad_lru_good,clean,2,6,0.0,10.0,0.0,0.0,0.0,6,0,tie,6,0,tie,6,0,tie,6,0,tie,6,0,tie
stress::predictor_bad_lru_good,clean,3,6,0.0,10.0,0.0,0.0,0.0,6,0,tie,6,0,tie,6,0,tie,6,0,tie,6,0,tie
stress::predictor_bad_lru_good,clean,4,6,0.0,10.0,0.0,0.0,0.0,6,0,tie,6,0,tie,6,0,tie,6,0,tie,6,0,tie
stress::predictor_bad_lru_good,noisy,2,6,0.0,10.0,0.0,0.0,0.0,6,0,tie,6,0,tie,6,0,tie,6,0,tie,6,0,tie
stress::predictor_bad_lru_good,noisy,3,6,0.0,10.0,0.0,0.0,0.0,6,0,tie,6,0,tie,6,0,tie,6,0,tie,6,0,tie
stress::predictor_bad_lru_good,noisy,4,6,0.0,10.0,0.0,0.0,0.0,6,0,tie,6,0,tie,6,0,tie,6,0,tie,6,0,tie
stress::predictor_good_lru_bad,clean,2,7,0.0,10.0,0.0,0.0,0.0,7,0,tie,7,0,tie,8,-1,win,8,-1,win,9,-2,win
stress::predictor_good_lru_bad,clean,3,5,0.0,10.0,0.0,0.0,0.0,5,0,tie,5,0,tie,7,-2,win,6,-1,win,7,-2,win
stress::predictor_good_lru_bad,clean,4,4,0.0,10.0,0.0,0.0,0.0,4,0,tie,4,0,tie,4,0,tie,4,0,tie,4,0,tie
stress::predictor_good_lru_bad,noisy,2,8,0.0,10.0,0.0,0.0,0.0,8,0,tie,8,0,tie,7,1,loss,7,1,loss,9,-1,win
stress::predictor_good_lru_bad,noisy,3,6,0.0,10.0,0.0,0.0,0.0,6,0,tie,7,-1,win,7,-1,win,7,-1,win,7,-1,win
stress::predictor_good_lru_bad,noisy,4,4,0.0,10.0,0.0,0.0,0.0,4,0,tie,4,0,tie,4,0,tie,4,0,tie,4,0,tie
