seed,model_family,trace,family,capacity,label_source,requests,policy_misses,policy_hit_rate,lru_misses,lru_hit_rate,delta_misses_vs_lru
0,random_forest,data/example.json,data,2,heuristic,10,10,0.0,10,0.0,0
0,random_forest,data/example.json,data,2,offline_teacher,10,10,0.0,10,0.0,0
0,random_forest,data/example.json,data,3,heuristic,10,5,0.5,6,0.4,-1
0,random_forest,data/example.json,data,3,offline_teacher,10,5,0.5,6,0.4,-1
0,random_forest,data/example.json,data,4,heuristic,10,4,0.6,4,0.6,0
0,random_forest,data/example.json,data,4,offline_teacher,10,4,0.6,4,0.6,0
0,random_forest,data/example.json,data,5,heuristic,10,4,0.6,4,0.6,0
0,random_forest,data/example.json,data,5,offline_teacher,10,4,0.6,4,0.6,0
0,random_forest,data/example_unweighted.json,data,2,heuristic,10,10,0.0,10,0.0,0
0,random_forest,data/example_unweighted.json,data,2,offline_teacher,10,10,0.0,10,0.0,0
0,random_forest,data/example_unweighted.json,data,3,heuristic,10,5,0.5,6,0.4,-1
0,random_forest,data/example_unweighted.json,data,3,offline_teacher,10,5,0.5,6,0.4,-1
0,random_forest,data/example_unweighted.json,data,4,heuristic,10,4,0.6,4,0.6,0
0,random_forest,data/example_unweighted.json,data,4,offline_teacher,10,4,0.6,4,0.6,0
0,random_forest,data/example_unweighted.json,data,5,heuristic,10,4,0.6,4,0.6,0
0,random_forest,data/example_unweighted.json,data,5,offline_teacher,10,4,0.6,4,0.6,0
1,random_forest,data/example.json,data,2,heuristic,10,10,0.0,10,0.0,0
1,random_forest,data/example.json,data,2,offline_teacher,10,10,0.0,10,0.0,0
1,random_forest,data/example.json,data,3,heuristic,10,5,0.5,6,0.4,-1
1,random_forest,data/example.json,data,3,offline_teacher,10,6,0.4,6,0.4,0
1,random_forest,data/example.json,data,4,heuristic,10,4,0.6,4,0.6,0
1,random_forest,data/example.json,data,4,offline_teacher,10,4,0.6,4,0.6,0
1,random_forest,data/example.json,data,5,heuristic,10,4,0.6,4,0.6,0
1,random_forest,data/example.json,data,5,offline_teacher,10,4,0.6,4,0.6,0
1,random_forest,data/example_unweighted.json,data,2,heuristic,10,10,0.0,10,0.0,0
1,random_forest,data/example_unweighted.json,data,2,offline_teacher,10,10,0.0,10,0.0,0
1,random_forest,data/example_unweighted.json,data,3,heuristic,10,5,0.5,6,0.4,-1
1,random_forest,data/example_unweighted.json,data,3,offline_teacher,10,6,0.4,6,0.4,0
1,random_forest,data/example_unweighted.json,data,4,heuristic,10,4,0.6,4,0.6,0
1,random_forest,data/example_unweighted.json,data,4,offline_teacher,10,4,0.6,4,0.6,0
1,random_forest,data/example_unweighted.json,data,5,heuristic,10,4,0.6,4,0.6,0
1,random_forest,data/example_unweighted.json,data,5,offline_teacher,10,4,0.6,4,0.6,0
3,random_forest,data/example_atlas_v1.json,data,2,heuristic,10,8,0.2,10,0.0,-2
3,random_forest,data/example_atlas_v1.json,data,2,offline_teacher,10,8,0.2,10,0.0,-2
3,random_forest,data/example_atlas_v1.json,data,3,heuristic,10,6,0.4,9,0.1,-3
3,random_forest,data/example_atlas_v1.json,data,3,offline_teacher,10,6,0.4,9,0.1,-3
3,random_forest,data/example_atlas_v1.json,data,4,heuristic,10,5,0.5,6,0.4,-1
3,random_forest,data/example_atlas_v1.json,data,4,offline_teacher,10,5,0.5,6,0.4,-1
3,random_forest,data/example_atlas_v1.json,data,5,heuristic,10,5,0.5,5,0.5,0
3,random_forest,data/example_atlas_v1.json,data,5,offline_teacher,10,5,0.5,5,0.5,0
