seed,model_family,trace,family,capacity,heuristic_policy_misses,offline_teacher_policy_misses,delta_misses_teacher_minus_heuristic,winner
0,random_forest,data/example.json,data,2,10,10,0,tie
0,random_forest,data/example.json,data,3,5,5,0,tie
0,random_forest,data/example.json,data,4,4,4,0,tie
0,random_forest,data/example.json,data,5,4,4,0,tie
0,random_forest,data/example_unweighted.json,data,2,10,10,0,tie
0,random_forest,data/example_unweighted.json,data,3,5,5,0,tie
0,random_forest,data/example_unweighted.json,data,4,4,4,0,tie
0,random_forest,data/example_unweighted.json,data,5,4,4,0,tie
1,random_forest,data/example.json,data,2,10,10,0,tie
1,random_forest,data/example.json,data,3,5,6,1,heuristic
1,random_forest,data/example.json,data,4,4,4,0,tie
1,random_forest,data/example.json,data,5,4,4,0,tie
1,random_forest,data/example_unweighted.json,data,2,10,10,0,tie
1,random_forest,data/example_unweighted.json,data,3,5,6,1,heuristic
1,random_forest,data/example_unweighted.json,data,4,4,4,0,tie
1,random_forest,data/example_unweighted.json,data,5,4,4,0,tie
3,random_forest,data/example_atlas_v1.json,data,2,8,8,0,tie
3,random_forest,data/example_atlas_v1.json,data,3,6,6,0,tie
3,random_forest,data/example_atlas_v1.json,data,4,5,5,0,tie
3,random_forest,data/example_atlas_v1.json,data,5,5,5,0,tie
