seed,split,trace,trace_family,capacity,policy,selected_threshold,misses,hits,hit_rate,evictions,trigger_count,trigger_frequency,victim_reuse_rate_overall,victim_reuse_rate_triggered,victim_reuse_rate_nontriggered
0,test,data/example.json,data,2,pointwise,0.0,10,0,0.0,8,0,0.0,0.75,0.0,0.75
0,test,data/example.json,data,2,hybrid,0.0,10,0,0.0,8,0,0.0,0.75,0.0,0.75
0,test,data/example.json,data,2,lru,0.0,10,0,0.0,8,8,1.0,0.75,0.75,0.0
0,test,data/example.json,data,3,pointwise,0.0,6,4,0.4,3,0,0.0,0.6666666666666666,0.0,0.6666666666666666
0,test,data/example.json,data,3,hybrid,0.0,6,4,0.4,3,0,0.0,0.6666666666666666,0.0,0.6666666666666666
0,test,data/example.json,data,3,lru,0.0,6,4,0.4,3,3,1.0,0.6666666666666666,0.6666666666666666,0.0
0,test,data/example.json,data,4,pointwise,0.0,4,6,0.6,0,0,0.0,0.0,0.0,0.0
0,test,data/example.json,data,4,hybrid,0.0,4,6,0.6,0,0,0.0,0.0,0.0,0.0
0,test,data/example.json,data,4,lru,0.0,4,6,0.6,0,0,0.0,0.0,0.0,0.0
0,test,data/example_unweighted.json,data,2,pointwise,0.0,10,0,0.0,8,0,0.0,0.75,0.0,0.75
0,test,data/example_unweighted.json,data,2,hybrid,0.0,10,0,0.0,8,0,0.0,0.75,0.0,0.75
0,test,data/example_unweighted.json,data,2,lru,0.0,10,0,0.0,8,8,1.0,0.75,0.75,0.0
0,test,data/example_unweighted.json,data,3,pointwise,0.0,6,4,0.4,3,0,0.0,0.6666666666666666,0.0,0.6666666666666666
0,test,data/example_unweighted.json,data,3,hybrid,0.0,6,4,0.4,3,0,0.0,0.6666666666666666,0.0,0.6666666666666666
0,test,data/example_unweighted.json,data,3,lru,0.0,6,4,0.4,3,3,1.0,0.6666666666666666,0.6666666666666666,0.0
0,test,data/example_unweighted.json,data,4,pointwise,0.0,4,6,0.6,0,0,0.0,0.0,0.0,0.0
0,test,data/example_unweighted.json,data,4,hybrid,0.0,4,6,0.6,0,0,0.0,0.0,0.0,0.0
0,test,data/example_unweighted.json,data,4,lru,0.0,4,6,0.6,0,0,0.0,0.0,0.0,0.0
1,test,data/example.json,data,2,pointwise,0.0,10,0,0.0,8,0,0.0,0.75,0.0,0.75
1,test,data/example.json,data,2,hybrid,0.0,10,0,0.0,8,0,0.0,0.75,0.0,0.75
1,test,data/example.json,data,2,lru,0.0,10,0,0.0,8,8,1.0,0.75,0.75,0.0
1,test,data/example.json,data,3,pointwise,0.0,6,4,0.4,3,0,0.0,0.6666666666666666,0.0,0.6666666666666666
1,test,data/example.json,data,3,hybrid,0.0,6,4,0.4,3,0,0.0,0.6666666666666666,0.0,0.6666666666666666
1,test,data/example.json,data,3,lru,0.0,6,4,0.4,3,3,1.0,0.6666666666666666,0.6666666666666666,0.0
1,test,data/example.json,data,4,pointwise,0.0,4,6,0.6,0,0,0.0,0.0,0.0,0.0
1,test,data/example.json,data,4,hybrid,0.0,4,6,0.6,0,0,0.0,0.0,0.0,0.0
1,test,data/example.json,data,4,lru,0.0,4,6,0.6,0,0,0.0,0.0,0.0,0.0
1,test,data/example_unweighted.json,data,2,pointwise,0.0,10,0,0.0,8,0,0.0,0.75,0.0,0.75
1,test,data/example_unweighted.json,data,2,hybrid,0.0,10,0,0.0,8,0,0.0,0.75,0.0,0.75
1,test,data/example_unweighted.json,data,2,lru,0.0,10,0,0.0,8,8,1.0,0.75,0.75,0.0
1,test,data/example_unweighted.json,data,3,pointwise,0.0,6,4,0.4,3,0,0.0,0.6666666666666666,0.0,0.6666666666666666
1,test,data/example_unweighted.json,data,3,hybrid,0.0,6,4,0.4,3,0,0.0,0.6666666666666666,0.0,0.6666666666666666
1,test,data/example_unweighted.json,data,3,lru,0.0,6,4,0.4,3,3,1.0,0.6666666666666666,0.6666666666666666,0.0
1,test,data/example_unweighted.json,data,4,pointwise,0.0,4,6,0.6,0,0,0.0,0.0,0.0,0.0
1,test,data/example_unweighted.json,data,4,hybrid,0.0,4,6,0.6,0,0,0.0,0.0,0.0,0.0
1,test,data/example_unweighted.json,data,4,lru,0.0,4,6,0.6,0,0,0.0,0.0,0.0,0.0
2,test,data/example.json,data,2,pointwise,0.0,10,0,0.0,8,0,0.0,0.75,0.0,0.75
2,test,data/example.json,data,2,hybrid,0.0,10,0,0.0,8,0,0.0,0.75,0.0,0.75
2,test,data/example.json,data,2,lru,0.0,10,0,0.0,8,8,1.0,0.75,0.75,0.0
2,test,data/example.json,data,3,pointwise,0.0,6,4,0.4,3,0,0.0,0.6666666666666666,0.0,0.6666666666666666
2,test,data/example.json,data,3,hybrid,0.0,6,4,0.4,3,0,0.0,0.6666666666666666,0.0,0.6666666666666666
2,test,data/example.json,data,3,lru,0.0,6,4,0.4,3,3,1.0,0.6666666666666666,0.6666666666666666,0.0
2,test,data/example.json,data,4,pointwise,0.0,4,6,0.6,0,0,0.0,0.0,0.0,0.0
2,test,data/example.json,data,4,hybrid,0.0,4,6,0.6,0,0,0.0,0.0,0.0,0.0
2,test,data/example.json,data,4,lru,0.0,4,6,0.6,0,0,0.0,0.0,0.0,0.0
2,test,data/example_atlas_v1.json,data,2,pointwise,0.0,10,0,0.0,8,0,0.0,0.625,0.0,0.625
2,test,data/example_atlas_v1.json,data,2,hybrid,0.0,10,0,0.0,8,0,0.0,0.625,0.0,0.625
2,test,data/example_atlas_v1.json,data,2,lru,0.0,10,0,0.0,8,8,1.0,0.625,0.625,0.0
2,test,data/example_atlas_v1.json,data,3,pointwise,0.0,8,2,0.2,5,0,0.0,0.6,0.0,0.6
2,test,data/example_atlas_v1.json,data,3,hybrid,0.0,8,2,0.2,5,0,0.0,0.6,0.0,0.6
2,test,data/example_atlas_v1.json,data,3,lru,0.0,9,1,0.1,6,6,1.0,0.6666666666666666,0.6666666666666666,0.0
2,test,data/example_atlas_v1.json,data,4,pointwise,0.0,7,3,0.3,3,0,0.0,0.6666666666666666,0.0,0.6666666666666666
2,test,data/example_atlas_v1.json,data,4,hybrid,0.0,7,3,0.3,3,0,0.0,0.6666666666666666,0.0,0.6666666666666666
2,test,data/example_atlas_v1.json,data,4,lru,0.0,6,4,0.4,2,2,1.0,0.5,0.5,0.0
