seed,threshold,val_total_misses,val_trigger_frequency,val_workloads
0,0.0,35,0.0,6
0,0.03,35,0.0,6
0,0.08,35,0.0,6
1,0.0,35,0.0,6
1,0.03,35,0.0,6
1,0.08,35,0.0,6
2,0.0,45,0.0,6
2,0.03,45,0.0,6
2,0.08,45,0.0,6
