trace,capacity,t,predictor_victim,lru_victim,pred_next_delta,lru_next_delta,pred_penalty_h,lru_penalty_h,y,request_bucket,request_confidence,predictor_bucket,predictor_confidence,predictor_score,lru_score,score_gap_pred_minus_lru,predictor_lru_disagree,predictor_recency_rank,lru_recency_rank,bucket_gap_pred_minus_lru,confidence_gap_pred_minus_lru,cache_unique_bucket_count,cache_bucket_mean,cache_bucket_std,recent_regret_rate,recent_disagree_rate
data/example_unweighted.json,2,2,A,A,1,1,1,1,0,0.0,0.5,0.0,0.5,0.5,1.0,-0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
data/example_unweighted.json,2,5,A,A,1,1,1,1,0,0.0,0.5,0.0,0.5,0.5,1.0,-0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
data/example_unweighted.json,2,6,B,B,2,2,1,1,0,0.0,0.5,0.0,0.5,0.5,1.0,-0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
data/example_unweighted.json,2,7,D,D,inf,inf,0,0,0,0.0,0.5,0.0,0.5,0.5,1.0,-0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
data/example_unweighted.json,3,5,C,C,2,2,1,1,0,0.0,0.5,0.0,0.5,0.5,1.0,-0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
data/example_unweighted.json,3,7,B,B,1,1,1,1,0,0.0,0.5,0.0,0.5,0.5,1.0,-0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
data/example_unweighted.json,3,8,D,D,inf,inf,0,0,0,0.0,0.5,0.0,0.5,0.5,1.0,-0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
data/example_atlas_v1.json,2,5,D,A,inf,2,0,1,1,2.0,0.5,3.0,0.6,1.0,1.0,0.0,1.0,1.0,0.0,3.0,-0.30000000000000004,2.0,1.5,1.5,0.5,0.5
data/example_atlas_v1.json,2,6,B,A,3,1,1,1,0,3.0,0.4,2.0,0.5,1.0,1.0,0.0,1.0,1.0,0.0,2.0,-0.4,2.0,1.0,1.0,0.3333333333333333,0.6666666666666666
data/example_atlas_v1.json,2,8,E,E,inf,inf,0,0,0,2.0,0.6,3.0,0.4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.5,0.75
data/example_atlas_v1.json,3,6,D,A,inf,1,0,1,1,3.0,0.4,3.0,0.6,1.0,1.0,0.0,1.0,1.0,0.0,3.0,-0.30000000000000004,3.0,1.6666666666666667,1.247219128924647,1.0,1.0
data/example_atlas_v1.json,3,8,E,B,inf,1,0,1,1,2.0,0.6,3.0,0.4,1.0,1.0,0.0,1.0,1.0,0.0,1.0,-0.09999999999999998,3.0,2.0,0.816496580927726,0.5,1.0
data/example_atlas_v1.json,4,6,C,C,2,2,1,1,0,3.0,0.4,3.0,0.8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.224744871391589,0.0,0.0
