trace_name,trace_family,path,capacity,policy,misses,hit_rate
brightkite_50k,brightkite,data/processed/brightkite/trace.jsonl,64,lru,16543,0.66914
brightkite_50k,brightkite,data/processed/brightkite/trace.jsonl,64,sieve,16865,0.6627
brightkite_50k,brightkite,data/processed/brightkite/trace.jsonl,64,fifo_reinsertion,16577,0.66846
brightkite_50k,brightkite,data/processed/brightkite/trace.jsonl,64,predictive_marker,16800,0.664
brightkite_50k,brightkite,data/processed/brightkite/trace.jsonl,64,blind_oracle_lru_combiner,16544,0.66912
brightkite_50k,brightkite,data/processed/brightkite/trace.jsonl,64,trust_and_doubt,17219,0.65562
brightkite_50k,brightkite,data/processed/brightkite/trace.jsonl,64,rest_v1,16543,0.66914
brightkite_50k,brightkite,data/processed/brightkite/trace.jsonl,64,evict_value_v1,18316,0.63368
citibike_202401_50k,citibike,data/processed/citibike/trace.jsonl,64,lru,18964,0.62072
citibike_202401_50k,citibike,data/processed/citibike/trace.jsonl,64,sieve,19456,0.61088
citibike_202401_50k,citibike,data/processed/citibike/trace.jsonl,64,fifo_reinsertion,18864,0.62272
citibike_202401_50k,citibike,data/processed/citibike/trace.jsonl,64,predictive_marker,19025,0.6195
citibike_202401_50k,citibike,data/processed/citibike/trace.jsonl,64,blind_oracle_lru_combiner,18965,0.6207
citibike_202401_50k,citibike,data/processed/citibike/trace.jsonl,64,trust_and_doubt,19379,0.61242
citibike_202401_50k,citibike,data/processed/citibike/trace.jsonl,64,rest_v1,18964,0.62072
citibike_202401_50k,citibike,data/processed/citibike/trace.jsonl,64,evict_value_v1,19855,0.6029
wiki2018_pageviews_en_50k,wiki2018,data/processed/wiki2018/trace.jsonl,64,lru,50000,0.0
wiki2018_pageviews_en_50k,wiki2018,data/processed/wiki2018/trace.jsonl,64,sieve,50000,0.0
wiki2018_pageviews_en_50k,wiki2018,data/processed/wiki2018/trace.jsonl,64,fifo_reinsertion,50000,0.0
wiki2018_pageviews_en_50k,wiki2018,data/processed/wiki2018/trace.jsonl,64,predictive_marker,50000,0.0
wiki2018_pageviews_en_50k,wiki2018,data/processed/wiki2018/trace.jsonl,64,blind_oracle_lru_combiner,50000,0.0
wiki2018_pageviews_en_50k,wiki2018,data/processed/wiki2018/trace.jsonl,64,trust_and_doubt,50000,0.0
wiki2018_pageviews_en_50k,wiki2018,data/processed/wiki2018/trace.jsonl,64,rest_v1,50000,0.0
wiki2018_pageviews_en_50k,wiki2018,data/processed/wiki2018/trace.jsonl,64,evict_value_v1,50000,0.0
twemcache_cluster26_sample100_50k,twemcache,data/processed/twemcache/trace.jsonl,64,lru,34812,0.30376
twemcache_cluster26_sample100_50k,twemcache,data/processed/twemcache/trace.jsonl,64,sieve,38823,0.22354
twemcache_cluster26_sample100_50k,twemcache,data/processed/twemcache/trace.jsonl,64,fifo_reinsertion,35138,0.29724
twemcache_cluster26_sample100_50k,twemcache,data/processed/twemcache/trace.jsonl,64,predictive_marker,35024,0.29952
twemcache_cluster26_sample100_50k,twemcache,data/processed/twemcache/trace.jsonl,64,blind_oracle_lru_combiner,34814,0.30372
twemcache_cluster26_sample100_50k,twemcache,data/processed/twemcache/trace.jsonl,64,trust_and_doubt,35655,0.2869
twemcache_cluster26_sample100_50k,twemcache,data/processed/twemcache/trace.jsonl,64,rest_v1,34812,0.30376
twemcache_cluster26_sample100_50k,twemcache,data/processed/twemcache/trace.jsonl,64,evict_value_v1,35912,0.28176
metakv_kvcache_202206_head_50k,metakv,data/processed/metakv/trace.jsonl,64,lru,38041,0.23918
metakv_kvcache_202206_head_50k,metakv,data/processed/metakv/trace.jsonl,64,sieve,38037,0.23926
metakv_kvcache_202206_head_50k,metakv,data/processed/metakv/trace.jsonl,64,fifo_reinsertion,38036,0.23928
metakv_kvcache_202206_head_50k,metakv,data/processed/metakv/trace.jsonl,64,predictive_marker,38047,0.23906
metakv_kvcache_202206_head_50k,metakv,data/processed/metakv/trace.jsonl,64,blind_oracle_lru_combiner,38042,0.23916
metakv_kvcache_202206_head_50k,metakv,data/processed/metakv/trace.jsonl,64,trust_and_doubt,38081,0.23838
metakv_kvcache_202206_head_50k,metakv,data/processed/metakv/trace.jsonl,64,rest_v1,38041,0.23918
metakv_kvcache_202206_head_50k,metakv,data/processed/metakv/trace.jsonl,64,evict_value_v1,38044,0.23912
metacdn_cdn_202303_head_50k,metacdn,data/processed/metacdn/trace.jsonl,64,lru,28616,0.42768
metacdn_cdn_202303_head_50k,metacdn,data/processed/metacdn/trace.jsonl,64,sieve,28737,0.42526
metacdn_cdn_202303_head_50k,metacdn,data/processed/metacdn/trace.jsonl,64,fifo_reinsertion,28590,0.4282
metacdn_cdn_202303_head_50k,metacdn,data/processed/metacdn/trace.jsonl,64,predictive_marker,28649,0.42702
