split,model_family,label_variant,label_noise,decision_count,pairwise_accuracy,top1_reconstruction,mean_chosen_regret,mean_regret_vs_best
train,histgb,regret_diff,0.0,8956.0,0.8661174506693172,0.00011165698972755694,0.9967619472979008,0.9967619472979008
val,histgb,regret_diff,0.0,8974.0,0.7904710026509787,0.001337196344996657,0.9624470693113438,0.9624470693113438
