job_label,instance_id,mode,ranking_mode,k,trace_len,trace,lemma,chain_id,phase,damage_D,I_size,lemma1_chain_monotone,lemma2_head_bound,head_victim_e1,head_stale_set,I_set,a_values
campaign_r1_task13_random,14824,random,adv_bias,5,63,"p1,p0,p1,p7,p1,p4,p1,p1,p1,p7,p7,p8,p7,p5,p7,p1,p6,p8,p0,p7,p2,p8,p5,p1,p4,p3,p5,p4,p4,p8,p8,p5,p5,p5,p0,p4,p5,p5,p7,p4,p5,p6,p0,p4,p3,p1,p5,p0,p8,p3,p1,p0,p0,p5,p7,p8,p7,p5,p7,p0,p6,p5,p3",lemma1_chain_monotone,ph6_c1,6,2,0,False,False,p1,"p1,p2,p4",,"1000000000000,1000000000000"
campaign_r1_task13_random,14824,random,adv_bias,5,63,"p1,p0,p1,p7,p1,p4,p1,p1,p1,p7,p7,p8,p7,p5,p7,p1,p6,p8,p0,p7,p2,p8,p5,p1,p4,p3,p5,p4,p4,p8,p8,p5,p5,p5,p0,p4,p5,p5,p7,p4,p5,p6,p0,p4,p3,p1,p5,p0,p8,p3,p1,p0,p0,p5,p7,p8,p7,p5,p7,p0,p6,p5,p3",lemma2_head_bound,ph6_c1,6,2,0,False,False,p1,"p1,p2,p4",,"1000000000000,1000000000000"
campaign_r1_task13_random,14831,random,noisy,5,81,"p7,p7,p2,p2,p7,p7,p7,p7,p2,p2,p7,p2,p2,p2,p4,p4,p4,p2,p7,p4,p4,p2,p4,p4,p5,p7,p4,p0,p4,p4,p2,p4,p1,p5,p4,p6,p4,p0,p0,p0,p0,p6,p5,p1,p0,p4,p0,p0,p0,p0,p0,p0,p1,p0,p3,p0,p0,p0,p0,p0,p0,p0,p3,p3,p0,p0,p0,p0,p3,p2,p3,p0,p3,p3,p3,p7,p2,p0,p3,p0,p3",lemma1_chain_monotone,ph2_c0,2,2,0,False,False,p4,"p1,p4,p5",,"1000000000000,1000000000000"
campaign_r1_task13_random,14831,random,noisy,5,81,"p7,p7,p2,p2,p7,p7,p7,p7,p2,p2,p7,p2,p2,p2,p4,p4,p4,p2,p7,p4,p4,p2,p4,p4,p5,p7,p4,p0,p4,p4,p2,p4,p1,p5,p4,p6,p4,p0,p0,p0,p0,p6,p5,p1,p0,p4,p0,p0,p0,p0,p0,p0,p1,p0,p3,p0,p0,p0,p0,p0,p0,p0,p3,p3,p0,p0,p0,p0,p3,p2,p3,p0,p3,p3,p3,p7,p2,p0,p3,p0,p3",lemma2_head_bound,ph2_c0,2,2,0,False,False,p4,"p1,p4,p5",,"1000000000000,1000000000000"
campaign_r1_task13_random,14834,random,adv_bias,2,38,"p2,p1,p3,p0,p1,p1,p1,p0,p5,p0,p0,p1,p5,p3,p0,p2,p0,p3,p3,p3,p3,p3,p2,p1,p5,p1,p5,p1,p1,p1,p1,p1,p1,p1,p1,p1,p0,p1",lemma2_head_bound,ph7_c0,7,2,0,True,False,p5,p5,,"7,14"
campaign_r1_task13_random,14838,random,adv_bias,6,115,"p2,p2,p7,p2,p2,p1,p2,p0,p2,p7,p2,p2,p7,p7,p7,p2,p7,p1,p2,p2,p2,p7,p2,p2,p7,p2,p2,p2,p2,p2,p2,p2,p2,p2,p2,p3,p2,p2,p2,p2,p2,p1,p7,p2,p4,p2,p1,p2,p7,p0,p0,p2,p3,p7,p0,p2,p0,p2,p5,p2,p2,p7,p2,p1,p2,p2,p0,p5,p2,p5,p2,p5,p5,p5,p5,p2,p10,p2,p5,p2,p5,p5,p2,p8,p8,p5,p13,p5,p5,p8,p5,p2,p5,p2,p5,p5,p5,p2,p2,p5,p5,p5,p2,p5,p2,p7,p5,p2,p3,p5,p5,p7,p5,p5,p5",lemma1_chain_monotone,ph2_c2,2,2,0,False,False,p4,"p1,p10,p4",,"1000000000000,1000000000000"
campaign_r1_task13_random,14838,random,adv_bias,6,115,"p2,p2,p7,p2,p2,p1,p2,p0,p2,p7,p2,p2,p7,p7,p7,p2,p7,p1,p2,p2,p2,p7,p2,p2,p7,p2,p2,p2,p2,p2,p2,p2,p2,p2,p2,p3,p2,p2,p2,p2,p2,p1,p7,p2,p4,p2,p1,p2,p7,p0,p0,p2,p3,p7,p0,p2,p0,p2,p5,p2,p2,p7,p2,p1,p2,p2,p0,p5,p2,p5,p2,p5,p5,p5,p5,p2,p10,p2,p5,p2,p5,p5,p2,p8,p8,p5,p13,p5,p5,p8,p5,p2,p5,p2,p5,p5,p5,p2,p2,p5,p5,p5,p2,p5,p2,p7,p5,p2,p3,p5,p5,p7,p5,p5,p5",lemma2_head_bound,ph2_c2,2,2,0,False,False,p4,"p1,p10,p4",,"1000000000000,1000000000000"
campaign_r1_task13_random,14848,random,adv_bias,5,48,"p2,p2,p2,p4,p2,p4,p4,p0,p5,p5,p5,p1,p0,p5,p0,p2,p4,p0,p3,p5,p0,p0,p4,p1,p1,p0,p1,p0,p1,p4,p5,p4,p4,p4,p4,p5,p1,p4,p4,p4,p5,p0,p5,p4,p4,p5,p4,p0",lemma1_chain_monotone,ph1_c0,1,3,3,False,True,p0,"p0,p1,p2,p4","p1,p2,p4","1,2,1"
campaign_r1_task13_random,14850,random,adv_bias,2,35,"p1,p1,p1,p1,p1,p0,p3,p3,p3,p1,p2,p1,p1,p2,p2,p0,p0,p3,p0,p0,p1,p0,p2,p2,p2,p1,p1,p2,p0,p3,p2,p2,p2,p2,p3",lemma1_chain_monotone,ph5_c0,5,2,0,False,False,p3,p3,,"7,3"
campaign_r1_task13_random,14850,random,adv_bias,2,35,"p1,p1,p1,p1,p1,p0,p3,p3,p3,p1,p2,p1,p1,p2,p2,p0,p0,p3,p0,p0,p1,p0,p2,p2,p2,p1,p1,p2,p0,p3,p2,p2,p2,p2,p3",lemma2_head_bound,ph5_c0,5,2,0,False,False,p3,p3,,"7,3"
