baseline,primary_mean_miss_ratio,primary_median_miss_ratio,primary_total_misses,integrity,classification,sha256
LRB,0.687734523810,0.703550000000,577697,PASS,LOCAL_EXACT_PROTOCOL_VALIDATED,1972f359c2419d5470fe9c897ba74cd7a17ac8b48574734257e259e1c76410fa
3L-Cache,0.692626190476,0.745150000000,581806,PASS,LOCAL_EXACT_PROTOCOL_VALIDATED_WITH_CAVEAT,9f666aadc036eac8abc690a3028f63bc889c7892705bb713a0c1846c8a2f46a6
CACHEUS,0.675600000000,0.713200000000,567504,PASS,LOCAL_EXACT_PROTOCOL_VALIDATED_WITH_PROVENANCE_CAVEAT,dc0c501002713a1ed1005e764b28b72f207c02a9cc40fe7b2d36db0c6fc50645
