trace,family,capacity,policy,misses,hit_rate
data/example_general_caching.json,general,2,evict_value_v1,4,0.42857142857142855
data/example_general_caching.json,general,2,evict_value_pairwise_v1,4,0.42857142857142855
data/example_general_caching.json,general,2,pairwise_unguarded,4,0.42857142857142855
data/example_general_caching.json,general,2,pairwise_lru_blackbox_combiner,3,0.5714285714285714
data/example_general_caching.json,general,2,predictive_marker,4,0.42857142857142855
data/example_general_caching.json,general,2,trust_and_doubt,4,0.42857142857142855
data/example_general_caching.json,general,2,rest_v1,4,0.42857142857142855
data/example_general_caching.json,general,2,lru,4,0.42857142857142855
data/example_general_caching.json,general,2,pairwise_shortlist_lru_m2,4,0.42857142857142855
data/example_general_caching.json,general,2,pairwise_shortlist_lru_m4,4,0.42857142857142855
data/example_general_caching.json,general,2,pairwise_shortlist_lru_m8,4,0.42857142857142855
data/example_general_caching.json,general,2,pairwise_shortlist_lru_mfull,4,0.42857142857142855
data/example_general_caching.json,general,2,pairwise_guard_wrapper_lru,4,0.42857142857142855
data/example_general_caching.json,general,3,evict_value_v1,3,0.5714285714285714
data/example_general_caching.json,general,3,evict_value_pairwise_v1,3,0.5714285714285714
data/example_general_caching.json,general,3,pairwise_unguarded,3,0.5714285714285714
data/example_general_caching.json,general,3,pairwise_lru_blackbox_combiner,3,0.5714285714285714
data/example_general_caching.json,general,3,predictive_marker,3,0.5714285714285714
data/example_general_caching.json,general,3,trust_and_doubt,3,0.5714285714285714
data/example_general_caching.json,general,3,rest_v1,3,0.5714285714285714
data/example_general_caching.json,general,3,lru,3,0.5714285714285714
data/example_general_caching.json,general,3,pairwise_shortlist_lru_m2,3,0.5714285714285714
data/example_general_caching.json,general,3,pairwise_shortlist_lru_m4,3,0.5714285714285714
data/example_general_caching.json,general,3,pairwise_shortlist_lru_m8,3,0.5714285714285714
data/example_general_caching.json,general,3,pairwise_shortlist_lru_mfull,3,0.5714285714285714
data/example_general_caching.json,general,3,pairwise_guard_wrapper_lru,3,0.5714285714285714
data/example_general_caching.json,general,4,evict_value_v1,3,0.5714285714285714
data/example_general_caching.json,general,4,evict_value_pairwise_v1,3,0.5714285714285714
data/example_general_caching.json,general,4,pairwise_unguarded,3,0.5714285714285714
data/example_general_caching.json,general,4,pairwise_lru_blackbox_combiner,3,0.5714285714285714
data/example_general_caching.json,general,4,predictive_marker,3,0.5714285714285714
data/example_general_caching.json,general,4,trust_and_doubt,3,0.5714285714285714
data/example_general_caching.json,general,4,rest_v1,3,0.5714285714285714
data/example_general_caching.json,general,4,lru,3,0.5714285714285714
data/example_general_caching.json,general,4,pairwise_shortlist_lru_m2,3,0.5714285714285714
data/example_general_caching.json,general,4,pairwise_shortlist_lru_m4,3,0.5714285714285714
data/example_general_caching.json,general,4,pairwise_shortlist_lru_m8,3,0.5714285714285714
data/example_general_caching.json,general,4,pairwise_shortlist_lru_mfull,3,0.5714285714285714
data/example_general_caching.json,general,4,pairwise_guard_wrapper_lru,3,0.5714285714285714
