family,cells,scalar_miss_ratio_mean,pairwise_miss_ratio_mean,pairwise_minus_scalar_mean,scalar_better_cells,ties,pairwise_better_cells
brightkite,3,0.4036666666666667,0.6320666666666667,0.22840000000000002,3,0,0
citibike,3,0.41034166666666666,0.828825,0.4184833333333333,3,0,0
cloudphysics,3,0.9871833333333333,0.9997083333333334,0.012525000000000008,3,0,0
metacdn,3,0.6492583333333334,0.8593166666666666,0.21005833333333326,3,0,0
metakv,3,0.7686999999999999,0.8201999999999999,0.05149999999999999,3,0,0
twemcache,3,0.7406583333333333,0.947075,0.2064166666666667,3,0,0
wiki2018,3,1.0,1.0,0.0,0,3,0
