family,capacity,c0_misses,c0_miss_ratio,c1_misses,c1_miss_ratio,c2_misses,c2_miss_ratio,c1_minus_c0,c2_minus_c1,c2_minus_c0,label_agreement
brightkite,32,14426,0.360650,15469,0.386725,25201,0.630025,0.026075,0.243300,0.269375,0.9817444444444444
brightkite,64,13225,0.330625,15449,0.386225,14811,0.370275,0.055600,-0.015950,0.039650,0.9911055555555556
brightkite,128,12397,0.309925,15698,0.392450,13847,0.346175,0.082525,-0.046275,0.036250,0.9906666666666667
citibike,32,16603,0.415075,17358,0.433950,17113,0.427825,0.018875,-0.006125,0.012750,0.9475
citibike,64,15709,0.392725,15734,0.393350,15961,0.399025,0.000625,0.005675,0.006300,0.9966944444444444
citibike,128,14217,0.355425,14217,0.355425,15494,0.387350,0.000000,0.031925,0.031925,1.0
cloudphysics,32,39442,0.986050,39740,0.993500,39675,0.991875,0.007450,-0.001625,0.005825,0.9598388888888889
cloudphysics,64,38880,0.972000,39459,0.986475,39371,0.984275,0.014475,-0.002200,0.012275,0.9370944444444445
cloudphysics,128,38237,0.955925,38973,0.974325,37802,0.945050,0.018400,-0.029275,-0.010875,0.9202388888888889
metacdn,32,23207,0.580175,31849,0.796225,27521,0.688025,0.216050,-0.108200,0.107850,0.9144611111111111
metacdn,64,22586,0.564650,31469,0.786725,23251,0.581275,0.222075,-0.205450,0.016625,0.9686111111111111
metacdn,128,21952,0.548800,23097,0.577425,22570,0.564250,0.028625,-0.013175,0.015450,0.9936166666666667
metakv,32,30569,0.764225,30568,0.764200,30711,0.767775,-0.000025,0.003575,0.003550,0.9894555555555555
metakv,64,30552,0.763800,30654,0.766350,30560,0.764000,0.002550,-0.002350,0.000200,0.9219666666666667
metakv,128,30539,0.763475,30539,0.763475,30526,0.763150,0.000000,-0.000325,-0.000325,0.9616444444444444
twemcache,32,30022,0.750550,34013,0.850325,30956,0.773900,0.099775,-0.076425,0.023350,0.9356166666666667
twemcache,64,27650,0.691250,29798,0.744950,28771,0.719275,0.053700,-0.025675,0.028025,0.9773333333333334
twemcache,128,24913,0.622825,27485,0.687125,28829,0.720725,0.064300,0.033600,0.097900,0.9881111111111112
wiki2018,32,40000,1.000000,40000,1.000000,40000,1.000000,0.000000,0.000000,0.000000,0.9955277777777778
wiki2018,64,40000,1.000000,40000,1.000000,40000,1.000000,0.000000,0.000000,0.000000,0.9730611111111112
wiki2018,128,40000,1.000000,40000,1.000000,40000,1.000000,0.000000,0.000000,0.000000,0.9932222222222222
