family,capacity,off_misses,off_miss_ratio,dagger_misses,dagger_miss_ratio,dagger_minus_off_miss_ratio,off_state_shift_index,dagger_state_shift_index,state_shift_delta,fraction_decisions_diverged,mean_cache_set_jaccard_similarity
brightkite,32,15895,0.397375,16949,0.423725,0.026350,0.001176,0.000953,-0.000223,0.995861,0.02453
brightkite,64,15761,0.394025,16824,0.420600,0.026575,0.000766,0.000724,-0.000042,0.997224,0.149624
brightkite,128,15895,0.397375,16940,0.423500,0.026125,0.000545,0.000539,-0.000006,0.997584,0.4369
citibike,32,17503,0.437575,17477,0.436925,-0.000650,0.000769,0.000696,-0.000073,0.953078,0.614697
citibike,64,16108,0.402700,16157,0.403925,0.001225,0.000698,0.000665,-0.000033,0.978695,0.390524
citibike,128,15551,0.388775,15593,0.389825,0.001050,0.000437,0.000487,0.000050,0.966943,0.378857
cloudphysics,32,39742,0.993550,39744,0.993600,0.000050,0.000982,0.000735,-0.000247,0.98634,0.358096
cloudphysics,64,39381,0.984525,39382,0.984550,0.000025,0.000807,0.000762,-0.000045,0.923279,0.810356
cloudphysics,128,39251,0.981275,39219,0.980475,-0.000800,0.000516,0.000532,0.000016,0.987207,0.435195
metacdn,32,29219,0.730475,29766,0.744150,0.013675,0.000664,0.000462,-0.000202,0.971517,0.04224
metacdn,64,23756,0.593900,25596,0.639900,0.046000,0.000553,0.000483,-0.000070,0.995171,0.032768
metacdn,128,23213,0.580325,24547,0.613675,0.033350,0.000425,0.000417,-0.000008,0.998397,0.335819
metakv,32,30568,0.764200,30865,0.771625,0.007425,0.000979,0.000746,-0.000233,0.998581,0.029469
metakv,64,30549,0.763725,30732,0.768300,0.004575,0.000536,0.000459,-0.000077,0.996472,0.116503
metakv,128,30526,0.763150,30631,0.765775,0.002625,0.000352,0.000387,0.000035,0.995668,0.316245
twemcache,32,31096,0.777400,31125,0.778125,0.000725,0.001039,0.000754,-0.000285,0.996419,0.206664
twemcache,64,28792,0.719800,29027,0.725675,0.005875,0.000564,0.000531,-0.000033,0.998533,0.109534
twemcache,128,28798,0.719950,28963,0.724075,0.004125,0.000351,0.000429,0.000078,0.996618,0.236771
wiki2018,32,40000,1.000000,40000,1.000000,0.000000,0.000945,0.000661,-0.000284,0.866495,0.447328
wiki2018,64,40000,1.000000,40000,1.000000,0.000000,0.000819,0.000749,-0.000070,0.0,1.0
wiki2018,128,40000,1.000000,40000,1.000000,0.000000,0.000602,0.000613,0.000011,0.0,1.0
