baseline,W,T,L
atlas_v3,0,1,2
blind_oracle,2,1,0
evict_value_v1,0,1,2
evict_value_v1_guarded,0,1,2
lru,0,1,2
predictive_marker,2,1,0
rest_v1,0,1,2
robust_ftp_d_marker,2,1,0
trust_and_doubt,2,1,0
