trace,trace_kind,requests,capacity,policy,misses,hits,hit_rate,scorer_mode,rel_improvement_vs_lru,rank,regret_vs_best,normalized_gap_to_best
file::example_unweighted,repo_example,10,3,lru,6,4,0.4,,0.0,4.0,1.0,0.2
file::example_unweighted,repo_example,10,3,blind_oracle,5,5,0.5,,0.16666666666666666,1.0,0.0,0.0
file::example_unweighted,repo_example,10,3,predictive_marker,5,5,0.5,,0.16666666666666666,1.0,0.0,0.0
file::example_unweighted,repo_example,10,3,blind_oracle_lru_combiner,6,4,0.4,,0.0,4.0,1.0,0.2
file::example_unweighted,repo_example,10,3,trust_and_doubt,5,5,0.5,,0.16666666666666666,1.0,0.0,0.0
file::example_unweighted,repo_example,10,3,rest_v1,6,4,0.4,,0.0,4.0,1.0,0.2
file::example_unweighted,repo_example,10,3,evict_value_v1,7,3,0.3,lightweight,-0.16666666666666666,7.0,2.0,0.4
file::example_unweighted,repo_example,10,5,lru,4,6,0.6,,0.0,1.0,0.0,0.0
file::example_unweighted,repo_example,10,5,blind_oracle,4,6,0.6,,0.0,1.0,0.0,0.0
file::example_unweighted,repo_example,10,5,predictive_marker,4,6,0.6,,0.0,1.0,0.0,0.0
file::example_unweighted,repo_example,10,5,blind_oracle_lru_combiner,4,6,0.6,,0.0,1.0,0.0,0.0
file::example_unweighted,repo_example,10,5,trust_and_doubt,4,6,0.6,,0.0,1.0,0.0,0.0
file::example_unweighted,repo_example,10,5,rest_v1,4,6,0.6,,0.0,1.0,0.0,0.0
file::example_unweighted,repo_example,10,5,evict_value_v1,4,6,0.6,lightweight,0.0,1.0,0.0,0.0
file::example_unweighted,repo_example,10,8,lru,4,6,0.6,,0.0,1.0,0.0,0.0
file::example_unweighted,repo_example,10,8,blind_oracle,4,6,0.6,,0.0,1.0,0.0,0.0
file::example_unweighted,repo_example,10,8,predictive_marker,4,6,0.6,,0.0,1.0,0.0,0.0
file::example_unweighted,repo_example,10,8,blind_oracle_lru_combiner,4,6,0.6,,0.0,1.0,0.0,0.0
file::example_unweighted,repo_example,10,8,trust_and_doubt,4,6,0.6,,0.0,1.0,0.0,0.0
file::example_unweighted,repo_example,10,8,rest_v1,4,6,0.6,,0.0,1.0,0.0,0.0
file::example_unweighted,repo_example,10,8,evict_value_v1,4,6,0.6,lightweight,0.0,1.0,0.0,0.0
file::example_atlas_v1,repo_example,10,3,lru,9,1,0.1,,0.0,6.0,3.0,0.5
file::example_atlas_v1,repo_example,10,3,blind_oracle,6,4,0.4,,0.3333333333333333,1.0,0.0,0.0
file::example_atlas_v1,repo_example,10,3,predictive_marker,7,3,0.3,,0.2222222222222222,4.0,1.0,0.16666666666666666
file::example_atlas_v1,repo_example,10,3,blind_oracle_lru_combiner,6,4,0.4,,0.3333333333333333,1.0,0.0,0.0
file::example_atlas_v1,repo_example,10,3,trust_and_doubt,7,3,0.3,,0.2222222222222222,4.0,1.0,0.16666666666666666
file::example_atlas_v1,repo_example,10,3,rest_v1,6,4,0.4,,0.3333333333333333,1.0,0.0,0.0
file::example_atlas_v1,repo_example,10,3,evict_value_v1,9,1,0.1,lightweight,0.0,6.0,3.0,0.5
file::example_atlas_v1,repo_example,10,5,lru,5,5,0.5,,0.0,1.0,0.0,0.0
file::example_atlas_v1,repo_example,10,5,blind_oracle,5,5,0.5,,0.0,1.0,0.0,0.0
file::example_atlas_v1,repo_example,10,5,predictive_marker,5,5,0.5,,0.0,1.0,0.0,0.0
file::example_atlas_v1,repo_example,10,5,blind_oracle_lru_combiner,5,5,0.5,,0.0,1.0,0.0,0.0
file::example_atlas_v1,repo_example,10,5,trust_and_doubt,5,5,0.5,,0.0,1.0,0.0,0.0
file::example_atlas_v1,repo_example,10,5,rest_v1,5,5,0.5,,0.0,1.0,0.0,0.0
file::example_atlas_v1,repo_example,10,5,evict_value_v1,5,5,0.5,lightweight,0.0,1.0,0.0,0.0
file::example_atlas_v1,repo_example,10,8,lru,5,5,0.5,,0.0,1.0,0.0,0.0
file::example_atlas_v1,repo_example,10,8,blind_oracle,5,5,0.5,,0.0,1.0,0.0,0.0
file::example_atlas_v1,repo_example,10,8,predictive_marker,5,5,0.5,,0.0,1.0,0.0,0.0
file::example_atlas_v1,repo_example,10,8,blind_oracle_lru_combiner,5,5,0.5,,0.0,1.0,0.0,0.0
file::example_atlas_v1,repo_example,10,8,trust_and_doubt,5,5,0.5,,0.0,1.0,0.0,0.0
file::example_atlas_v1,repo_example,10,8,rest_v1,5,5,0.5,,0.0,1.0,0.0,0.0
file::example_atlas_v1,repo_example,10,8,evict_value_v1,5,5,0.5,lightweight,0.0,1.0,0.0,0.0
synthetic::hot_loop,synthetic,200,3,lru,120,80,0.4,,0.0,6.0,50.0,0.7142857142857143
synthetic::hot_loop,synthetic,200,3,blind_oracle,73,127,0.635,,0.39166666666666666,2.0,3.0,0.04285714285714286
synthetic::hot_loop,synthetic,200,3,predictive_marker,96,104,0.52,,0.2,5.0,26.0,0.37142857142857144
synthetic::hot_loop,synthetic,200,3,blind_oracle_lru_combiner,73,127,0.635,,0.39166666666666666,2.0,3.0,0.04285714285714286
synthetic::hot_loop,synthetic,200,3,trust_and_doubt,70,130,0.65,,0.4166666666666667,1.0,0.0,0.0
synthetic::hot_loop,synthetic,200,3,rest_v1,86,114,0.57,,0.2833333333333333,4.0,16.0,0.22857142857142856
synthetic::hot_loop,synthetic,200,3,evict_value_v1,162,38,0.19,lightweight,-0.35,7.0,92.0,1.3142857142857143
synthetic::hot_loop,synthetic,200,5,lru,70,130,0.65,,0.0,6.0,41.0,1.4137931034482758
synthetic::hot_loop,synthetic,200,5,blind_oracle,29,171,0.855,,0.5857142857142857,1.0,0.0,0.0
synthetic::hot_loop,synthetic,200,5,predictive_marker,32,168,0.84,,0.5428571428571428,4.0,3.0,0.10344827586206896
synthetic::hot_loop,synthetic,200,5,blind_oracle_lru_combiner,29,171,0.855,,0.5857142857142857,1.0,0.0,0.0
synthetic::hot_loop,synthetic,200,5,trust_and_doubt,29,171,0.855,,0.5857142857142857,1.0,0.0,0.0
synthetic::hot_loop,synthetic,200,5,rest_v1,61,139,0.695,,0.12857142857142856,5.0,32.0,1.103448275862069
synthetic::hot_loop,synthetic,200,5,evict_value_v1,95,105,0.525,lightweight,-0.35714285714285715,7.0,66.0,2.2758620689655173
synthetic::hot_loop,synthetic,200,8,lru,6,194,0.97,,0.0,1.0,0.0,0.0
synthetic::hot_loop,synthetic,200,8,blind_oracle,6,194,0.97,,0.0,1.0,0.0,0.0
synthetic::hot_loop,synthetic,200,8,predictive_marker,6,194,0.97,,0.0,1.0,0.0,0.0
synthetic::hot_loop,synthetic,200,8,blind_oracle_lru_combiner,6,194,0.97,,0.0,1.0,0.0,0.0
synthetic::hot_loop,synthetic,200,8,trust_and_doubt,6,194,0.97,,0.0,1.0,0.0,0.0
synthetic::hot_loop,synthetic,200,8,rest_v1,6,194,0.97,,0.0,1.0,0.0,0.0
synthetic::hot_loop,synthetic,200,8,evict_value_v1,6,194,0.97,lightweight,0.0,1.0,0.0,0.0
synthetic::bursty_scan,synthetic,120,3,lru,120,0,0.0,,0.0,4.0,20.0,0.2
synthetic::bursty_scan,synthetic,120,3,blind_oracle,100,20,0.16666666666666666,,0.16666666666666666,1.0,0.0,0.0
synthetic::bursty_scan,synthetic,120,3,predictive_marker,120,0,0.0,,0.0,4.0,20.0,0.2
synthetic::bursty_scan,synthetic,120,3,blind_oracle_lru_combiner,100,20,0.16666666666666666,,0.16666666666666666,1.0,0.0,0.0
synthetic::bursty_scan,synthetic,120,3,trust_and_doubt,120,0,0.0,,0.0,4.0,20.0,0.2
synthetic::bursty_scan,synthetic,120,3,rest_v1,116,4,0.03333333333333333,,0.03333333333333333,3.0,16.0,0.16
synthetic::bursty_scan,synthetic,120,3,evict_value_v1,120,0,0.0,lightweight,0.0,4.0,20.0,0.2
synthetic::bursty_scan,synthetic,120,5,lru,120,0,0.0,,0.0,6.0,39.0,0.48148148148148145
synthetic::bursty_scan,synthetic,120,5,blind_oracle,81,39,0.325,,0.325,1.0,0.0,0.0
synthetic::bursty_scan,synthetic,120,5,predictive_marker,104,16,0.13333333333333333,,0.13333333333333333,4.0,23.0,0.2839506172839506
synthetic::bursty_scan,synthetic,120,5,blind_oracle_lru_combiner,81,39,0.325,,0.325,1.0,0.0,0.0
synthetic::bursty_scan,synthetic,120,5,trust_and_doubt,89,31,0.25833333333333336,,0.25833333333333336,3.0,8.0,0.09876543209876543
synthetic::bursty_scan,synthetic,120,5,rest_v1,112,8,0.06666666666666667,,0.06666666666666667,5.0,31.0,0.38271604938271603
synthetic::bursty_scan,synthetic,120,5,evict_value_v1,120,0,0.0,lightweight,0.0,6.0,39.0,0.48148148148148145
synthetic::bursty_scan,synthetic,120,8,lru,56,64,0.5333333333333333,,0.0,3.0,7.0,0.14285714285714285
synthetic::bursty_scan,synthetic,120,8,blind_oracle,49,71,0.5916666666666667,,0.125,1.0,0.0,0.0
synthetic::bursty_scan,synthetic,120,8,predictive_marker,56,64,0.5333333333333333,,0.0,3.0,7.0,0.14285714285714285
synthetic::bursty_scan,synthetic,120,8,blind_oracle_lru_combiner,49,71,0.5916666666666667,,0.125,1.0,0.0,0.0
synthetic::bursty_scan,synthetic,120,8,trust_and_doubt,56,64,0.5333333333333333,,0.0,3.0,7.0,0.14285714285714285
