trace,trace_kind,requests,capacity,policy,misses,hits,hit_rate,scorer_mode,rel_improvement_vs_lru,rank,regret_vs_best,normalized_gap_to_best
synthetic::bursty_scan,synthetic,120,8,rest_v1,56,64,0.5333333333333333,,0.0,3.0,7.0,0.14285714285714285
synthetic::bursty_scan,synthetic,120,8,evict_value_v1,88,32,0.26666666666666666,lightweight,-0.5714285714285714,7.0,39.0,0.7959183673469388
synthetic::phase_shift,synthetic,144,3,lru,130,14,0.09722222222222222,,0.0,7.0,48.0,0.5853658536585366
synthetic::phase_shift,synthetic,144,3,blind_oracle,82,62,0.4305555555555556,,0.36923076923076925,1.0,0.0,0.0
synthetic::phase_shift,synthetic,144,3,predictive_marker,115,29,0.2013888888888889,,0.11538461538461539,4.0,33.0,0.4024390243902439
synthetic::phase_shift,synthetic,144,3,blind_oracle_lru_combiner,82,62,0.4305555555555556,,0.36923076923076925,1.0,0.0,0.0
synthetic::phase_shift,synthetic,144,3,trust_and_doubt,102,42,0.2916666666666667,,0.2153846153846154,3.0,20.0,0.24390243902439024
synthetic::phase_shift,synthetic,144,3,rest_v1,121,23,0.1597222222222222,,0.06923076923076923,5.0,39.0,0.47560975609756095
synthetic::phase_shift,synthetic,144,3,evict_value_v1,127,17,0.11805555555555555,lightweight,0.023076923076923078,6.0,45.0,0.5487804878048781
synthetic::phase_shift,synthetic,144,5,lru,100,44,0.3055555555555556,,0.0,7.0,58.0,1.380952380952381
synthetic::phase_shift,synthetic,144,5,blind_oracle,42,102,0.7083333333333334,,0.58,1.0,0.0,0.0
synthetic::phase_shift,synthetic,144,5,predictive_marker,50,94,0.6527777777777778,,0.5,4.0,8.0,0.19047619047619047
synthetic::phase_shift,synthetic,144,5,blind_oracle_lru_combiner,42,102,0.7083333333333334,,0.58,1.0,0.0,0.0
synthetic::phase_shift,synthetic,144,5,trust_and_doubt,43,101,0.7013888888888888,,0.57,3.0,1.0,0.023809523809523808
synthetic::phase_shift,synthetic,144,5,rest_v1,98,46,0.3194444444444444,,0.02,5.0,56.0,1.3333333333333333
synthetic::phase_shift,synthetic,144,5,evict_value_v1,98,46,0.3194444444444444,lightweight,0.02,5.0,56.0,1.3333333333333333
synthetic::phase_shift,synthetic,144,8,lru,14,130,0.9027777777777778,,0.0,6.0,1.0,0.07692307692307693
synthetic::phase_shift,synthetic,144,8,blind_oracle,13,131,0.9097222222222222,,0.07142857142857142,1.0,0.0,0.0
synthetic::phase_shift,synthetic,144,8,predictive_marker,13,131,0.9097222222222222,,0.07142857142857142,1.0,0.0,0.0
synthetic::phase_shift,synthetic,144,8,blind_oracle_lru_combiner,13,131,0.9097222222222222,,0.07142857142857142,1.0,0.0,0.0
synthetic::phase_shift,synthetic,144,8,trust_and_doubt,13,131,0.9097222222222222,,0.07142857142857142,1.0,0.0,0.0
synthetic::phase_shift,synthetic,144,8,rest_v1,13,131,0.9097222222222222,,0.07142857142857142,1.0,0.0,0.0
synthetic::phase_shift,synthetic,144,8,evict_value_v1,54,90,0.625,lightweight,-2.857142857142857,7.0,41.0,3.1538461538461537
synthetic::mixed_locality,synthetic,180,3,lru,121,59,0.3277777777777778,,0.0,6.0,24.0,0.24742268041237114
synthetic::mixed_locality,synthetic,180,3,blind_oracle,98,82,0.45555555555555555,,0.19008264462809918,2.0,1.0,0.010309278350515464
synthetic::mixed_locality,synthetic,180,3,predictive_marker,110,70,0.3888888888888889,,0.09090909090909091,5.0,13.0,0.13402061855670103
synthetic::mixed_locality,synthetic,180,3,blind_oracle_lru_combiner,99,81,0.45,,0.18181818181818182,4.0,2.0,0.020618556701030927
synthetic::mixed_locality,synthetic,180,3,trust_and_doubt,98,82,0.45555555555555555,,0.19008264462809918,2.0,1.0,0.010309278350515464
synthetic::mixed_locality,synthetic,180,3,rest_v1,97,83,0.46111111111111114,,0.19834710743801653,1.0,0.0,0.0
synthetic::mixed_locality,synthetic,180,3,evict_value_v1,178,2,0.011111111111111112,lightweight,-0.47107438016528924,7.0,81.0,0.8350515463917526
synthetic::mixed_locality,synthetic,180,5,lru,86,94,0.5222222222222223,,0.0,6.0,35.0,0.6862745098039216
synthetic::mixed_locality,synthetic,180,5,blind_oracle,51,129,0.7166666666666667,,0.4069767441860465,1.0,0.0,0.0
synthetic::mixed_locality,synthetic,180,5,predictive_marker,74,106,0.5888888888888889,,0.13953488372093023,5.0,23.0,0.45098039215686275
synthetic::mixed_locality,synthetic,180,5,blind_oracle_lru_combiner,51,129,0.7166666666666667,,0.4069767441860465,1.0,0.0,0.0
synthetic::mixed_locality,synthetic,180,5,trust_and_doubt,53,127,0.7055555555555556,,0.38372093023255816,3.0,2.0,0.0392156862745098
synthetic::mixed_locality,synthetic,180,5,rest_v1,63,117,0.65,,0.26744186046511625,4.0,12.0,0.23529411764705882
synthetic::mixed_locality,synthetic,180,5,evict_value_v1,174,6,0.03333333333333333,lightweight,-1.0232558139534884,7.0,123.0,2.411764705882353
synthetic::mixed_locality,synthetic,180,8,lru,8,172,0.9555555555555556,,0.0,1.0,0.0,0.0
synthetic::mixed_locality,synthetic,180,8,blind_oracle,8,172,0.9555555555555556,,0.0,1.0,0.0,0.0
synthetic::mixed_locality,synthetic,180,8,predictive_marker,8,172,0.9555555555555556,,0.0,1.0,0.0,0.0
synthetic::mixed_locality,synthetic,180,8,blind_oracle_lru_combiner,8,172,0.9555555555555556,,0.0,1.0,0.0,0.0
synthetic::mixed_locality,synthetic,180,8,trust_and_doubt,8,172,0.9555555555555556,,0.0,1.0,0.0,0.0
synthetic::mixed_locality,synthetic,180,8,rest_v1,8,172,0.9555555555555556,,0.0,1.0,0.0,0.0
synthetic::mixed_locality,synthetic,180,8,evict_value_v1,8,172,0.9555555555555556,lightweight,0.0,1.0,0.0,0.0
