job_label,instance_id,chain_id,phase,damage_D,I_size,lemma1_chain_monotone,lemma2_head_bound,head_victim_e1,head_stale_set,I_set,a_values
campaign_r1_task6_random,0,ph1_c0,1,2,0,False,False,p0,"p0,p1,p4,p8",,"1000000000000,31"
campaign_r1_task6_random,0,ph2_c0,2,1,0,True,True,p6,"p6,p7",,1000000000000
campaign_r1_task6_random,6,ph1_c0,1,1,1,True,True,p0,"p0,p2",p2,1
campaign_r1_task6_random,6,ph1_c1,1,1,0,True,True,p2,p2,,1000000000000
campaign_r1_task6_random,13,ph1_c0,1,1,2,True,True,p1,"p1,p6,p7","p6,p7",6
campaign_r1_task6_random,13,ph2_c0,2,1,1,True,True,p7,"p6,p7",p6,12
campaign_r1_task6_random,13,ph2_c1,2,1,2,True,True,p1,"p1,p2,p6","p2,p6",14
campaign_r1_task6_random,13,ph4_c0,4,2,2,True,True,p6,"p2,p3,p6","p2,p3","13,1000000000000"
campaign_r1_task6_random,13,ph5_c0,5,1,0,True,True,p8,"p3,p7,p8",,1000000000000
campaign_r1_task6_random,13,ph6_c0,6,1,0,True,True,p7,"p3,p7",,1000000000000
campaign_r1_task6_random,13,ph6_c1,6,1,0,True,True,p4,"p0,p3,p4",,1000000000000
campaign_r1_task6_random,14,ph2_c0,2,1,0,True,True,p4,"p2,p4",,1000000000000
campaign_r1_task6_random,16,ph1_c0,1,1,2,True,True,p4,"p3,p4,p7","p3,p7",5
campaign_r1_task6_random,16,ph1_c1,1,1,1,True,True,p3,"p3,p7",p7,3
campaign_r1_task6_random,16,ph2_c0,2,1,2,True,True,p4,"p0,p4,p7","p0,p7",9
campaign_r1_task6_random,16,ph2_c1,2,1,1,True,True,p7,"p0,p7",p0,16
campaign_r1_task6_random,16,ph3_c0,3,1,0,True,True,p0,p0,,25
campaign_r1_task6_random,16,ph4_c0,4,1,2,True,True,p9,"p3,p8,p9","p3,p8",17
campaign_r1_task6_random,16,ph5_c0,5,1,2,True,True,p3,"p3,p5,p8","p5,p8",15
campaign_r1_task6_random,16,ph6_c0,6,1,0,True,True,p1,"p1,p5,p8",,1000000000000
campaign_r1_task6_random,16,ph7_c0,7,2,0,False,False,p8,"p0,p5,p8",,"1000000000000,1000000000000"
