trace,regime,capacity,policy,misses,hits,hit_rate
file::example_unweighted,clean,2,evict_value_v1_artifact,8,2,0.2
file::example_unweighted,clean,2,evict_value_v1_lightweight,10,0,0.0
file::example_unweighted,clean,2,robust_ftp_d_marker,7,3,0.3
file::example_unweighted,clean,2,blind_oracle_lru_combiner,7,3,0.3
file::example_unweighted,clean,2,rest_v1,10,0,0.0
file::example_unweighted,clean,2,lru,10,0,0.0
file::example_unweighted,clean,3,evict_value_v1_artifact,5,5,0.5
file::example_unweighted,clean,3,evict_value_v1_lightweight,7,3,0.3
file::example_unweighted,clean,3,robust_ftp_d_marker,5,5,0.5
file::example_unweighted,clean,3,blind_oracle_lru_combiner,5,5,0.5
file::example_unweighted,clean,3,rest_v1,6,4,0.4
file::example_unweighted,clean,3,lru,6,4,0.4
file::example_unweighted,noisy,2,evict_value_v1_artifact,8,2,0.2
file::example_unweighted,noisy,2,evict_value_v1_lightweight,10,0,0.0
file::example_unweighted,noisy,2,robust_ftp_d_marker,7,3,0.3
file::example_unweighted,noisy,2,blind_oracle_lru_combiner,7,3,0.3
file::example_unweighted,noisy,2,rest_v1,9,1,0.1
file::example_unweighted,noisy,2,lru,10,0,0.0
file::example_unweighted,noisy,3,evict_value_v1_artifact,5,5,0.5
file::example_unweighted,noisy,3,evict_value_v1_lightweight,7,3,0.3
file::example_unweighted,noisy,3,robust_ftp_d_marker,5,5,0.5
file::example_unweighted,noisy,3,blind_oracle_lru_combiner,6,4,0.4
file::example_unweighted,noisy,3,rest_v1,6,4,0.4
file::example_unweighted,noisy,3,lru,6,4,0.4
file::example_atlas_v1,clean,2,evict_value_v1_artifact,8,2,0.2
file::example_atlas_v1,clean,2,evict_value_v1_lightweight,10,0,0.0
file::example_atlas_v1,clean,2,robust_ftp_d_marker,8,2,0.2
file::example_atlas_v1,clean,2,blind_oracle_lru_combiner,8,2,0.2
file::example_atlas_v1,clean,2,rest_v1,10,0,0.0
file::example_atlas_v1,clean,2,lru,10,0,0.0
file::example_atlas_v1,clean,3,evict_value_v1_artifact,6,4,0.4
file::example_atlas_v1,clean,3,evict_value_v1_lightweight,9,1,0.1
file::example_atlas_v1,clean,3,robust_ftp_d_marker,6,4,0.4
file::example_atlas_v1,clean,3,blind_oracle_lru_combiner,6,4,0.4
file::example_atlas_v1,clean,3,rest_v1,6,4,0.4
file::example_atlas_v1,clean,3,lru,9,1,0.1
file::example_atlas_v1,noisy,2,evict_value_v1_artifact,8,2,0.2
file::example_atlas_v1,noisy,2,evict_value_v1_lightweight,10,0,0.0
file::example_atlas_v1,noisy,2,robust_ftp_d_marker,8,2,0.2
file::example_atlas_v1,noisy,2,blind_oracle_lru_combiner,8,2,0.2
file::example_atlas_v1,noisy,2,rest_v1,9,1,0.1
file::example_atlas_v1,noisy,2,lru,10,0,0.0
file::example_atlas_v1,noisy,3,evict_value_v1_artifact,6,4,0.4
file::example_atlas_v1,noisy,3,evict_value_v1_lightweight,9,1,0.1
file::example_atlas_v1,noisy,3,robust_ftp_d_marker,6,4,0.4
file::example_atlas_v1,noisy,3,blind_oracle_lru_combiner,6,4,0.4
file::example_atlas_v1,noisy,3,rest_v1,6,4,0.4
file::example_atlas_v1,noisy,3,lru,9,1,0.1
stress::predictor_good_lru_bad,clean,2,evict_value_v1_artifact,8,2,0.2
stress::predictor_good_lru_bad,clean,2,evict_value_v1_lightweight,10,0,0.0
stress::predictor_good_lru_bad,clean,2,robust_ftp_d_marker,7,3,0.3
stress::predictor_good_lru_bad,clean,2,blind_oracle_lru_combiner,7,3,0.3
stress::predictor_good_lru_bad,clean,2,rest_v1,8,2,0.2
stress::predictor_good_lru_bad,clean,2,lru,9,1,0.1
stress::predictor_good_lru_bad,clean,3,evict_value_v1_artifact,5,5,0.5
stress::predictor_good_lru_bad,clean,3,evict_value_v1_lightweight,9,1,0.1
stress::predictor_good_lru_bad,clean,3,robust_ftp_d_marker,5,5,0.5
stress::predictor_good_lru_bad,clean,3,blind_oracle_lru_combiner,5,5,0.5
stress::predictor_good_lru_bad,clean,3,rest_v1,7,3,0.3
stress::predictor_good_lru_bad,clean,3,lru,7,3,0.3
stress::predictor_good_lru_bad,noisy,2,evict_value_v1_artifact,8,2,0.2
stress::predictor_good_lru_bad,noisy,2,evict_value_v1_lightweight,9,1,0.1
stress::predictor_good_lru_bad,noisy,2,robust_ftp_d_marker,8,2,0.2
stress::predictor_good_lru_bad,noisy,2,blind_oracle_lru_combiner,8,2,0.2
stress::predictor_good_lru_bad,noisy,2,rest_v1,7,3,0.3
stress::predictor_good_lru_bad,noisy,2,lru,9,1,0.1
stress::predictor_good_lru_bad,noisy,3,evict_value_v1_artifact,6,4,0.4
stress::predictor_good_lru_bad,noisy,3,evict_value_v1_lightweight,8,2,0.2
stress::predictor_good_lru_bad,noisy,3,robust_ftp_d_marker,6,4,0.4
stress::predictor_good_lru_bad,noisy,3,blind_oracle_lru_combiner,7,3,0.3
stress::predictor_good_lru_bad,noisy,3,rest_v1,7,3,0.3
stress::predictor_good_lru_bad,noisy,3,lru,7,3,0.3
stress::predictor_bad_lru_good,clean,2,evict_value_v1_artifact,6,4,0.4
stress::predictor_bad_lru_good,clean,2,evict_value_v1_lightweight,9,1,0.1
stress::predictor_bad_lru_good,clean,2,robust_ftp_d_marker,6,4,0.4
stress::predictor_bad_lru_good,clean,2,blind_oracle_lru_combiner,6,4,0.4
stress::predictor_bad_lru_good,clean,2,rest_v1,6,4,0.4
stress::predictor_bad_lru_good,clean,2,lru,6,4,0.4
stress::predictor_bad_lru_good,clean,3,evict_value_v1_artifact,6,4,0.4
stress::predictor_bad_lru_good,clean,3,evict_value_v1_lightweight,8,2,0.2
stress::predictor_bad_lru_good,clean,3,robust_ftp_d_marker,6,4,0.4
stress::predictor_bad_lru_good,clean,3,blind_oracle_lru_combiner,6,4,0.4
stress::predictor_bad_lru_good,clean,3,rest_v1,6,4,0.4
stress::predictor_bad_lru_good,clean,3,lru,6,4,0.4
stress::predictor_bad_lru_good,noisy,2,evict_value_v1_artifact,6,4,0.4
stress::predictor_bad_lru_good,noisy,2,evict_value_v1_lightweight,9,1,0.1
stress::predictor_bad_lru_good,noisy,2,robust_ftp_d_marker,6,4,0.4
stress::predictor_bad_lru_good,noisy,2,blind_oracle_lru_combiner,6,4,0.4
stress::predictor_bad_lru_good,noisy,2,rest_v1,6,4,0.4
stress::predictor_bad_lru_good,noisy,2,lru,6,4,0.4
stress::predictor_bad_lru_good,noisy,3,evict_value_v1_artifact,6,4,0.4
stress::predictor_bad_lru_good,noisy,3,evict_value_v1_lightweight,8,2,0.2
stress::predictor_bad_lru_good,noisy,3,robust_ftp_d_marker,6,4,0.4
stress::predictor_bad_lru_good,noisy,3,blind_oracle_lru_combiner,6,4,0.4
stress::predictor_bad_lru_good,noisy,3,rest_v1,6,4,0.4
stress::predictor_bad_lru_good,noisy,3,lru,6,4,0.4
