job_label,instance_id,mode,ranking_mode,k,alphabet,trace_len,chain_count,sum_I,eta_pair,lemma1_pass,lemma2_pass,lemma3_pass,all_pass,violation_count,trace
campaign_smoke_task0_smoke,0,random,adv_bias,5,7,28,2,3,32,False,False,True,False,3,"p3,p3,p3,p3,p0,p3,p5,p3,p0,p3,p5,p3,p5,p4,p6,p2,p2,p3,p0,p5,p3,p3,p3,p1,p3,p2,p1,p3"
campaign_smoke_task0_smoke,1,random,near_tie,8,9,134,0,0,0,True,True,True,True,0,"p4,p3,p2,p8,p6,p3,p3,p6,p2,p2,p6,p8,p2,p8,p2,p6,p5,p3,p2,p5,p7,p3,p3,p7,p7,p2,p4,p2,p6,p3,p7,p3,p3,p5,p3,p1,p2,p4,p2,p2,p6,p1,p3,p2,p2,p1,p2,p1,p1,p4,p2,p6,p2,p2,p7,p2,p5,p3,p2,p1,p2,p4,p2,p4,p1,p2,p2,p7,p4,p1,p1,p8,p4,p8,p4,p8,p3,p7,p8,p8,p3,p3,p5,p4,p5,p4,p5,p8,p5,p4,p3,p8,p3,p3,p5,p6,p4,p2,p7,p8,p5,p4,p4,p7,p4,p3,p4,p4,p4,p4,p7,p1,p0,p7,p4,p6,p0,p4,p0,p7,p4,p4,p4,p6,p1,p4,p6,p1,p4,p3,p1,p0,p1,p0"
campaign_smoke_task0_smoke,2,random,adv_bias,6,14,36,5,10,65,True,True,True,True,0,"p0,p5,p5,p5,p5,p7,p5,p1,p0,p5,p5,p1,p1,p11,p6,p6,p5,p9,p1,p8,p1,p11,p1,p6,p8,p9,p7,p2,p6,p1,p1,p6,p4,p4,p0,p1"
campaign_smoke_task0_smoke,3,random,near_tie,6,7,44,0,0,0,True,True,True,True,0,"p4,p4,p4,p4,p4,p1,p4,p5,p2,p1,p4,p1,p5,p5,p5,p5,p5,p5,p0,p5,p5,p5,p5,p5,p4,p5,p5,p5,p5,p5,p6,p5,p5,p5,p5,p5,p5,p2,p5,p5,p5,p5,p6,p5"
campaign_smoke_task0_smoke,4,random,near_tie,6,8,90,0,0,0,True,True,True,True,0,"p0,p0,p0,p5,p4,p3,p0,p7,p3,p1,p0,p0,p0,p0,p3,p4,p6,p6,p2,p1,p0,p7,p4,p4,p4,p1,p7,p4,p7,p4,p0,p2,p2,p2,p7,p3,p0,p6,p4,p3,p0,p2,p2,p2,p5,p5,p4,p4,p3,p1,p1,p4,p3,p3,p0,p3,p2,p7,p4,p2,p1,p0,p0,p4,p7,p1,p6,p4,p6,p5,p2,p6,p4,p6,p6,p6,p5,p5,p6,p4,p6,p2,p5,p6,p5,p7,p1,p3,p6,p5"
campaign_smoke_task0_smoke,5,random,noisy,5,7,56,0,0,0,True,True,True,True,0,"p3,p2,p4,p5,p5,p5,p6,p3,p2,p2,p5,p6,p5,p5,p1,p5,p5,p3,p2,p3,p3,p6,p3,p3,p4,p2,p2,p3,p3,p1,p3,p3,p4,p3,p2,p5,p0,p1,p3,p2,p5,p3,p2,p0,p3,p2,p5,p1,p0,p3,p6,p6,p0,p0,p1,p6"
campaign_smoke_task0_smoke,6,random,noisy,6,14,83,0,0,0,True,True,True,True,0,"p0,p0,p0,p1,p2,p0,p0,p8,p3,p2,p0,p2,p0,p0,p2,p7,p10,p10,p10,p8,p2,p2,p0,p9,p4,p9,p1,p4,p0,p0,p4,p6,p10,p3,p4,p6,p6,p12,p5,p12,p2,p0,p12,p6,p5,p6,p6,p6,p1,p10,p5,p0,p11,p6,p7,p6,p2,p6,p6,p11,p4,p10,p6,p7,p6,p9,p5,p9,p8,p6,p6,p11,p9,p9,p7,p6,p4,p6,p4,p7,p8,p7,p8"
campaign_smoke_task0_smoke,7,random,near_tie,4,8,46,1,0,0,True,True,True,True,0,"p6,p6,p6,p6,p6,p2,p6,p6,p6,p6,p6,p0,p5,p7,p4,p6,p4,p6,p6,p7,p6,p6,p6,p6,p4,p6,p6,p4,p4,p5,p6,p1,p5,p6,p5,p6,p6,p5,p3,p6,p5,p5,p4,p5,p2,p4"
campaign_smoke_task0_smoke,8,random,near_tie,6,10,114,1,1,2,True,True,True,True,0,"p3,p6,p0,p6,p0,p4,p2,p6,p6,p5,p8,p8,p8,p1,p2,p8,p4,p1,p4,p4,p0,p1,p4,p3,p6,p1,p3,p8,p6,p4,p0,p6,p8,p3,p8,p4,p4,p3,p4,p0,p5,p8,p2,p5,p6,p1,p7,p3,p8,p7,p5,p7,p8,p0,p1,p5,p8,p0,p2,p5,p6,p5,p5,p0,p2,p0,p9,p5,p2,p2,p5,p3,p1,p9,p0,p9,p0,p9,p3,p6,p9,p5,p3,p3,p8,p7,p9,p6,p8,p9,p0,p2,p4,p6,p7,p9,p9,p7,p8,p2,p4,p4,p3,p0,p0,p1,p8,p7,p0,p5,p0,p9,p2,p7"
campaign_smoke_task0_smoke,9,random,adv_bias,2,6,28,0,0,0,True,True,True,True,0,"p4,p4,p4,p4,p4,p4,p4,p4,p4,p4,p4,p4,p4,p4,p4,p4,p4,p4,p4,p4,p4,p2,p4,p4,p4,p4,p4,p4"
