omitted_family,weighting,scope,horizon,cell_count,decisions,candidate_rows,all_tied_fraction_mean,all_tied_fraction_median,all_tied_fraction_min,all_tied_fraction_max,discriminative_fraction_mean,discriminative_fraction_median,discriminative_fraction_min,discriminative_fraction_max,random_optimal_probability_mean,random_optimal_probability_median,random_optimal_probability_min,random_optimal_probability_max,mean_random_regret_mean,mean_random_regret_median,mean_random_regret_min,mean_random_regret_max
alibaba-block,CELL_MACRO,ALL_FIVE_FAMILIES,16,16,595689,69933792,0.5017783367595064,0.5377727610644187,0.006657440999364177,1.0,0.49822166324049355,0.46222723893558126,0.0,0.9933425590006358,0.9821968439574156,0.9925619751311208,0.9347340748764829,1.0,0.01800096540221018,0.007440161436711331,0.0,0.06696428571428571
alibaba-block,CELL_MACRO,ALL_FIVE_FAMILIES,32,16,514815,58687520,0.475339498682005,0.4947550933883039,0.000441306266548985,1.0,0.524660501317995,0.5052449066116961,0.0,0.999558693733451,0.972260502287214,0.9902724625492145,0.8961637384157105,1.0,0.028940844198702454,0.009735654229661606,0.0,0.1041844798102383
alibaba-block,CELL_MACRO,ALL_FIVE_FAMILIES,64,16,514815,58687520,0.46611612481238535,0.4581497170535743,0.0,1.0,0.5338838751876147,0.5418502829464257,0.0,1.0,0.9563421879706383,0.9869732227242838,0.803675598521624,1.0,0.04812013974629384,0.013048123777385222,0.0,0.19759832855251544
alibaba-block,CELL_MACRO,ALL_FIVE_FAMILIES,128,16,514815,58687520,0.46446886023780565,0.4528429554617917,0.0,1.0,0.5355311397621944,0.5471570445382083,0.0,1.0,0.9306592267940764,0.9825152297043115,0.6285735464474845,1.0,0.08691070250172514,0.017519923156522746,0.0,0.4822055848455125
metacdn,CELL_MACRO,ALL_FIVE_FAMILIES,16,16,675442,79510464,0.6786839152662121,0.8443727860429968,0.08412875357068209,1.0,0.32131608473378787,0.15562721395700319,0.0,0.9158712464293179,0.988347930348436,0.9960480661880623,0.9347340748764829,1.0,0.011826512678892405,0.0039620399523508055,0.0,0.06696428571428571
metacdn,CELL_MACRO,ALL_FIVE_FAMILIES,32,16,594568,68264192,0.6274490035920331,0.8266639519290548,0.000441306266548985,1.0,0.37255099640796685,0.1733360480709451,0.0,0.999558693733451,0.979351504986433,0.9942977678694429,0.8961637384157105,1.0,0.021823745054222958,0.005749938622116214,0.0,0.1041844798102383
metacdn,CELL_MACRO,ALL_FIVE_FAMILIES,64,16,594568,68264192,0.5969109229603113,0.8150977787976883,0.0002206531332744925,1.0,0.40308907703968866,0.1849022212023117,0.0,0.9997793468667255,0.9644269118863716,0.9914684765817621,0.803675598521624,1.0,0.04016832994172912,0.008722733171312306,0.0,0.19759832855251544
metacdn,CELL_MACRO,ALL_FIVE_FAMILIES,128,16,594568,68264192,0.5850935084417547,0.8056496572470742,4.9043648847474255e-05,1.0,0.41490649155824527,0.1943503427529259,0.0,0.9999509563511525,0.939643920280863,0.9894659022403501,0.6285735464474845,1.0,0.07808761072707196,0.010665156184922676,0.0,0.4822055848455125
metakv,CELL_MACRO,ALL_FIVE_FAMILIES,16,16,636411,74575488,0.4674059650457724,0.40644088516219756,0.006657440999364177,1.0,0.5325940349542276,0.5935591148378024,0.0,0.9933425590006358,0.981357524400242,0.9909195726974265,0.9347340748764829,1.0,0.018857582317577903,0.009095704136206452,0.0,0.06696428571428571
metakv,CELL_MACRO,ALL_FIVE_FAMILIES,32,16,555537,63329216,0.41648933213197425,0.2864155810067285,0.000441306266548985,1.0,0.5835106678680257,0.7135844189932715,0.0,0.999558693733451,0.9701639746228392,0.9850276400424496,0.8961637384157105,1.0,0.031128546696840485,0.015091908447479627,0.0,0.1041844798102383
metakv,CELL_MACRO,ALL_FIVE_FAMILIES,64,16,555537,63329216,0.3882842791446382,0.18014698587569383,0.0,1.0,0.6117157208553617,0.8198530141243061,0.0,1.0,0.9528937984904129,0.9777352546959499,0.803675598521624,1.0,0.05193012467723573,0.024792009259210025,0.0,0.19759832855251544
metakv,CELL_MACRO,ALL_FIVE_FAMILIES,128,16,555537,63329216,0.3777170006035406,0.12988496515153325,0.0,1.0,0.6222829993964594,0.8701150348484668,0.0,1.0,0.9261975134574038,0.9726478993078347,0.6285735464474845,1.0,0.09186040272157807,0.029883191355669397,0.0,0.4822055848455125
twemcache,CELL_MACRO,ALL_FIVE_FAMILIES,16,16,655264,77888288,0.6452218534835077,0.8443727860429968,0.006657440999364177,1.0,0.35477814651649225,0.15562721395700319,0.0,0.9933425590006358,0.9904440259589573,0.9960480661880623,0.9404484547498978,1.0,0.009614301834042579,0.0039620399523508055,0.0,0.06007010699195857
