metric,delta,n_cells,mean_delta,median_delta,min_delta,max_delta,n_positive,n_negative,n_effectively_zero,zero_tolerance
all_tied_fraction,H32-H16,20,-0.04273562261649034,-0.011758333783619256,-0.1694610393781718,0.0,0,16,4,1e-12
all_tied_fraction,H64-H32,20,-0.02455795413631919,-0.0006570317626671959,-0.15487891051583477,0.0,0,15,5,1e-12
all_tied_fraction,H128-H64,20,-0.009453931614845285,0.0,-0.09892721783259459,0.0,0,8,12,1e-12
all_tied_fraction,H128-H16,20,-0.07674750836765482,-0.025702213475268187,-0.42326716772660117,0.0,0,16,4,1e-12
discriminative_fraction,H32-H16,20,0.042735622616490346,0.01175833378361929,0.0,0.1694610393781718,16,0,4,1e-12
discriminative_fraction,H64-H32,20,0.02455795413631919,0.0006570317626671818,0.0,0.1548789105158348,15,0,5,1e-12
discriminative_fraction,H128-H64,20,0.00945393161484528,0.0,0.0,0.0989272178325945,8,0,12,1e-12
discriminative_fraction,H128-H16,20,0.07674750836765482,0.025702213475268187,0.0,0.4232671677266011,16,0,4,1e-12
random_optimal_probability,H32-H16,20,-0.009011387209702936,-0.003626507629595821,-0.0751865881590611,0.0045151482904067786,1,15,4,1e-12
random_optimal_probability,H64-H32,20,-0.013897020085695566,-0.00571851454761374,-0.09248813989408655,0.0,0,16,4,1e-12
random_optimal_probability,H128-H64,20,-0.021448083376575566,-0.0010328306390803843,-0.17510205207413942,0.0,0,14,6,1e-12
random_optimal_probability,H128-H16,20,-0.04435649067197407,-0.017248774013491175,-0.3427767801272871,0.0,0,16,4,1e-12
mean_random_regret,H32-H16,20,0.009873770813256345,0.00366104975047336,-0.0052734868709038984,0.07526933916269864,15,1,4,1e-12
mean_random_regret,H64-H32,20,0.016723014744934876,0.005857992325779617,0.0,0.09634548185384993,16,0,4,1e-12
mean_random_regret,H128-H64,20,0.03203532988842711,0.0013446534850751388,0.0,0.3127298921039725,14,0,6,1e-12
mean_random_regret,H128-H16,20,0.05863211544661833,0.01864532723995614,0.0,0.4372047934330571,16,0,4,1e-12
