capacity,horizon,cell_count,decisions,all_tied_fraction,discriminative_fraction,random_optimal_probability,mean_random_regret
32,16,5,204438,0.6617996654242362,0.3382003345757638,0.9765879508701905,0.02380795155499467
32,32,5,189760,0.6743149241146712,0.32568507588532886,0.9758701781197302,0.024541196774873524
32,64,5,189760,0.6670109612141653,0.33298903878583475,0.9710935853182968,0.029658021975126476
32,128,5,189760,0.6668159780775716,0.33318402192242835,0.9708342116357505,0.02993896896079258
64,16,5,199724,0.6267699425206785,0.3732300574793215,0.9854881768089964,0.01467001023913
64,32,5,185366,0.6263554265615053,0.37364457343849466,0.9832335083024935,0.018874314868961947
64,64,5,185366,0.6047603120313326,0.3952396879686674,0.9729140592125848,0.03560464499962237
64,128,5,185366,0.6039888652719485,0.39601113472805155,0.9590727769655708,0.0724677799596474
128,16,5,194226,0.6033898654145171,0.3966101345854829,0.991349357513927,0.008696819362495237
128,32,5,167563,0.6379451310850247,0.36205486891497524,0.9901740781825343,0.009850819169506395
128,64,5,167563,0.5966352953814387,0.4033647046185614,0.9842713076574184,0.015831685321341823
128,128,5,167563,0.5762966764739232,0.42370332352607676,0.9750651154341949,0.025212485378633707
256,16,5,189374,0.5818380559105263,0.4181619440894737,0.9951313274261514,0.004881152012683895
256,32,5,164199,0.6036273058910224,0.3963726941089775,0.9944042271116146,0.0056208472645996625
256,64,5,164199,0.5559351762191,0.4440648237809,0.9906882473781814,0.00941509521221201
256,128,5,164199,0.5257401080396348,0.47425989196036517,0.984571907601447,0.015849955694005446
