family,internal_family,capacity,H16_all_tied_fraction,H16_discriminative_fraction,H16_random_optimal_probability,H16_mean_random_regret,H16_decisions,H32_all_tied_fraction,H32_discriminative_fraction,H32_random_optimal_probability,H32_mean_random_regret,H32_decisions,H64_all_tied_fraction,H64_discriminative_fraction,H64_random_optimal_probability,H64_mean_random_regret,H64_decisions,H128_all_tied_fraction,H128_discriminative_fraction,H128_random_optimal_probability,H128_mean_random_regret,H128_decisions
alibaba-block,cloudphysics,32,0.8695599195792124,0.13044008042078759,0.9920562894742186,0.007971634410349098,49241,0.8359294084198128,0.16407059158018722,0.9844381460571475,0.015795399159237222,49241,0.8359294084198128,0.16407059158018722,0.9844140299750208,0.01582014987510408,49241,0.8359294084198128,0.16407059158018722,0.9844140299750208,0.01582014987510408,49241
alibaba-block,cloudphysics,64,0.7665477932839975,0.23345220671600253,0.993381655706953,0.00684219816124178,48511,0.6732905938859228,0.32670940611407717,0.9871668925604502,0.013947545402073757,48511,0.6173857475624085,0.3826142524375915,0.9760418384490116,0.02899793345839088,48511,0.6173032920368576,0.38269670796314237,0.9754256766506566,0.03023669889303457,48511
alibaba-block,cloudphysics,128,0.6617387652246955,0.33826123477530445,0.9951712450125998,0.004837122007559849,47620,0.5263964720705586,0.4736035279294414,0.9908451674716505,0.009191909911801764,47620,0.3935951280974381,0.6064048719025619,0.9839955310268794,0.01619001994960101,47620,0.329882402351953,0.670117597648047,0.9747831137127257,0.02569987662746745,47620
alibaba-block,cloudphysics,256,0.5701805100533179,0.42981948994668207,0.9967550380345175,0.003263530893342755,46701,0.4007194706751461,0.5992805293248539,0.9936677446682084,0.0064169865206312494,46701,0.24584056015931136,0.7541594398406887,0.9884191786578446,0.011935303847883343,46701,0.14691334232671677,0.8530866576732832,0.9802134690638316,0.021244275417014624,46701
metacdn,metacdn,32,0.012164372359274908,0.9878356276407251,0.9404484547498978,0.06007010699195857,29348,0.0008518468038707918,0.9991481531961293,0.9246275299850075,0.07688449809186317,29348,3.4073872154831676e-05,0.9999659261278452,0.9134342629821453,0.08919155479078643,29348,3.4073872154831676e-05,0.9999659261278452,0.9132042643451002,0.0894396551724138,29348
metacdn,metacdn,64,0.010226954328943681,0.9897730456710563,0.9670562701386943,0.03306467147660409,28552,0.0006304286915102269,0.9993695713084898,0.9571199040347437,0.0432199364317736,28552,0.0,1.0,0.9437358810240963,0.05721523448444943,28552,0.0,1.0,0.9311820319066966,0.07107262626085738,28552
metacdn,metacdn,128,0.008488964346349746,0.9915110356536503,0.9816592651627353,0.018351176714951414,27683,0.0005779720406025358,0.9994220279593975,0.9752973395224506,0.024732575046057147,27683,0.0,1.0,0.966916180507893,0.03317948966874978,27683,0.0,1.0,0.9561822124589098,0.044128503955496154,27683
metacdn,metacdn,256,0.006657440999364177,0.9933425590006358,0.9897828559206343,0.010219773862063807,26737,0.0005236189550061713,0.9994763810449938,0.9856171340277518,0.014388417735722032,26737,0.0,1.0,0.9794286709428881,0.020586085060029173,26737,0.0,1.0,0.9705126849029435,0.029529683818304224,26737
metakv,metakv,32,0.8668489692890198,0.13315103071098022,0.9953410943416071,0.004660549011358856,38032,0.8628260412284392,0.1371739587715608,0.9949277910706773,0.005082890723601178,38032,0.862142406394615,0.13785759360538496,0.9945177745056795,0.00551016249474127,38032,0.862142406394615,0.13785759360538496,0.9945177745056795,0.00551016249474127,38032
metakv,metakv,64,0.8623903941859546,0.13760960581404535,0.9976227387629355,0.002377261237064539,37977,0.8540169049687969,0.1459830950312031,0.9974482910709114,0.002551708929088659,37977,0.8457224109329331,0.1542775890670669,0.9972627346815177,0.0027372653184822393,37977,0.8446164783948179,0.1553835216051821,0.997240105853543,0.0027598941464570662,37977
